"id","school.name","school.state","school.degrees_awarded.highest","school.institutional_characteristics.level","2013.earnings.6_yrs_after_entry.working_not_enrolled.overall","2013.completion.title_iv.completed_by.4yrs","2013.completion.transfer_rate.4yr.full_time","2013.aid.federal_loan_rate","2013.aid.cumulative_debt.number","2013.student.size"
"231970","Eastern Virginia Medical School","VA","4","1","","","","","",""
"232025","Emory & Henry College","VA","4","1","334","0.486013986","0.0","0.7143","473","907"
"232195","Germanna Community College","VA","2","2","579","0.21021611","","0.0907","1025","5770"
"232575","Lord Fairfax Community College","VA","2","2","592","0.233218589","","0.0943","949","4666"
"236708","Spokane Falls Community College","WA","2","2","2104","0.165163934","","0.1919","2880","4565"
"236692","Spokane Community College","WA","2","2","2770","0.215409836","","0.3979","4349","4858"
"235769","Trinity Lutheran College","WA","3","1","","0.632653061","0.0714","0.6932","124","192"
"236188","Olympic College","WA","3","1","1042","0.235971223","0.198","0.1467","1845","4900"
"235750","Lower Columbia College","WA","2","2","964","0.200714286","","0.3032","1429","1405"
"236452","Saint Martin's University","WA","4","1","477","0.439882698","0.0","0.5742","705","1299"
"235699","Lake Washington Institute of Technology","WA","3","1","549","0.345849802","0.2081","0.2192","1210","2227"
"236258","Peninsula College","WA","3","1","416","0.223529412","0.1304","0.271","958","1378"
"236531","Everest College-Seattle","WA","1","3","1159","0.719132894","","0.5","2312","174"
"236212","Perry Technical Institute","WA","2","2","407","0.730569948","","0.8075","787","774"
"234845","Centralia College","WA","3","1","517","0.269326683","0.2008","0.0","","1632"
"229416","Universal Technical Institute of Texas Inc.","TX","1","2","4542","0.594936709","","0.5981","5564","2097"
"230010","Bridgerland Applied Technology College","UT","1","2","152","0.066350711","","0.0","","593"
"230056","Broadview University-West Jordan","UT","3","1","672","0.305068226","0.0","0.7582","1136","221"
