"id","school.name","school.state","school.degrees_awarded.highest","school.institutional_characteristics.level","2013.earnings.6_yrs_after_entry.not_working_not_enrolled.overall","2013.earnings.6_yrs_after_entry.working_not_enrolled.overall","2013.completion.title_iv.completed_by.4yrs","2013.completion.transfer_rate.4yr.full_time","2013.aid.federal_loan_rate","2013.aid.median_debt.female_students","2013.aid.median_debt.male_students","2013.aid.cumulative_debt.number","2013.student.size"
"232265","Hampton University","VA","4","1","70","1202","0.519266055","0.2765","0.2978","22000.0","19000.0","2184","3529"
"235149","Everett Community College","WA","2","2","409","1280","0.213571804","","0.1116","6334.0","5500.0","1535","4612"
"231712","Christopher Newport University","VA","4","1","65","1111","0.565547129","0.0","0.5097","19025.5","18509.0","1782","5083"
"235529","ITT Technical Institute-Spokane Valley","WA","3","1","166","786","0.136518771","0.0","0.8013","11254.5","14314.0","657","297"
"230676","Uintah Basin Applied Technology College","UT","1","3","","","","","0.0","","","","492"
"230764","University of Utah","UT","4","1","547","4627","0.466595518","0.0","0.3557","10000.0","11000.0","9396","23273"
"231095","Sterling College","VT","3","1","","","0.424242424","0.1667","0.7813","12750.0","13750.0","66","114"
"231420","Averett University","VA","4","1","44","719","0.36915078","0.0","0.7399","18750.0","12500.0","1245","870"
"230995","Norwich University","VT","4","1","31","681","0.490033223","0.0","0.6959","23110.5","17066.0","1250","2432"
"230834","Castleton University","VT","4","1","40","778","0.560509554","0.0","0.7801","19477.0","14000.0","1275","2022"
"231624","College of William and Mary","VA","4","1","70","850","0.830238727","0.0656","0.2944","19000.0","19000.0","1436","6235"
"231581","Bridgewater College","VA","3","1","","512","0.5","0.0","0.7288","20385.0","15000.0","959","1822"
"231697","Central Virginia Community College","VA","2","2","121","660","0.178913738","","0.0607","3500.0","3500.0","419","2851"
"230977","New England Culinary Institute","VT","3","1","39","435","0.414847162","0.0084","0.6195","12000.0","15500.0","427","425"
"231651","Regent University","VA","4","1","103","434","0.351633987","0.0","0.7655","12500.0","13822.0","1494","2286"
"230889","Goddard College","VT","4","1","38","123","0.669642857","0.4286","0.9221","18000.0","17250.0","254","201"
"230171","Dixie State University","UT","3","1","254","1328","0.069160998","0.3312","0.3717","7097.0","6000.0","3867","7305"
"229780","Wayland Baptist University","TX","4","1","101","1038","0.326860841","0.0","0.42","9500.0","7500.0","2818","4246"
"229522","Victoria Beauty College Inc","TX","1","3","29","88","0.346938776","","0.5424","","","87","26"
"229540","Victoria College","TX","2","2","136","832","0.244186047","","0.1389","6000.0","5500.0","1041","4176"
"230199","Evans Hairstyling College-Cedar City","UT","1","2","","","","","0.2118","","","21","33"
"230205","Evans Hairstyling College-St George","UT","1","2","","","","","0.0","","","","50"
"230621","Stevens-Henager College","UT","3","1","388","1760","0.338642659","0.0","0.9","9500.0","6498.0","10418","209"
"229799","Weatherford College","TX","2","2","185","993","0.201834862","","0.1569","5500.0","4500.0","1308","5549"
"229887","Wiley College","TX","3","1","39","401","0.259325044","0.0","0.9028","14250.0","9500.0","1014","1388"
"228343","Southwestern University","TX","3","1","","272","0.692307692","0.0","0.5244","22613.0","15750.0","561","1528"
