"id","school.name","school.state","school.degrees_awarded.highest","school.institutional_characteristics.level","2013.earnings.6_yrs_after_entry.not_working_not_enrolled.overall","2013.earnings.6_yrs_after_entry.working_not_enrolled.overall","2013.completion.title_iv.completed_by.4yrs","2013.completion.completion_rate_4yr_100nt","2013.completion.transfer_rate.4yr.full_time","2013.aid.federal_loan_rate","2013.aid.median_debt.female_students","2013.aid.median_debt.male_students","2013.aid.cumulative_debt.number","2013.student.size"
"215062","University of Pennsylvania","PA","4","1","224","2400","0.832833583","0.8787","0.0004","0.2328","18500.0","19005.0","2491","10606"
"215114","Cairn University-Langhorne","PA","4","1","45","347","0.570397112","0.2432","0.0","0.8416","19250.0","18623.0","564","840"
"215132","University of the Sciences","PA","4","1","30","662","0.590336135","0.6679","0.2011","0.7424","27000.0","26683.0","883","1830"
"215798","Saint Vincent College","PA","4","1","","540","0.620283019","0.6359","0.2506","0.7069","24187.5","23250.0","830","1532"
"214944","Pennco Tech-Bristol","PA","2","2","137","590","0.731634183","","","0.6987","5234.0","9500.0","784","559"
"214971","Pennsylvania Academy of the Fine Arts","PA","4","1","","77","0.615384615","0.6486","0.1622","0.6635","20500.0","26422.5","111","198"
"215053","Pennsylvania College of Art and Design","PA","3","1","","96","0.415730337","0.5085","0.0","0.8898","19500.0","22798.0","157","222"
"215381","Pittsburgh Institute of Aeronautics","PA","2","2","","204","0.675496689","","","0.537","12000.0","12000.0","413","354"
"215682","Rosedale Technical College","PA","2","2","37","228","0.54379562","","","0.7409","12000.0","12361.0","457","684"
"216597","Villanova University","PA","4","1","81","1510","0.760070053","0.8621","0.0","0.4356","25000.0","24000.0","2148","6856"
"216357","Thiel College","PA","3","1","35","508","0.311688312","0.2672","0.0","0.847","21200.0","12000.0","632","1045"
"215947","Seton Hill University","PA","4","1","","589","0.543577982","0.4451","0.3041","0.7153","21981.0","17000.0","993","1550"
"216223","The Beauty School","PA","1","3","","","0.677419355","","","0.5","","","111","44"
"216296","Thaddeus Stevens College of Technology","PA","2","2","39","532","0.524734982","","","0.3793","5367.0","5500.0","576","883"
"216782","Pittsburgh Career Institute","PA","2","2","289","1137","0.557327259","","","0.8866","16000.0","12887.0","1039","438"
"223001","Austin Presbyterian Theological Seminary","TX","4","1","","","","","","","","","",""
"223056","Baldwin Beauty School-South Austin","TX","1","3","26","89","0.100840336","","","0.0","","","","76"
"223427","Blinn College","TX","2","2","391","3514","0.083311432","","","0.4074","5500.0","5500.0","7339","16664"
"226578","McLennan Community College","TX","2","2","397","2455","0.153820375","","","0.4938","5805.0","5340.0","5644","7302"
"226152","Texas A & M International University","TX","4","1","138","1508","0.407049067","0.2116","0.0","0.3872","7804.5","7500.0","2814","6560"
"227191","North Lake College","TX","2","2","147","958","","","","0.076","4750.0","4494.0","1012","9319"
"226231","LeTourneau University","TX","4","1","108","1341","0.394707828","0.3375","0.0","0.7886","18840.5","18347.0","1864","2173"
"226675","Covenant School of Nursing and Allied Health","TX","1","2","","149","0.488","","","0.6117","13000.0","15750.0","257","310"
"227003","Everest Institute-San Antonio","TX","1","3","1061","4360","0.636462882","","","0.4736","9500.0","9500.0","2808","493"
"226277","Lincoln College of Technology-Grand Prairie","TX","2","2","331","2480","0.389282103","","","0.7258","4802.0","10899.0","6617","867"
"227225","Northeast Texas Community College","TX","2","2","135","645","0.194251734","","","0.2322","5845.0","5123.0","1121","2510"
"226116","Lamar State College-Port Arthur","TX","2","2","82","510","0.155660377","","","0.2138","5500.0","4750.0","655","1811"
"227322","Ogle School Hair Skin Nails-Ft Worth","TX","1","3","110","465","0.574002574","","","0.7399","7662.0","8323.0","1033","223"
"221829","Tennessee School of Beauty of Knoxville Inc","TN","1","3","","72","","","","0.0552","","","79","173"
"221847","Tennessee Technological University","TN","4","1","213","2369","0.45990991","0.225","0.2238","0.4547","9500.0","8919.0","4306","9827"
"221643","Pellissippi State Community College","TN","2","2","392","2271","0.204225352","","","0.2645","5698.5","5232.5","4086","8776"
"221768","The University of Tennessee-Martin","TN","4","1","169","1878","0.373467113","0.2136","0.0","0.5605","13229.5","12000.0","3528","6554"
"220996","Middle Tennessee School of Anesthesia Inc","TN","4","1","","","","","","","","","",""
"221096","Motlow State Community College","TN","2","2","197","1224","0.155871886","","","0.1207","3500.0","3500.0","970","3901"
"220631","Lincoln Memorial University","TN","4","1","100","749","0.439093484","0.142","0.0","0.866","13449.0","12500.0","1321","1632"
"220598","Lane College","TN","3","1","107","885","0.259259259","0.1977","0.2496","0.9312","18250.0","10813.0","1403","1554"
"221731","Tennessee Wesleyan University","TN","4","1","29","377","0.479564033","0.3203","0.0","0.6667","14500.0","11500.0","751","1068"
"220516","King University","TN","4","1","45","628","0.611584327","0.4451","0.0","0.6903","16000.0","13000.0","1607","2121"
"221430","Tennessee College of Applied Technology-Crump","TN","1","2","55","153","","","","0.0","","","","210"
"221519","Sewanee-The University of the South","TN","4","1","","222","0.705882353","0.7556","0.0","0.3302","14925.0","14000.0","352","1599"
"220464","John A Gupton College","TN","2","2","","79","0.351351351","","","0.5725","11997.5","13650.0","104","122"
"220491","Paul Mitchell the School-Murfreesboro","TN","1","3","47","235","0.675105485","","","0.5879","9833.0","7616.0","504","168"
"224013","Conlee's College of Cosmetology","TX","1","3","","","","","","0.0","","","","51"
"224147","Texas A & M University-Corpus Christi","TX","4","1","196","2143","0.378139535","0.2427","0.377","0.5459","12000.0","9993.5","4870","9137"
"222831","Angelo State University","TX","4","1","155","1885","0.337601863","0.1439","0.0","0.5526","10729.0","9500.0","3254","5430"
"222105","William Moore College of Technology","TN","2","2","","","","","","0.0","","","","219"
"222576","Amarillo College","TX","2","2","367","2372","0.205128205","","","0.1657","5795.0","5500.0","2959","10009"
"223773","Cedar Valley College","TX","2","2","186","1205","","","","0.1598","4461.0","4500.0","1101","5833"
"221971","Union University","TN","4","1","47","752","0.536549708","0.508","0.0","0.5108","19500.0","19000.0","1439","2567"
"222822","Angelina College","TX","2","2","253","1318","0.030513919","","","0.0","","","","4203"
"224323","University of Dallas","TX","4","1","32","318","0.590733591","0.5552","0.0","0.5066","15000.0","14625.0","587","1374"
"222099","West Tennessee Business College","TN","2","2","66","324","0.553571429","","","0.82","","","352","212"
"221254","O'More College of Design","TN","3","1","","71","0.56097561","0.3095","0.1667","0.5122","","","103","179"
"221333","Tennessee College of Applied Technology-Pulaski","TN","1","2","52","167","0.086757991","","","0.0","","","","200"
"221157","Nashville College of Medical Careers","TN","1","3","64","271","0.657534247","","","0.9495","","","282","164"
"225627","University of the Incarnate Word","TX","4","1","134","1511","0.500702247","0.193","0.0","0.6301","16750.0","13500.0","3807","6346"
"224776","South University-The Art Institute of Dallas","TX","4","1","1453","6642","0.109940716","0.1929","0.0","0.8091","6332.0","6334.0","26241","1408"
"224572","Eastfield College","TX","2","2","324","1887","","","","0.1073","5003.0","4750.0","1764","12113"
"224615","El Centro College","TX","2","2","254","1481","","","","0.1366","4750.0","4750.0","1946","8854"
"225247","Hardin-Simmons University","TX","4","1","62","688","0.468686869","0.3376","0.0","0.604","17847.5","12000.0","1020","1690"
"226107","Lamar State College-Orange","TX","2","2","142","767","0.114130435","","","0.2334","6514.0","4744.5","900","1938"
"225575","Huston-Tillotson University","TX","4","1","42","392","0.081424936","0.1011","0.0","0.8382","12091.0","9500.0","795","924"
"224679","Western Technical College","TX","2","2","236","1270","0.725102881","","","0.7495","8746.0","10665.0","1233","815"
"225201","Hallmark University","TX","4","1","98","657","0.479591837","","0.0","0.5164","10699.0","10434.0","878","713"
"221795","Fountainhead College of Technology","TN","3","1","","98","0.614864865","0.9032","0.0","0.4569","17000.0","19975.0","205","180"
"228158","South Plains College","TX","2","2","360","2864","0.147865325","","","0.199","5500.0","5257.0","3429","7765"
"227368","The University of Texas Rio Grande Valley","TX","4","1","479","4647","0.323623797","0.1555","0.0","0.424","7000.0","7002.0","7121","17200"
"227979","San Jacinto Community College","TX","2","2","629","3751","0.1784449","","","0.0839","4750.0","4866.0","4114","24775"
"227854","St Philip's College","TX","2","2","543","3055","0.100147275","","","0.0759","6021.0","7083.5","1418","7898"
"227377","Texas Southmost College","TX","4","1","431","3106","0.195374315","0.0892","0.0","0.4499","7500.0","5500.0","6058","10379"
"227766","Richland College","TX","2","2","291","1685","0.005529226","","","0.0698","4750.0","4500.0","1488","15979"
"209667","Phagans Beauty College","OR","1","2","","68","0.720930233","","","0.9186","","","83","53"
"209694","Phagans School of Beauty","OR","1","2","","","0.68627451","","","0.8776","","","94","49"
"209719","Summit Salon Academy-Portland","OR","1","2","","","0.625","","","0.8226","","","51","27"
"209922","Reed College","OR","4","1","","195","0.809045226","0.7003","0.0","0.3582","16000.0","14000.0","400","1351"
"210739","DeSales University","PA","4","1","35","729","0.161564626","0.6343","0.0","0.6649","16906.0","19040.0","1422","2486"
"208488","Concordia University-Portland","OR","4","1","50","515","0.428888889","0.3571","0.0","0.74","14003.0","12500.0","1196","1378"
"210304","Warner Pacific College","OR","4","1","81","590","0.517138599","0.2283","0.4674","0.8312","18346.0","15875.0","1416","501"
"210331","Corban University","OR","4","1","51","372","0.518115942","0.4589","0.0","0.6272","17000.0","12875.0","655","902"
"210368","Western Seminary","OR","4","1","","","","","","","","","",""
"210401","Willamette University","OR","4","1","38","414","0.778869779","0.7095","0.0","0.5031","21410.0","19114.0","772","1970"
"210474","Jolie Hair and Beauty Academy-Hazleton","PA","1","3","","","0.588235294","","","0.7286","7150.0","7047.0","432","97"
"210599","All-State Career School-Lester","PA","1","3","337","1182","0.660600546","","","0.5969","9494.0","6333.0","1502","343"
"211024","Clarks Summit University","PA","4","1","38","276","0.348958333","0.403","0.0","0.5092","12000.0","9500.0","381","606"
