"id","school.name","school.state","school.degrees_awarded.highest","school.institutional_characteristics.level"
"458159","Pinchot University","WA","4","1"
"458210","West Coast University-Orange County","CA","3","1"
"458274","Paul Mitchell the School-Chicago","IL","1","3"
"458292","Regency Beauty Institute-Evansville","IN","1","3"
"458353","Regency Beauty Institute-Chattanooga","TN","1","3"
"458423","European Massage Therapy School-Las Vegas","NV","1","3"
"458432","Harrison College-Grove City","OH","3","1"
"458441","Miller-Motte Technical College-Columbus","GA","2","2"
"458478","Fortis College-Grand Prairie","TX","1","2"
"458496","The Art Institute of Virginia Beach","VA","3","1"
"458706","Brightwood College-Charlotte","NC","1","2"
"458733","Globe University-Madison East","WI","3","1"
"458821","Empire Beauty School-Jackson","TN","1","3"
"458849","Empire Beauty School-Paramus","NJ","1","3"
"458885","Strayer University-Arkansas","AR","4","1"
"458955","Strayer University-Mississippi","MS","4","1"
"458964","Strayer University-South Carolina","SC","4","1"
"459000","The Hair Design School-S Memphis","TN","1","3"
"459019","The Hair Design School-Charlotte","NC","1","3"
"459055","Empire Beauty School-West Palm","FL","1","3"
"459073","The Hair Design School-N Memphis","TN","1","3"
"459107","Bryant & Stratton College-Hampton","VA","3","1"
"459125","All Beauty College","AZ","1","3"
"459161","Trinity School of Health and Allied Sciences","CA","1","3"
"459198","Paul Mitchell the School-Fresno","CA","1","3"
"459259","South University-Richmond","VA","4","1"
"460543","Universal Technical Institute - Dallas Fort Worth","TX","1","2"
"475325","Milan Institute-Las Vegas","NV","1","3"
"475352","Virginia College-Savannah","GA","2","1"
"475468","Christine Valmy International School of Esthetics & Cosmetology","NJ","1","3"
"475495","Rocky Mountain University of Health Professions","UT","4","1"
"475501","MediaTech Institute-Oceanside","CA","1","3"
"475556","Paul Mitchell the School-Raleigh","NC","1","3"
"475592","Virginia College-Tulsa","OK","2","1"
"475617","Virginia College-Knoxville","TN","2","1"
"475644","Global Institute","PR","1","3"
"475662","University of Cosmetology Arts & Sciences-La Joya","TX","1","3"
"475680","Preferred College of Nursing-Van Nuys","CA","1","3"
"475750","Carrington College-Mesquite","TX","1","2"
"476106","Regency Beauty Institute-San Antonio","TX","1","3"
"476133","Regency Beauty Institute-Newport News","VA","1","3"
"476337","Golf Academy of America-Dallas","TX","2","2"
"476559","Vogue College of Cosmetology","TX","1","3"
"476753","Aveda Institute-Tucson","AZ","1","3"
"476771","Ambiance Beauty & Barber Academy Inc","FL","0","3"
"476896","Wade Gordon Hairdressing Academy","TX","1","3"
"476939","Florida Vocational Institute","FL","1","3"
"476948","SAE Institute of Technology-Atlanta","GA","2","2"
"476966","SAE Institute of Technology-Miami","FL","1","3"
"478005","National American University-Burnsville","MN","3","1"
"478591","Ogle School Hair Skin Nails-Denton","TX","1","3"
"478953","Bellus Academy","KS","1","3"
"479248","Columbia College","VA","1","2"
"479424","Unitek College","CA","1","3"
"479549","ITT Technical Institute-Philadelphia","PA","2","2"
"479558","ITT Technical Institute-Marlton","NJ","2","2"
"479585","ITT Technical Institute-Southfield","MI","2","1"
"479600","ITT Technical Institute-Salem","OR","2","1"
"479646","ITT Technical Institute-Overland Park","KS","2","1"
"479965","Medical Career Institute","NJ","1","2"
"480019","Advanced Career Institute","CA","1","3"
"480037","MyComputerCareer.com-Raleigh","NC","1","3"
"480082","South University-Cleveland","OH","4","1"
"480091","Bryant & Stratton College-Online","NY","3","1"
"480107","Virginia College-Florence","SC","2","2"
"480134","Elizabethtown College School of Continuing and Professional Studies","PA","4","1"
"480189","Mercyhurst University-North East Campus","PA","2","2"
"480198","Warner Pacific College Adult Degree Program","OR","4","1"
"480301","Savannah Law School","GA","4","1"
"10236809","Troy University-Support Locations","AL","0","1"
"11339703","Marinello School of Beauty-Paramount","CA","0","3"
"11339706","Marinello School of Beauty-Ogden","UT","0","3"
"11339709","Marinello School of Beauty-Napa","CA","0","3"
"11408001","Marinello School of Beauty-San Rafael","CA","0","3"
"11835611","Marinello School of Beauty-El Cajon","CA","0","3"
"11835612","Marinello School of Beauty-Victorville","CA","0","3"
"11835614","Marinello School of Beauty-Simi Valley","CA","0","3"
"11892102","Marinello School of Beauty-Redding","CA","0","3"
"11892103","Marinello School of Beauty-Fresno","CA","0","3"
"13012903","Marinello School of Beauty-Willimantic","CT","0","3"
"15098703","Ivy Tech Community College-East Central","IN","0","2"
"15098704","Ivy Tech Community College-Kokomo","IN","0","2"
"15098705","Ivy Tech Community College-Lafayette","IN","0","2"
"15098708","Ivy Tech Community College-Southwest","IN","0","2"
"15098711","Ivy Tech Community College-Northwest","IN","0","2"
"15098712","Ivy Tech Community College-Southeast","IN","0","2"
"15098713","Ivy Tech Community College-Bloomington","IN","0","2"
"15098714","Ivy Tech Community College-Central Indiana","IN","0","2"
"15116604","Harrison College-Terre Haute","IN","0","1"
"15116605","Harrison College-Lafayette","IN","0","1"
"15116610","Harrison College-Elkhart","IN","0","1"
"15178601","Marian University","IN","0","1"
"16822701","Wentworth Institute of Technology","MA","0","2"
"18409201","American Institute","NJ","0","2"
"41713201","Marinello School of Beauty-Concord","CA","0","3"
"43482101","Blue Cliff College","LA","0","2"
"43958902","Marinello School of Beauty-Overland Park","KS","0","3"
"44599302","Marinello School of Beauty-Enfield","CT","0","3"
"47657702","Vantage College","TX","0","2"
"102580","Alaska Bible College","AK","3","1"
