"id","school.name","school.state","school.degrees_awarded.highest","school.institutional_characteristics.level","2013.earnings.6_yrs_after_entry.not_working_not_enrolled.overall","2013.earnings.6_yrs_after_entry.working_not_enrolled.overall","2013.completion.title_iv.completed_by.4yrs","2013.aid.federal_loan_rate","2013.aid.median_debt.female_students","2013.aid.median_debt.male_students","2013.aid.cumulative_debt.number","2013.student.size"
"181817","Western Nebraska Community College","NE","2","2","71","611","0.188059702","0.196","4765.0","3593.0","724","1478"
"180595","Rocky Mountain College","MT","4","1","26","284","0.364312268","0.711","15000.0","14375.0","574","961"
"180692","The University of Montana-Western","MT","3","1","41","449","0.143631436","0.586","11000.0","10001.0","797","1452"
"180984","Concordia University-Nebraska","NE","4","1","","386","0.547854786","0.5395","16250.0","15625.0","665","1185"
"181738","Union College","NE","4","1","","270","0.372222222","0.7161","15750.0","14000.0","402","759"
"181604","College of Saint Mary","NE","4","1","31","387","0.547112462","0.7366","","","550","691"
"181297","Nebraska Methodist College of Nursing & Allied Health","NE","4","1","","292","0.666666667","0.786","20000.0","20000.0","581","740"
"181145","CHI Health School of Radiologic Technology","NE","2","2","","","","0.5","","","","22"
"181190","Joseph's College Cosmetology","NE","1","2","65","308","0.649056604","0.4659","","","404","281"
"195234","The College of Saint Rose","NY","4","1","60","1162","0.555296857","0.7779","18725.0","15750.0","1974","2792"
"194578","Pratt Institute-Main","NY","4","1","110","901","0.585987261","0.4808","21664.0","23750.0","1106","3247"
"194958","Roberts Wesleyan College","NY","4","1","27","623","0.50965251","0.8074","18750.0","17095.0","1048","1302"
"194073","New York College of Podiatric Medicine","NY","4","1","","71","","","","","14",""
"194392","Paul Smiths College of Arts and Science","NY","3","1","32","538","0.190082645","0.8197","16250.0","15250.0","714","978"
"195067","Empire Beauty School-Manhattan","NY","1","3","331","978","0.549862763","0.5248","6564.0","8674.0","1864","665"
"195289","Samaritan Hospital School of Nursing","NY","2","2","","83","0.739130435","0.7635","","","112","163"
"195304","Sarah Lawrence College","NY","4","1","41","349","0.800664452","0.6127","13125.0","13126.0","539","1402"
"194675","Rabbinical College of Ch'san Sofer New York","NY","4","1","","","","","","","","30"
"194693","Rabbinical College Beth Shraga","NY","3","1","","","","0.0","","","","47"
"194879","Ridley-Lowell Business & Technical Institute-Binghamton","NY","1","3","38","117","0.512437811","0.527","9298.0","5559.5","333","193"
"190451","Pomeroy College of Nursing at Crouse Hospital","NY","2","2","","169","0.654205608","0.6317","15250.0","12000.0","195","336"
"191959","Island Drafting and Technical Institute","NY","2","2","","103","0.725","0.8689","","","105","95"
"189468","Brittany Beauty School","NY","1","3","135","339","0.693370166","0.8291","","","513","144"
"201982","Scott College of Cosmetology","WV","1","2","","50","0.444444444","0.4205","","","57","99"
"202152","Columbiana County Career and Technical Center","OH","1","3","26","90","","0.0","","","","190"
"202222","Columbus State Community College","OH","2","2","1338","8428","0.023644752","0.572","5834.0","4125.0","18097","13260"
"206932","Central State Beauty and Wellness College","OK","1","3","32","127","0.402597403","0.6629","","","241","104"
"206941","University of Central Oklahoma","OK","4","1","356","3551","0.327757125","0.4162","11250.0","9500.0","6667","15119"
"207500","University of Oklahoma-Norman Campus","OK","4","1","375","4637","0.50134573","0.3806","14000.0","12500.0","8537","20528"
"207670","Rose State College","OK","2","2","427","2062","0.089258699","0.3061","3842.0","3500.0","3651","6427"
"207607","Tulsa Technology Center-Peoria Campus","OK","1","3","44","178","0.262773723","0.0","","","","624"
"207661","Rogers State University","OK","3","1","192","1268","0.196296296","0.4682","6500.0","5500.0","2613","3957"
"208017","Virgil's Beauty College","OK","1","3","","","","0.0","","","","32"
"208239","The Art Institute of Portland","OR","3","1","146","942","0.24595843","0.7974","10357.0","11467.5","1567","1348"
"207971","University of Tulsa","OK","4","1","48","544","0.523385301","0.3177","20719.0","18000.0","798","3394"
"208415","Clatsop Community College","OR","2","2","65","269","0.055232558","0.2187","6191.0","6064.0","629","801"
"208433","College of Hair Design Careers","OR","1","2","","60","0.561403509","0.5098","","","92","68"
"208655","Phagans School of Hair Design-Portland","OR","1","2","41","128","0.669117647","0.8063","12000.0","9500.0","215","132"
"208248","Beau Monde College of Hair Design","OR","1","2","27","99","0.43902439","0.5928","6857.0","9500.0","164","126"
"204778","Ohio State School of Cosmetology-Canal Winchester","OH","1","2","","55","0.609756098","0.6894","5500.0","8500.0","189","89"
"204802","Ohio University-Eastern Campus","OH","2","1","754","7670","0.383605019","0.3321","12500.0","12000.0","16777","1010"
"204680","Ohio State University-Mansfield Campus","OH","3","1","870","12303","0.522793405","0.6611","14776.5","14382.0","19991","1121"
"203465","Kent State University at Stark","OH","3","1","852","8426","0.324032587","0.6926","14248.5","11762.0","20718","4680"
"203483","Kent State University at Tuscarawas","OH","3","1","852","8426","0.324032587","0.6196","14248.5","11762.0","20718","2030"
"203447","Kent State University at Ashtabula","OH","3","1","852","8426","0.324032587","0.7003","14248.5","11762.0","20718","2221"
"204848","Ohio University-Lancaster Campus","OH","2","1","754","7670","0.383605019","0.4357","12500.0","12000.0","16777","2340"
"204866","Ohio University-Zanesville Campus","OH","2","1","754","7670","0.383605019","0.4761","12500.0","12000.0","16777","1899"
"203942","Medina County Career Center","OH","1","3","","","","0.0","","","","105"
"204006","Miami University-Hamilton","OH","3","1","347","4309","0.453670886","0.5892","14991.0","12000.0","8234","3421"
"204945","Owens Community College","OH","2","2","802","4884","0.096285506","0.4634","7206.0","5500.0","10458","13251"
"203155","Hocking College","OH","2","2","487","2595","0.008327782","0.6933","10815.0","8946.0","4076","3854"
"205470","Sinclair Community College","OH","2","2","1046","4943","0.132706629","0.4168","4490.0","3798.0","12696","16554"
"206604","Wright State University-Main Campus","OH","4","1","342","3903","0.315445321","0.6136","12500.0","11830.5","8697","12161"
"205391","Advertising Art Educational Services DBA School of Advertising Art","OH","2","2","","127","0.677419355","0.9474","10000.0","8357.5","115","140"
"205443","Shawnee State University","OH","4","1","262","1388","0.24922312","0.7268","9563.0","8943.0","3546","4110"
"206905","Pontotoc Technology Center","OK","1","3","38","110","","0.0","","","","117"
"206914","Cameron University","OK","4","1","246","1333","0.169449598","0.4073","8149.0","5500.0","2731","5043"
"206923","Carl Albert State College","OK","2","2","204","921","0.124195032","0.1914","3500.0","3500.0","764","2225"
"206622","Xavier University","OH","4","1","59","888","0.618595825","0.5802","21000.0","20393.5","2024","4452"
"206321","Upper Valley Career Center","OH","1","3","","100","0.19","0.0735","12425.5","6333.0","113","73"
"206330","Urbana University","OH","4","1","27","409","0.393188855","0.5139","14250.0","11335.0","816","1008"
"207050","Eastern Oklahoma State College","OK","2","2","180","712","0.14231738","0.2868","7000.0","5500.0","895","1477"
"206862","Southern Nazarene University","OK","4","1","73","866","0.424698795","0.7944","16750.0","13000.0","1358","1694"
"206039","Tiffin Academy of Hair Design","OH","1","2","","58","0.436363636","0.8387","","","67","42"
"206224","Trumbull Business College","OH","2","2","86","226","0.436860068","0.8681","15301.0","6334.0","313","236"
"209746","Portland Community College","OR","2","2","1328","5561","0.090857414","0.4381","6334.0","6310.5","22062","29774"
"210605","Community College of Allegheny County","PA","2","2","804","4528","0.159333696","0.2321","4700.0","4000.0","6809","17098"
"209807","Portland State University","OR","4","1","737","5133","0.399121201","0.5297","14517.0","15655.0","12373","20085"
"210960","The Art Institute of Pittsburgh","PA","3","1","2655","9164","0.093854541","0.8517","8238.0","7256.5","17386","1544"
"210100","Springfield College of Beauty","OR","1","2","27","76","0.444444444","0.6429","","","115","69"
"210359","Everest College-Portland","OR","2","2","737","2843","0.460737938","0.7968","9500.0","9500.0","3472","227"
"210438","University of Western States","OR","4","1","","118","","0.7167","9844.5","6125.0","184","41"
"210571","Albright College","PA","4","1","46","846","0.484375","0.8536","24394.0","21000.0","1458","2333"
"211088","Arcadia University","PA","4","1","70","809","0.556716418","0.7796","21250.0","18750.0","1334","2400"
"210076","Pioneer Pacific College","OR","3","1","328","1517","0.677830941","0.9019","15380.0","9500.0","1607","1108"
"210669","Allegheny College","PA","3","1","34","508","0.711670481","0.6808","27000.0","24438.0","961","2126"
"210784","The Beauty Institute-Ambler","PA","1","3","","55","0.526666667","0.4924","","","205","106"
"210890","Antonelli Institute","PA","2","2","33","161","0.708333333","0.8506","11995.0","12000.0","177","189"
"202453","Dayton Barber College","OH","1","2","","","","0.0","","","","57"
"202480","University of Dayton","OH","4","1","53","1592","0.713141026","0.6791","23224.5","21880.5","2706","7815"
"203313","ITT Technical Institute-Dayton","OH","3","1","974","5336","0.370388079","0.8708","12667.0","11834.0","71736","304"
"202684","Bryant & Stratton College-Cleveland","OH","3","1","1768","7824","0.269047619","0.9458","9393.0","6274.5","19464","538"
"201609","Carousel Beauty College-Middletown","OH","1","2","","","","0.4773","","","40","25"
"201654","Cedarville University","OH","4","1","72","811","0.523349436","0.5278","19500.0","17500.0","1179","3108"
"202888","Gerbers Akron Beauty School","OH","1","3","","65","","0.037","","","13","67"
