"id","school.name","school.state","school.degrees_awarded.highest","school.institutional_characteristics.level","2013.completion.title_iv.completed_by.4yrs","2013.aid.federal_loan_rate","2013.aid.median_debt.female_students","2013.aid.median_debt.male_students","2013.aid.cumulative_debt.number","2013.student.size"
"440369","Everest Institute-Dearborn","MI","1","3","0.651053864","0.6323","9500.0","9500.0","6181","666"
"439303","Du Bois Business College-Huntingdon","PA","2","2","0.592885376","0.619","11533.0","12000.0","296","88"
"439394","East West College of Natural Medicine","FL","4","1","","","","","18","0"
"439473","Bennett Career Institute","DC","1","3","0.375","0.8971","4750.0","4750.0","260","294"
"439482","Blue Cliff College-Shreveport","LA","1","3","0.552268245","0.9488","7035.0","5975.0","2692","320"
"381352","Colorado School of Traditional Chinese Medicine","CO","4","1","","","","","",""
"368036","Alexandria School of Scientific Therapeutics","IN","1","3","","0.8431","","","54","30"
"435000","Louisiana State University Health Sciences Center-Shreveport","LA","4","1","","0.44","20687.5","31241.0","64","44"
"437237","International Yacht Restoration School","RI","1","2","","0.5059","","","60","71"
"443951","Charlie's Guard-Detective Bureau and Academy Inc","PR","1","3","","0.0","","","","96"
