"id","school.name","school.state","school.degrees_awarded.highest","school.institutional_characteristics.level","2013.completion.title_iv.completed_by.4yrs","2013.aid.federal_loan_rate","2013.aid.median_debt.female_students","2013.aid.median_debt.male_students","2013.aid.cumulative_debt.number","2013.student.size"
"451097","Academy of Career Training","FL","1","3","0.514084507","0.411","5067.0","5500.0","235","152"
"451103","Miami Regional University","FL","2","1","0.459558824","0.5851","5890.0","6676.0","829","507"
"451130","Wolford College","FL","4","1","","","","","",""
"451228","MyComputerCareer.com-Indianapolis","IN","1","3","0.53271028","0.9297","7044.5","7614.5","140","208"
"451264","Millennium Training Institute","MA","1","3","0.534653465","0.2455","6643.0","6776.0","147","177"
"451291","Lakewood School of Therapeutic Massage","MI","1","3","0.642857143","0.9773","","","42","22"
"451334","Academy of Hair Design-Springfield","MO","1","3","0.696969697","0.5975","7917.0","9500.0","148","96"
"451361","Gentle Healing School of Massage","NJ","1","3","","0.4146","","","25","22"
"451370","Yeshivas Be'er Yitzchok","NJ","3","1","","0.0","","","","61"
"451398","Yeshiva Toras Chaim","NJ","3","1","","0.0","","","","182"
"451404","Talmudical Seminary of Bobov","NY","3","1","0.444444444","0.0","","","","307"
"451459","Monroe 2 Orleans BOCES-Center for Workforce Development","NY","1","3","","0.5935","3893.0","6386.0","232","108"
"451477","MyComputerCareer.com-Columbus","OH","1","3","0.642201835","0.9226","7652.0","7652.0","306","292"
"451510","Charleston School of Law","SC","4","1","","","","","",""
"451565","Paul Mitchell the School-Austin","TX","1","3","0.613333333","0.5781","","","246","171"
"451653","Wisconsin Academy","WI","1","3","0.48","0.7317","","","40","30"
"451662","The Art Institute of Pittsburgh-Online Division","PA","3","1","0.093854541","0.757","8238.0","7256.5","17386","10896"
"173683","Hazelden Betty Ford Graduate School of Addiction Studies","MN","4","1","","0.0","","","","0"
"451945","ITT Technical Institute-Madison","AL","3","1","0.370388079","0.824","12667.0","11834.0","71736","372"
"452036","Le Cordon Bleu College of Culinary Arts-Sacramento","CA","2","2","0.560313631","0.7657","11250.0","10626.0","4180","375"
"452045","Le Cordon Bleu College of Culinary Arts-Seattle","WA","2","2","0.560313631","0.669","11250.0","10626.0","4180","439"
"452072","Ross Medical Education Center-New Baltimore","MI","1","3","0.748473749","0.4677","9500.0","9500.0","1260","116"
"452081","Ross College-Sylvania","OH","2","2","0.780916031","0.4052","9500.0","9500.0","1878","423"
"452090","Argosy University-Salt Lake City","UT","4","1","0.116635839","0.8473","6569.0","6334.0","29626","108"
"451848","Argosy University-The Art Institute of California-Silicon Valley","CA","3","1","0.116635839","0.8761","6569.0","6334.0","29626","570"
"451857","Remington College-Houston Southeast Campus","TX","1","2","0.543457797","0.5777","9369.0","8360.0","7905","252"
"451884","National American University-Wichita","KS","3","1","0.130868444","0.8441","8671.5","6252.0","13494","375"
"451909","Fortis College-Landover","MD","2","2","0.545816733","0.7206","9501.0","10876.5","3077","487"
"451705","CollegeAmerica-Cheyenne","WY","3","1","0.312720848","0.8025","18103.0","12000.0","1608","22"
"451750","Bryant & Stratton College-Wauwatosa","WI","3","1","0.269047619","0.901","9393.0","6274.5","19464","760"
"451796","The Art Institute of Michigan","MI","3","1","0.292376682","0.9017","11268.5","10113.5","6242","995"
"15492501","Coffeyville Technical Campus","KS","0","3","0.21474359","","5500.0","4500.0","604",""
"17557301","Copiah-Lincoln Community College Simpson County Center","MS","0","2","0.2578356","","3500.0","3220.0","1292",""
"21437901","Northampton County Area Community College-Monroe","PA","0","2","0.211749516","","5500.0","5500.0","3684",""
"381361","Massage Therapy Institute of Colorado","CO","1","3","0.666666667","0.7179","9500.0","9500.0","68","82"
"393649","UEI College-Gardena","CA","1","3","0.738738739","0.9912","9500.0","9500.0","3137","1444"
"395690","Diversified Vocational College","CA","1","3","0.083228247","0.0264","7750.0","4750.0","75","913"
"449348","Huntsville Bible College","AL","4","1","","0.3824","","","","118"
"449357","Beaumont Adult School","CA","1","3","0.403846154","0.6748","11006.0","4750.0","138","118"
"449384","Gnomon School of Visual Effects","CA","1","2","0.516129032","0.56","","","60","135"
"449393","Coachella Valley Beauty College","CA","1","3","0.210526316","0.44","1709.0","2015.0","72","129"
"449445","Valley College of Medical Careers","CA","1","2","0.770491803","0.8581","8431.5","8634.0","117","90"
"449454","Academy of Natural Therapy Inc","CO","2","2","0.697674419","0.9565","","","88","69"
"449463","Academy Di Capelli-School of Cosmetology","CT","1","3","0.651162791","0.8025","","","106","29"
"449472","Delaware Learning Institute of Cosmetology","DE","1","3","0.6875","0.811","","","95","80"
"449658","Bais Medrash Toras Chesed","NJ","3","1","","0.0","","","","114"
"449685","New Age Training","NY","1","3","","0.1","","","111","124"
"449719","Northcoast Medical Training Academy","OH","1","3","0.728682171","0.5851","9500.0","9500.0","256","202"
"449728","American Institute of Medical Technology","OK","1","3","0.720930233","0.9615","","","67","65"
"449764","Visible Music College","TN","3","1","0.636363636","0.8889","19500.0","19500.5","73","118"
"449870","University of the West","CA","4","1","","0.1719","","","18","78"
"449898","South University-Tampa","FL","4","1","0.109940716","0.7967","6332.0","6334.0","26241","654"
"11046801","Alliant International University-Fresno","CA","0","1","0.783333333","","2000.0","4000.0","682",""
"11046803","Alliant International University-San Francisco","CA","0","1","0.783333333","","2000.0","4000.0","682",""
"16947910","Davenport University-Flint Location","MI","0","1","0.197222222","","15605.0","12500.0","7563",""
"113449","International School of Beauty Inc","CA","1","3","0.509433962","0.5229","6365.0","6515.0","278","229"
"450702","Carrington College-Citrus Heights","CA","2","2","0.650550244","0.5997","11874.5","11982.0","6219","451"
"450836","Regency Beauty Institute-Greenfield","WI","1","3","0.504464286","0.8351","9357.0","9500.0","11714","114"
"106324","Arkansas Beauty College","AR","1","3","0.580645161","0.9231","","","63","46"
"450483","University of Phoenix-Washington DC","DC","4","1","0.182380398","0.6355","9500.0","9500.0","285765","303"
"450535","Argosy University-Nashville","TN","4","1","0.116635839","0.8246","6569.0","6334.0","29626","207"
"450696","Carrington College-Stockton","CA","2","2","0.650550244","0.6547","11874.5","11982.0","6219","465"
"449959","Paul Mitchell the School-Tampa","FL","1","3","0.47094536","0.6174","9833.0","9833.0","1708","194"
"450049","The Art Institute of Salt Lake City","UT","3","1","0.378853985","0.851","10211.0","9235.0","31694","466"
"450058","Fortis College-Columbus","OH","2","2","0.6019519","0.8436","9500.0","9500.0","4616","628"
"450076","Fortis Institute-Baltimore","MD","1","2","0.678494158","0.4866","9278.0","6333.0","3389","543"
"450094","Argosy University-The Art Institute of California-Sacramento","CA","3","1","0.116635839","0.8381","6569.0","6334.0","29626","1185"
"450119","Blue Cliff College-Fayetteville","AR","1","3","0.552268245","0.9394","7035.0","5975.0","2692","181"
"450234","ITT Technical Institute-Wichita","KS","3","1","0.370388079","0.8177","12667.0","11834.0","71736","303"
"450395","Brown Aveda Institute-Rocky River","OH","1","2","0.782407407","0.5","","","389","151"
"230065","Cameo College of Essential Beauty","UT","1","3","0.595744681","0.3947","","","225","228"
"16947915","Davenport University-Saginaw Location","MI","0","1","0.197222222","","15605.0","12500.0","7563",""
"447698","Phoenix Institute of Herbal Medicine & Acupuncture","AZ","4","1","","","","","15",""
"447847","Aviator College of Aeronautical Science and Technology","FL","2","2","","0.1597","","","34","126"
"447865","Trendsetters School of Beauty & Barbering","FL","1","3","","1.0","","","52","36"
"447892","North Florida Cosmetology Institute Inc","FL","1","3","0.663793103","0.6408","6334.0","7666.0","257","167"
"447917","Augusta School of Massage","GA","1","3","","0.6774","3800.0","3737.0","92","64"
"447935","ATA College","KY","2","2","0.605263158","0.9264","12667.0","13000.0","1116","427"
"448008","Hair Academy 110","MO","1","3","","0.7407","","","19","20"
"448035","Massage Therapy Trainining Institute","NM","1","3","0.756097561","0.8125","","","72","25"
"448044","Institute of Professional Careers","NV","1","3","","0.6111","","","19","7"
"448123","MyrAngel Beauty Institute","PR","1","3","","0.0","","","","120"
"448150","Tennessee Career Institute","TN","1","3","0.564102564","0.5625","6777.5","6817.0","199","121"
"448196","Texas Health School","TX","1","3","0.776119403","0.2283","5175.0","4424.0","187","178"
"448220","Paul Mitchell the School-Logan","UT","1","2","0.555555556","0.4138","","","60","42"
"448239","Careers Unlimited","UT","3","1","","0.764","","","143","176"
"448309","Shorter University-College of Adult & Professional Programs","GA","4","1","0.3295053","0.7804","24420.0","13031.5","2087","922"
"447670","Minnesota School of Business-Rochester","MN","3","1","0.365751634","0.8118","19024.0","16000.0","4232","256"
"448488","ITT Technical Institute-Lexington","KY","3","1","0.370388079","0.8148","12667.0","11834.0","71736","242"
"448442","ITT Technical Institute-Charlotte South","NC","3","1","0.370388079","0.8322","12667.0","11834.0","71736","369"
"449126","Miami-Jacobs Career College-Springboro","OH","2","2","0.327710843","0.917","9500.0","9433.5","6498","222"
"449205","Regency Beauty Institute-Mehlville","MO","1","3","0.504464286","0.7938","9357.0","9500.0","11714","43"
"449223","Regency Beauty Institute-Fairview Heights","IL","1","3","0.504464286","0.8452","9357.0","9500.0","11714","73"
"449232","Regency Beauty Institute-Champaign","IL","1","3","0.504464286","0.8122","9357.0","9500.0","11714","78"
"449302","Daymar College-Madisonville","KY","2","2","0.286511628","0.6","12710.0","10890.0","1816","33"
"448567","University of Phoenix-South Carolina","SC","4","1","0.182380398","0.652","9500.0","9500.0","285765","718"
"448707","Educational Technical College-Recinto de Coamo","PR","1","3","0.031292517","0.0","","","","254"
"448716","Educational Technical College-Recinto de san Sebastian","PR","1","3","0.031292517","0.0","","","","276"
"448734","Argosy University-Denver","CO","4","1","0.116635839","0.7547","6569.0","6334.0","29626","151"
"448859","Triangle Tech Inc-Bethlehem","PA","2","2","0.694244604","0.8231","","","358","133"
