"id","school.name","school.state","school.degrees_awarded.highest","school.institutional_characteristics.level","2013.earnings.6_yrs_after_entry.not_working_not_enrolled.overall","2013.earnings.6_yrs_after_entry.working_not_enrolled.overall","2013.completion.title_iv.completed_by.4yrs","2013.aid.federal_loan_rate","2013.aid.median_debt.female_students","2013.aid.median_debt.male_students","2013.aid.cumulative_debt.number","2013.student.size"
"368230","Empire Beauty School-Bloomfield","NJ","1","3","118","354","0.439597315","0.6231","5500.0","5983.5","1276","180"
"260929","Paul Mitchell the School-Boise","ID","1","2","29","112","0.52173913","0.5485","","","172","150"
"414452","Phagans Newport Academy of Cosmetology Careers","OR","1","2","","","","0.94","","","40","25"
"414489","Baldwin Beauty School-North Austin","TX","1","3","26","89","0.100840336","0.0","","","","79"
"414531","ITT Technical Institute-Everett","WA","3","1","166","786","0.136518771","0.7134","11254.5","14314.0","657","271"
"413626","Leech Lake Tribal College","MN","2","2","57","149","","0.0","","","","340"
"413680","Spartan College of Aeronautics & Technology","CA","1","2","68","581","0.716088328","0.8405","19458.0","19945.0","542","458"
"417628","Kirksville Area Technical Center","MO","1","3","","","0.5","0.3171","","","12","27"
"417716","Applied Technology Services","MO","1","3","","119","0.680412371","0.9807","","","220","166"
"417725","Central College of Cosmetology","MO","1","3","","79","0.135802469","0.0","","","","105"
"417752","Messenger College","TX","3","1","","","","0.7","","","34","47"
"415057","Industrial Management Training Institute","CT","1","3","25","138","0.620689655","0.7394","","","124","117"
"416458","Premiere Career College","CA","1","2","99","376","0.77002584","0.8515","9260.0","9500.0","743","557"
"417178","Albert I Prince Technical High School","CT","1","3","","","","0.0","","","","55"
"417318","College of Business and Technology-Main Campus","FL","2","1","182","862","0.700184502","1.0","12650.0","8500.0","1344","126"
"417549","Camelot College","LA","1","3","52","346","0.445255475","0.501","","","450","267"
"410797","Ohio Media School-Valley View","OH","1","3","78","482","0.734482759","0.877","9500.0","9500.0","593","172"
"417062","Estes Institute of Cosmetology Arts and Science","CA","1","3","","87","0.414634146","0.2566","","","106","89"
"417123","Ventura Adult and Continuing Education","CA","1","3","37","103","0.25","0.1254","3432.5","3500.0","61","142"
"417503","Crave Beauty Academy","KS","1","3","42","206","0.802259887","0.9261","","","300","286"
"407425","Capri Institute of Hair Design-Paramus","NJ","1","3","41","148","0.675862069","0.352","","","173","197"
"365480","Meridian Technology Center","OK","1","2","30","89","0.182481752","0.0","","","","304"
"366155","Cloyd's Barber School 2 Inc","LA","1","3","","","","0.0","","","","27"
