"id","school.name","school.state","school.degrees_awarded.highest","school.institutional_characteristics.level"
"147031","Meadville Lombard Theological School","IL","4","1"
"147129","Methodist College","IL","3","1"
"147165","Midstate College","IL","3","1"
"144971","Eureka College","IL","3","1"
"153311","Eastern Iowa Community College District","IA","2","2"
"153445","Hawkeye Community College","IA","2","2"
"153773","La James College of Hairstyling and Cosmetology","IA","1","2"
"153782","La James International College-Ft Dodge","IA","1","2"
"153922","Marshalltown Community College","IA","2","2"
"153533","Iowa Lakes Community College","IA","2","2"
"154378","Southeastern Community College","IA","2","2"
"154235","Saint Ambrose University","IA","4","1"
"154101","Northwestern College","IA","3","1"
"154129","Northwest Iowa Community College","IA","2","2"
"153977","Mercy College of Health Sciences","IA","3","1"
"153746","La James International College-Cedar Falls","IA","1","2"
"153764","La James International College-Johnston","IA","1","2"
"143118","Aurora University","IL","4","1"
"144962","Elmhurst College","IL","4","1"
"143659","Catholic Theological Union at Chicago","IL","4","1"
"143853","Midwestern University-Downers Grove","IL","4","1"
"143978","The Chicago School of Professional Psychology at Chicago","IL","4","1"
"144050","University of Chicago","IL","4","1"
"145831","Illinois Valley Community College","IL","2","2"
"144883","East-West University","IL","3","1"
"144467","Le Cordon Bleu College of Culinary Arts-Chicago","IL","2","2"
"145691","Illinois College","IL","4","1"
"144485","Coyne College","IL","2","2"
"145099","First Institute Inc","IL","1","3"
"145239","Fox College","IL","2","2"
"143464","Cameo Beauty Academy","IL","1","3"
"143473","Cannella School of Hair Design-Villa Park","IL","1","3"
"143482","Cannella School of Hair Design-Chicago","IL","1","3"
"143543","Empire Beauty School-Hanover Park","IL","1","3"
"247010","Headmasters School of Hair Design","ID","1","2"
"247700","National American University-Independence","MO","3","1"
"246071","Career Technology Center of Lackawanna County","PA","1","3"
"246345","Houston Graduate School of Theology","TX","4","1"
"246354","Palo Alto College","TX","2","2"
"240444","University of Wisconsin-Madison","WI","4","1"
"248882","National American University-Albuquerque","NM","3","1"
"243346","Universidad del Este","PR","4","1"
"244011","ITT Technical Institute-Sylmar","CA","3","1"
"243221","University of Puerto Rico-Rio Piedras","PR","4","1"
"246974","Carrington College-San Leandro","CA","2","2"
"245953","Mid-America Christian University","OK","4","1"
"247825","Austin Graduate School of Theology","TX","4","1"
"248192","Jenny Lea Academy of Cosmetology","KY","1","2"
"248527","Cloyd's Beauty School 3 Inc","LA","1","3"
"248606","Moore Norman Technology Center","OK","1","2"
"248624","Fayette County Career & Technical Institute Practical Nursing Program","PA","1","3"
"244437","Georgia State University-Perimeter College","GA","2","2"
"242316","Instituto de Educacion Tecnica Ocupacional La Reine-Manati","PR","1","3"
"242723","Inter American University of Puerto Rico-School of Law","PR","4","1"
"366696","ITT Technical Institute-Houston North","TX","3","1"
"365569","Connecticut Institute of Hair Design","CT","1","3"
"366252","Pennsylvania College of Technology","PA","3","1"
"366650","ITT Technical Institute-Knoxville","TN","3","1"
"366748","Argosy University-Hawaii","HI","4","1"
"366553","Southern Technical College","FL","3","1"
"366368","New York Academy of Art","NY","4","1"
"366465","Ogeechee Technical College","GA","2","2"
"366270","Delta College of Arts & Technology","LA","2","2"
"365383","Wilkes-Barre Area Career and Technical Center Practical Nursing","PA","1","3"
"365426","Mayo Clinic Graduate School of Biomedical Sciences","MN","4","1"
"365505","Waynesville Career Center","MO","1","3"
"240189","University of Wisconsin-Whitewater","WI","4","1"
"240417","University of Wisconsin-Stout","WI","4","1"
"240116","Chippewa Valley Technical College","WI","2","2"
"241739","Universidad Metropolitana","PR","4","1"
"239929","Bryant & Stratton College-Milwaukee","WI","3","1"
"242750","International Technical College","PR","1","3"
"242972","National University College-Bayamon","PR","4","1"
"243115","University of Puerto Rico-Arecibo","PR","3","1"
"243188","University of Puerto Rico-Utuado","PR","3","1"
"243203","University of Puerto Rico-Medical Sciences","PR","4","1"
"243072","Ponce Paramedical College Inc","PR","2","2"
"251251","ITT Technical Institute-Newburgh","IN","3","1"
"248934","ECPI University","VA","4","1"
"260293","Everest University-Brandon","FL","4","1"
"251312","South University-Columbia","SC","4","1"
"251260","Southern Union State Community College","AL","2","2"
"250993","Red River Technology Center","OK","1","3"
"251075","Brightwood Career Institute-Harrisburg","PA","2","2"
"249140","Branford Hall Career Institute-Jersey City","NJ","1","3"
"250744","Dorsey Business Schools-Roseville","MI","1","3"
"246035","Carrington College-Portland","OR","2","2"
"248633","Franklin County Career and Technology Center","PA","1","3"
"248660","Paul Mitchell the School-Knoxville","TN","1","3"
"248703","Ogle School Hair Skin Nails-Hurst","TX","1","3"
"240790","Northern Marianas College","MP","3","1"
"241100","American University of Puerto Rico","PR","4","1"
"240426","University of Wisconsin-Superior","WI","4","1"
"240620","Laramie County Community College","WY","2","2"
"240505","Casper College","WY","2","2"
"240125","Waukesha County Technical College","WI","2","2"
"240198","Wisconsin Indianhead Technical College","WI","2","2"
"241128","American University of Puerto Rico","PR","4","1"
"240754","University of Guam","GU","4","1"
"241225","Universidad Central de Bayamon","PR","4","1"
