"id","school.name","school.state","school.degrees_awarded.highest","school.institutional_characteristics.level","2013.earnings.6_yrs_after_entry.not_working_not_enrolled.overall","2013.earnings.6_yrs_after_entry.working_not_enrolled.overall","2013.completion.title_iv.completed_by.4yrs","2013.aid.federal_loan_rate","2013.aid.median_debt.female_students","2013.aid.median_debt.male_students","2013.aid.cumulative_debt.number","2013.student.size"
"447722","Palladium Technical Academy","CA","1","3","27","100","0.758169935","0.9434","5200.5","5200.0","188","73"
"447731","Palace Beauty College","CA","1","3","","56","0.617021277","0.5815","","","194","148"
"447759","National Polytechnic College","CA","1","2","49","139","0.800675676","0.595","9496.5","9500.0","285","234"
"447768","American Career College-Ontario","CA","2","2","204","702","0.708964647","0.6214","9500.0","9500.0","2427","1634"
"447795","American Institute of Massage Therapy","CA","1","3","","","","0.5357","","","27","28"
"447874","CDA Technical Institute","FL","1","3","51","264","0.719457014","0.7143","","","650","375"
"447883","American Institute of Beauty","FL","1","3","74","166","0.427860697","0.9485","6333.0","9500.0","411","65"
"447908","Florida Academy of Health & Beauty","FL","1","3","","","","0.5","","","33","29"
"447953","SUM Bible College and Theological Seminary","CA","4","1","","","0.414414414","0.9813","12115.0","11504.0","269","348"
"447971","Hair Expressions Academy","MD","1","3","","73","0.609756098","0.6324","","","221","45"
"447980","Nuvo College of Cosmetology","MI","1","3","","","0.653061225","0.7922","","","78","44"
"447999","WellSpring School of Allied Health-Kansas City","MO","2","2","26","144","0.810606061","0.6947","7125.0","4750.0","225","125"
"448211","North West Beauty School","TX","1","3","26","81","0.357142857","0.9","","","69","45"
"448257","Avi Career Training","VA","1","3","","","","0.7778","","","48","23"
"448284","Doane University-Graduate and Professional Studies","NE","4","1","35","538","0.521201413","0.6636","15000.0","14725.0","1291","721"
"448415","MedTech College","IN","2","2","135","940","0.537067545","0.5441","14167.0","11082.5","3824","603"
"449199","Regency Beauty Institute-Greenwood","IN","1","3","431","2466","0.504464286","0.7941","9357.0","9500.0","11714","69"
"449214","Regency Beauty Institute-Duluth","MN","1","3","431","2466","0.504464286","0.7875","9357.0","9500.0","11714","51"
"449250","The College of Health Care Professions-San Antonio","TX","1","2","228","1252","0.73570658","0.686","7917.0","7521.0","2052","272"
"449311","Brittany Beauty School","NY","1","3","135","339","0.693370166","0.9715","","","513","176"
"448761","CollegeAmerica-Fort Collins","CO","3","1","248","810","0.312720848","0.8333","18103.0","12000.0","1608","60"
"448798","Empire Beauty School-Milwaukee","WI","1","3","82","271","0.501712329","0.4505","7903.0","7355.5","1028","66"
"448886","Arizona State University-Downtown Phoenix","AZ","4","1","1304","12941","0.533406836","0.5784","14250.0","14000.0","30112","8555"
"221980","New Concepts School of Cosmetology","TN","1","3","","","0.586956522","0.0968","","","37","124"
"247162","Ecumenical Theological Seminary","MI","4","1","","","","0.0","","","","16"
"436429","Los Angeles Film School","CA","3","1","49","253","0.603890363","0.1697","14325.0","15485.0","2664","2218"
"449092","College of Business and Technology-Hialeah","FL","2","2","182","862","0.700184502","1.0","12650.0","8500.0","1344","178"
"449117","Miller-Motte College-Cary","NC","2","2","202","854","0.416706444","0.8172","9500.0","9480.0","5337","320"
"449153","Dewey University-Arroyo","PR","1","2","2456","3191","0.050090369","0.0","","","","169"
"448460","ITT Technical Institute-Dunmore","PA","2","2","974","5336","0.370388079","0.8541","12667.0","11834.0","71736","186"
"449010","The Art Institute of Tennessee-Nashville","TN","3","1","631","3882","0.247469309","0.8427","10500.0","9500.0","8308","991"
"448512","ITT Technical Institute-Tulsa","OK","3","1","974","5336","0.370388079","0.8467","12667.0","11834.0","71736","519"
"448576","Argosy University-The Art Institute of California-Inland Empire","CA","3","1","560","2587","0.116635839","0.8765","6569.0","6334.0","29626","2307"
