"id","school.name","school.state","school.degrees_awarded.highest","school.institutional_characteristics.level","2013.earnings.6_yrs_after_entry.not_working_not_enrolled.overall","2013.earnings.6_yrs_after_entry.working_not_enrolled.overall","2013.completion.title_iv.completed_by.4yrs","2013.completion.completion_rate_4yr_100nt","2013.completion.transfer_rate.4yr.full_time","2013.aid.federal_loan_rate","2013.aid.median_debt.female_students","2013.aid.median_debt.male_students","2013.aid.cumulative_debt.number","2013.student.size"
"211361","California University of Pennsylvania","PA","4","1","211","2675","0.489722967","0.3102","0.0","0.7454","16875.0","16410.0","4520","6393"
"212160","Edinboro University of Pennsylvania","PA","4","1","195","2230","0.389403292","0.2336","0.0","0.7777","16896.0","15000.0","4149","5756"
"212115","East Stroudsburg University of Pennsylvania","PA","4","1","121","1983","0.352046784","0.3567","0.0","0.65","16250.5","13838.0","3664","6109"
"212133","Eastern University","PA","4","1","104","1054","0.509073544","0.4905","0.0","0.7542","18924.5","15500.0","1927","2458"
"212656","Geneva College","PA","4","1","73","655","0.516666667","0.5897","0.0883","0.9085","19025.0","18750.0","1062","1532"
"211617","Brightwood Career Institute-Philadelphia Mills","PA","2","2","541","1970","0.589285714","","","0.3353","9492.0","9500.0","1452","718"
"377272","SW School of Business and Technical Careers-Cosmetology","TX","1","3","29","70","","","","0.7015","","","43","59"
"377485","Virginia Beach City Public Schools School of Practical Nursing","VA","1","3","","","","","","0.0","","","","30"
"377564","University of Washington-Tacoma Campus","WA","4","1","839","7894","0.721619898","0.2955","0.0","0.5181","12500.0","12570.0","13418","3587"
"366678","ITT Technical Institute-Austin","TX","3","1","974","5336","0.370388079","","0.0","0.751","12667.0","11834.0","71736","432"
"376631","Mr Wayne's School of Unisex Hair Design","TN","1","3","","","0.705882353","","","0.3684","","","45","37"
"376668","The Center for Cosmetology Education","TN","1","3","","77","0.382352941","","","0.9151","6194.0","4750.0","112","30"
"376677","Queen City College","TN","1","3","37","108","0.216494845","","","0.3519","4750.0","4750.0","107","119"
"377111","Remington College-Fort Worth Campus","TX","2","1","300","1543","0.543457797","","","0.6544","9369.0","8360.0","7905","408"
"375656","Chisholm Trail Technology Center","OK","1","3","","","","","","0.0","","","","96"
"375683","Gordon Cooper Technology Center","OK","1","2","34","208","0.161676647","","","0.0","","","","923"
"375744","Kiamichi Technology Center-Poteau","OK","1","3","224","592","0.071287129","","","0.0","","","","246"
"375762","Kiamichi Technology Centers-Talihina Campus","OK","1","3","224","592","0.071287129","","","0.0","","","","52"
"375841","Le Cordon Bleu College of Culinary Arts-Portland","OR","2","2","472","2929","0.593358999","","","0.7783","12272.0","10076.0","2861","563"
"380474","Utah College of Massage Therapy-Salt Lake City","UT","1","3","795","2933","0.507025291","","","0.8904","7855.0","8193.0","3863","346"
"380377","Northwest Indian College","WA","3","1","49","111","0.145374449","0.0","0.0","0.0","","","","653"
"380438","Provo College","UT","3","1","95","416","0.593080725","","","0.8338","11250.0","11512.0","634","307"
"375966","Eastern Center for Arts and Technology","PA","1","3","","110","0.790322581","","","0.9495","9500.0","9500.0","178","142"
"376288","Institucion Chaviano de Mayaguez","PR","1","3","130","77","","","","0.0","","","","82"
"376385","Universal Technology College of Puerto Rico","PR","3","1","713","877","0.084588644","","0.0","0.0","","","","1260"
"375939","YTI Career Institute-Altoona","PA","2","2","98","321","0.675675676","","","0.8523","8611.0","10641.0","479","405"
"379782","Center for Advanced Legal Studies","TX","4","1","36","199","0.613636364","","0.0","0.648","12335.0","8836.0","238","125"
"377722","Bellus Academy-Poway","CA","1","2","70","240","0.787769784","","","0.5035","8721.0","8769.0","752","372"
"364025","Chandler-Gilbert Community College","AZ","2","2","191","1154","0.007531381","","","0.1583","3500.0","3500.0","3598","9621"
"369905","Bryant & Stratton College-Eastlake","OH","3","1","1768","7824","0.269047619","","0.0233","0.9108","9393.0","6274.5","19464","613"
"369659","Oregon College of Oriental Medicine","OR","4","1","","","","","","","","","",""
"369695","Sebring Career Schools-Houston","TX","1","3","49","133","0.132075472","","","0.0","","","37","98"
"369862","Miami-Jacobs Career College-Columbus","OH","2","2","420","1894","0.327710843","","","0.8649","9500.0","9433.5","6498","304"
"372240","Universal College of Beauty Inc-Los Angeles 2","CA","1","3","27","78","","","","0.0","","","","32"
"372958","Remington College-Honolulu Campus","HI","3","1","300","1543","0.543457797","0.6429","0.0","0.6723","9369.0","8360.0","7905","495"
"374024","Adler Graduate School","MN","4","1","","","","","","","","","",""
"374592","Monmouth County Vocational School District","NJ","1","3","","63","0.588235294","","","0.1858","","","53","98"
"374875","Brightwood College-Las Vegas","NV","2","2","170","576","0.686774942","","","0.3023","9418.0","9418.0","1378","994"
"373058","Vatterott College-Des Moines","IA","2","2","194","1072","0.515845929","","","0.3088","12999.0","13291.0","2228","239"
"371052","Fortis College","AL","2","2","206","922","0.525233645","","","0.6683","8841.0","9500.0","2599","359"
"373784","All-State Career-Baltimore","MD","1","3","436","1808","0.678494158","","","0.5042","9278.0","6333.0","3389","1078"
"374927","Beauty School of Middletown","NY","1","3","35","95","0.716666667","","","0.4381","","","98","68"
"375373","Knox County Career Center","OH","1","3","","132","0.75","","","0.6425","8618.0","7130.0","263","252"
"371928","Modern Technology School","CA","1","2","43","235","0.898305085","","","0.6075","13399.0","10250.0","228","83"
"372000","Thuy Princess Beauty College","CA","1","3","","","","","","0.0","","","","77"
"384236","United Education Institute-Ontario","CA","1","3","","","","","","","","","",""
"384245","United Education Institute-Encino","CA","1","3","","","","","","","","","",""
"384342","Heartland Community College","IL","2","2","160","843","0.216411181","","","0.1376","4500.0","3500.0","1302","4692"
"383400","Northeastern Hospital School of Nursing","PA","1","2","","50","","","","0.8243","","","79","72"
"383525","Erie 2 Chautauqua Cattaraugus BOCES-Practical Nursing Program","NY","1","3","","133","0.783333333","","","0.9845","","","21","85"
"383950","Antonelli College-Hattiesburg","MS","2","2","260","944","0.271095153","","","0.9759","10750.0","12125.0","1916","256"
"382771","Miller-Motte Technical College-Clarksville","TN","2","2","730","2889","0.381311228","","","0.8165","9500.0","8479.0","8687","524"
"382902","Star College of Cosmetology 2","TX","1","3","57","145","0.35","","","0.4078","","","105","90"
"383020","Midwest College of Oriental Medicine-Racine","WI","4","1","","","","","","0.9167","","","46","20"
"383172","Advanced Technical Centers","FL","1","3","","","","","","0.0","","","","35"
"383297","Long Island Beauty School-Hauppauge","NY","1","3","63","208","0.779816514","","","0.3889","7167.0","7788.0","637","311"
"385132","The Salon Professional Academy-Melbourne","FL","1","3","","78","0.594936709","","","0.8365","9468.0","7174.0","168","99"
"385503","Fortis Institute-Scranton","PA","2","2","103","408","0.513089005","","","0.768","11850.0","9500.0","618","464"
"381699","Cheeks International Academy of Beauty Culture-Fort Collins","CO","1","3","29","116","0.589147287","","","0.8085","","","194","34"
"382276","Westech College","CA","1","3","212","451","0.773","","","0.8995","9407.0","9306.0","868","484"
"381370","Michigan College of Beauty-Troy","MI","1","3","110","318","0.702290076","","","0.8762","6333.0","9833.0","388","301"
"385549","Milan Institute of Cosmetology-Amarillo","TX","1","3","238","759","0.573248408","","","0.7179","9500.0","9500.0","3049","174"
"383367","Greater Altoona Career & Technology Center","PA","1","3","28","144","0.744966443","","","0.5271","9500.0","6094.0","276","264"
"367431","New Castle Beauty Academy","PA","1","3","35","129","0.677419355","","","0.507","","","158","34"
"105330","Northern Arizona University","AZ","4","1","498","4931","0.451895599","0.3017","0.0","0.5571","13000.0","12417.0","11898","22011"
"106494","Arthur's Beauty College Inc-Jacksonville","AR","1","3","61","129","0.52173913","","","0.679","","","222","64"
"106704","University of Central Arkansas","AR","4","1","234","2638","0.326357748","0.2053","0.2745","0.492","10500.0","9500.0","4822","9261"
"104708","Glendale Community College","AZ","2","2","516","2832","0.001919754","","","0.1951","3500.0","3500.0","6553","16623"
"108870","American Film Institute Conservatory","CA","4","1","","","","","","","","","",""
"109086","American Conservatory Theater","CA","4","1","","","","","","","","","","0"
"109730","Associated Technical College-San Diego","CA","1","3","91","136","0.52631579","","","0.9448","8150.0","8150.0","242","110"
"109819","Bakersfield College","CA","2","2","732","3264","0.027970512","","","0.0401","5635.5","4750.0","1063","15854"
"108232","Academy of Art University","CA","4","1","689","3024","0.107343312","0.0529","0.0","0.5957","11857.0","12077.5","7207","10300"
"109934","Bellus Academy-National City","CA","1","2","50","137","0.552941177","","","0.6246","13855.5","10410.0","265","185"
"110185","Brooks Institute","CA","4","1","120","586","0.51552795","0.3526","0.0","0.6944","26000.0","28208.5","442","492"
"107637","Southeast Arkansas College","AR","2","2","203","714","0.032425422","","","0.7236","3500.0","3500.0","857","1415"
"107789","Paul Mitchell the School-Arkansas","AR","1","3","","52","0.743243243","","","0.6419","","","141","96"
"107877","Williams Baptist College","AR","3","1","","217","0.348314607","0.2424","0.0","0.6307","9800.0","8355.5","337","501"
"107725","University of Arkansas Community College-Hope","AR","2","2","105","503","0.230031949","","","0.0368","2625.0","1750.0","126","1157"
"107992","Southern Arkansas University Tech","AR","2","2","57","302","0.237209302","","","0.2262","3500.0","5000.0","509","894"
"110608","California State University-Northridge","CA","4","1","913","7461","0.448928308","0.132","0.1104","0.3636","11000.0","11000.0","11629","33581"
"110556","California State University-Fresno","CA","4","1","442","4934","0.419606787","0.1371","0.0325","0.3628","12000.0","12352.5","6810","19911"
"110671","University of California-Riverside","CA","4","1","478","4011","0.625760209","0.4104","0.2135","0.5688","15956.5","15500.0","8070","18612"
"110644","University of California-Davis","CA","4","1","736","6303","0.717241379","0.5126","0.0","0.4467","12689.0","12382.5","9546","26483"
"110529","California State Polytechnic University-Pomona","CA","4","1","419","4824","0.434005109","0.1005","0.0413","0.3883","13500.0","14501.0","6008","20857"
"110246","Butte College","CA","2","2","786","2436","0.046355596","","","0.1393","7500.0","5585.0","2630","11123"
"110361","California Baptist University","CA","4","1","131","1178","0.204486626","0.409","0.0","0.7734","14609.5","12750.0","3465","5797"
"110404","California Institute of Technology","CA","4","1","","128","0.571428571","0.8225","0.0","0.2508","11125.0","12371.0","84","977"
"110413","California Lutheran University","CA","4","1","50","599","0.586053413","0.6132","0.2642","0.556","16750.0","18000.0","1523","2882"
"110370","California College of the Arts","CA","4","1","66","443","0.549828179","0.3118","0.0","0.5304","21500.0","23625.0","634","1463"
"108649","Avalon School of Cosmetology-Alameda","CA","1","3","","57","0.461111111","","","0.809","","","310","186"
"108852","American Academy of Dramatic Arts-Los Angeles","CA","2","2","","110","0.718518519","","","0.5701","9500.0","9500.0","383","258"
"100751","The University of Alabama","AL","4","1","320","4322","0.516193323","0.4274","0.221","0.4148","15455.0","15000.0","9280","28692"
"430351","ITT Technical Institute-Harrisburg","PA","2","2","974","5336","0.370388079","","","0.7977","12667.0","11834.0","71736","239"
"100858","Auburn University","AL","4","1","232","3601","0.53186097","0.3758","0.224","0.361","17000.0","15000.0","5807","19761"
"429100","Arlington Medical Institute","TX","1","3","","63","0.791304348","","","1.0","","","49","54"
"430157","Golf Academy of America-Orlando","FL","2","2","2241","8792","0.321583447","","","0.5551","9500.0","9500.0","29763","255"
"101161","James H Faulkner State Community College","AL","2","2","192","1393","0.117248567","","","0.4042","5250.0","4020.0","2789","4182"
"102614","University of Alaska Fairbanks","AK","4","1","183","959","0.203376823","0.1415","0.1538","0.2676","7999.5","8351.5","2574","5729"
"430388","ITT Technical Institute-Strongsville","OH","3","1","974","5336","0.370388079","","0.0","0.8565","12667.0","11834.0","71736","391"
