"id","school.name","school.state","school.degrees_awarded.highest","school.institutional_characteristics.level"
"165945","Gordon-Conwell Theological Seminary","MA","4","1"
"165981","Greenfield Community College","MA","2","2"
"166328","La Baron Hairdressing Academy-New Bedford","MA","1","3"
"166683","Massachusetts Institute of Technology","MA","4","1"
"175935","Meridian Community College","MS","2","2"
"175236","Ridgewater College","MN","2","2"
"175643","East Central Community College","MS","2","2"
"175281","Mitchell Hamline School of Law","MN","4","1"
"175421","Belhaven University","MS","4","1"
"174914","University of St Thomas","MN","4","1"
"174899","The College of Saint Scholastica","MN","4","1"
"175139","United Theological Seminary of the Twin Cities","MN","4","1"
"175157","Vermilion Community College","MN","2","2"
"175980","Millsaps College","MS","4","1"
"174118","Minneapolis Business College","MN","2","2"
"173744","Aveda Institute-Minneapolis","MN","1","3"
"178624","Northwest Missouri State University","MO","4","1"
"179159","Saint Louis University","MO","4","1"
"178448","Moberly Area Community College","MO","2","2"
"178411","Missouri University of Science and Technology","MO","4","1"
"176044","Mississippi Valley State University","MS","4","1"
"177436","Four Rivers Career Center","MO","1","3"
"177588","House of Heavilin Beauty College-Kansas City","MO","1","3"
"177719","Barnes-Jewish College Goldfarb School of Nursing","MO","4","1"
"177986","Logan University","MO","4","1"
"178110","Metro Business College-Cape Girardeau","MO","2","2"
"177302","Pinnacle Career Institute-South Kansas City","MO","2","2"
"178183","Midwest Institute","MO","2","2"
"178697","College of the Ozarks","MO","3","1"
"174738","Rochester Community and Technical College","MN","2","2"
"174385","National American University-Roseville","MN","3","1"
"174020","Metropolitan State University","MN","4","1"
"173911","South Central College","MN","2","2"
"174491","University of Northwestern-St Paul","MN","4","1"
"174817","Saint Mary's University of Minnesota","MN","4","1"
"174251","University of Minnesota-Morris","MN","3","1"
"174127","Minneapolis College of Art and Design","MN","4","1"
"174747","College of Saint Benedict","MN","3","1"
"173452","Martin Luther College","MN","4","1"
"179195","Salem College of Hairstyling","MO","1","3"
"179238","Sikeston Career and Technology Center","MO","1","3"
"179317","Saint Paul School of Theology","KS","4","1"
"179326","Southwest Baptist University","MO","4","1"
"180160","Chief Dull Knife College","MT","2","2"
"180197","Flathead Valley Community College","MT","2","2"
"180063","Butte Academy of Beauty Culture","MT","1","2"
"180106","Carroll College","MT","3","1"
"179715","North Central Missouri College","MO","2","2"
"179955","William Jewell College","MO","4","1"
"180203","Aaniiih Nakoda College","MT","2","2"
"180373","Miles Community College","MT","2","2"
"179450","Saint Luke's College of Health Sciences","MO","3","1"
"179511","St Louis College of Health Careers-St Louis","MO","2","2"
"180151","Dawson Community College","MT","2","2"
"179919","Wentworth Military Academy and College","MO","2","2"
"174321","Model College of Hair Design","MN","1","3"
"173328","Concordia University-Saint Paul","MN","4","1"
"173887","The Art Institutes International-Minnesota","MN","3","1"
"173805","Itasca Community College","MN","2","2"
"173665","Hamline University","MN","4","1"
"173300","Concordia College at Moorhead","MN","4","1"
"173939","Regency Beauty Institute-Blaine","MN","1","3"
"173179","Bethel Seminary-St Paul","MN","4","1"
"173470","Cosmetology Careers Unlimited College of Hair Skin and Nails","MN","1","3"
"173489","Duluth Business University","MN","3","1"
"173647","Gustavus Adolphus College","MN","3","1"
"173896","Luther Seminary","MN","4","1"
"173902","Macalester College","MN","3","1"
"180461","Montana State University","MT","4","1"
"180771","La'James International College","NE","1","2"
"180902","Central Community College","NE","2","2"
"180948","Chadron State College","NE","4","1"
"181002","Creighton University","NE","4","1"
"180522","Montana State University-Northern","MT","4","1"
"175722","Academy of Hair Design-Grenada","MS","1","2"
"175786","Hinds Community College","MS","2","2"
"174066","University of Minnesota-Twin Cities","MN","4","1"
"176983","Grand River Technical School","MO","1","3"
"177083","Conception Seminary College","MO","3","1"
"177092","Concordia Seminary","MO","4","1"
"177126","Covenant Theological Seminary","MO","4","1"
"177214","Drury University","MO","4","1"
"176017","University of Mississippi","MS","4","1"
"176062","Mississippi College of Beauty Culture","MS","1","3"
"176071","Mississippi Gulf Coast Community College","MS","2","2"
"176600","Aquinas Institute of Theology","MO","4","1"
"176619","Assemblies of God Theological Seminary","MO","4","1"
"176716","House of Heavilin Beauty College-Blue Springs","MO","1","3"
"176947","Central Methodist University-College of Liberal Arts and Sciences","MO","3","1"
"176169","Northeast Mississippi Community College","MS","2","2"
"176053","Mississippi College","MS","4","1"
"177250","East Central College","MO","2","2"
"176479","William Carey University","MS","4","1"
"181419","Nebraska Indian Community College","NE","2","2"
"181464","University of Nebraska-Lincoln","NE","4","1"
"183859","Brookdale Community College","NJ","2","2"
"184278","Divers Academy International","NJ","1","3"
"184603","Fairleigh Dickinson University-Metropolitan Campus","NJ","4","1"
"183789","Berkeley College-Woodland Park","NJ","3","1"
"184056","Lincoln Technical Institute-Iselin","NJ","1","3"
