"id","school.name","school.state","school.degrees_awarded.highest","school.institutional_characteristics.level","2013.earnings.6_yrs_after_entry.not_working_not_enrolled.overall","2013.earnings.6_yrs_after_entry.working_not_enrolled.overall","2013.completion.title_iv.completed_by.4yrs","2013.aid.federal_loan_rate","2013.aid.median_debt.female_students","2013.aid.median_debt.male_students","2013.aid.cumulative_debt.number","2013.student.size"
"217475","Community College of Rhode Island","RI","2","2","518","3297","0.152289401","0.2801","3500.0","3499.5","5412","16856"
"217484","University of Rhode Island","RI","4","1","194","3717","0.560844787","0.7029","17500.0","15000.0","6179","13008"
"217420","Rhode Island College","RI","4","1","141","2008","0.32282202","0.5734","12500.0","13500.0","3723","7253"
"218025","Florence-Darlington Technical College","SC","2","2","278","1558","0.173447538","0.4084","5250.0","4750.0","3570","5913"
"218061","Francis Marion University","SC","4","1","95","1094","0.353691887","0.7148","17220.5","14250.0","2344","3380"
"217721","Benedict College","SC","3","1","158","1246","0.207836457","0.9232","19000.0","14250.0","2308","2512"
"217633","Anderson University","SC","4","1","55","589","0.457391304","0.6056","18495.0","15250.0","1289","2381"
"217873","Claflin University","SC","4","1","52","554","0.409240924","0.8994","18875.0","18628.0","1238","1803"
"218070","Furman University","SC","4","1","31","375","0.782152231","0.3381","20134.0","19833.0","703","2777"
"218751","Sherman College of Straight Chiropractic","SC","4","1","","","","","","","",""
"218867","Sumter Beauty College","SC","1","3","","","","0.0","","","","28"
"218894","Trident Technical College","SC","2","2","559","3549","0.066975023","0.4695","7500.0","6057.5","10111","15747"
"218353","Midlands Technical College","SC","2","2","577","3836","0.138496583","0.4345","4500.0","3750.0","7570","11214"
"218724","Coastal Carolina University","SC","4","1","177","2335","0.41005635","0.6858","12500.0","11250.0","5315","8570"
"218238","Limestone College","SC","4","1","111","1044","0.391261172","0.6825","17750.0","9500.0","2523","3150"
"218441","North Greenville University","SC","4","1","60","708","0.487364621","0.4719","9630.0","12888.5","940","2068"
"218955","Williamsburg Technical College","SC","2","2","65","236","","0.0","","","","713"
"218991","York Technical College","SC","2","2","244","1388","0.134411086","0.2122","5110.0","4875.0","1543","4821"
"218672","University of South Carolina-Lancaster","SC","2","2","318","4986","0.60266535","0.3117","17535.0","17246.5","9102","1053"
"218414","Newberry College","SC","3","1","33","455","0.376470588","0.7514","21250.0","17250.0","624","1032"
"217624","Allen University","SC","3","1","57","277","0.142458101","0.8869","14250.0","11083.0","615","651"
"217828","Charzanne Beauty College","SC","1","3","","72","","0.102","","","32","59"
"217837","Northeastern Technical College","SC","2","2","70","393","","0.0","","","","1022"
"217323","New England Tractor Trailer Training School of Rhode Island","RI","1","3","190","882","0.84938704","0.5528","6231.0","6263.0","1355","157"
"217350","Newport School of Hairdressing-Main Campus","RI","1","3","","","0.6","0.6119","","","41","36"
"217402","Providence College","RI","4","1","37","903","0.755526658","0.5326","27000.0","26415.0","1560","3969"
"217165","Bryant University","RI","4","1","35","1143","0.6","0.6148","26834.0","25250.0","1339","3263"
"216816","Westminster Theological Seminary","PA","4","1","","","","","","","",""
"217013","Wilson College","PA","4","1","28","217","0.25877193","0.7069","21693.5","12500.0","333","468"
"217615","Aiken Technical College","SC","2","2","144","915","0.162666667","0.2204","4906.0","4500.0","1031","2490"
"216807","Westminster College","PA","4","1","","403","0.659685864","0.7551","25250.0","25833.0","752","1313"
"216542","University of Valley Forge","PA","4","1","34","345","0.319587629","0.7085","23519.0","18250.0","529","767"
"216551","Valley Forge Military College","PA","2","2","","85","0.242038217","0.7944","8250.0","9500.0","207","268"
"216579","Venus Beauty Academy","PA","1","3","30","104","0.693333333","0.5078","","","155","112"
"216047","Saint Charles Borromeo Seminary-Overbrook","PA","4","1","","","","0.3061","","","34","53"
"216074","South Hills Beauty Academy Inc","PA","1","3","33","124","0.606060606","0.7716","","","207","92"
"216630","Washington Hospital School of Nursing","PA","1","2","","113","0.689189189","0.8392","","","119","76"
"216773","Western Pennsylvania Hospital School of Nursing","PA","1","2","","79","0.583333333","0.6479","","","66","95"
"217581","Empire Beauty School-Warwick","RI","1","3","82","271","0.501712329","0.7256","7903.0","7355.5","1028","88"
"220765","Genesis Career College-Cookeville","TN","1","3","33","103","0.658119658","0.8445","6333.0","6333.0","804","518"
"220792","Meharry Medical College","TN","4","1","","184","","","","","29",""
"220862","University of Memphis","TN","4","1","377","3875","0.368445914","0.6224","16500.0","13006.0","9993","16178"
