"id","school.name","school.state","school.degrees_awarded.highest","school.institutional_characteristics.level","2013.earnings.6_yrs_after_entry.working_not_enrolled.overall","2013.completion.title_iv.completed_by.4yrs","2013.completion.completion_rate_4yr_100nt","2013.completion.transfer_rate.4yr.full_time","2013.aid.federal_loan_rate","2013.aid.median_debt.female_students","2013.aid.median_debt.male_students","2013.aid.cumulative_debt.number","2013.student.size"
"203085","Heidelberg University","OH","4","1","450","0.367298578","0.3523","0.0","0.8432","21500.0","12000.0","800","1099"
"203739","Ohio Business College-Sandusky","OH","2","2","369","0.456436931","","","0.9291","10000.0","9500.0","1302","271"
"202161","Bradford School","OH","2","2","727","0.659758204","","","0.9426","13017.0","12000.0","774","449"
"202523","Denison University","OH","3","1","338","0.783197832","0.7778","0.0","0.5224","23189.0","20000.0","659","2255"
"198923","McDowell Technical Community College","NC","2","2","305","0.210526316","","","0.174","5500.0","4567.0","267","808"
"198969","Methodist University","NC","4","1","732","0.082191781","0.184","0.0","0.5739","12137.5","9500.0","1316","2172"
"199856","Wake Technical Community College","NC","2","2","1871","0.1614623","","","0.2968","5500.0","5250.0","8281","18020"
"200004","Western Carolina University","NC","4","1","2138","0.524152107","0.3203","0.241","0.5798","13000.0","13399.0","3966","8238"
"199980","Winston Salem Barber School","NC","1","3","","","","","0.0","","","","60"
"199999","Winston-Salem State University","NC","4","1","1603","0.363829787","0.1778","0.1892","0.7249","18494.0","18893.0","3356","4877"
"199281","University of North Carolina at Pembroke","NC","4","1","1628","0.265902579","0.1544","0.3134","0.6704","11105.5","9500.0","3495","5184"
"199069","University of Mount Olive","NC","4","1","1437","0.434626437","0.2591","0.2857","0.7001","17244.0","12239.0","2489","3336"
"199892","Wayne Community College","NC","2","2","862","0.191690274","","","0.3074","5250.0","5250.0","1524","3235"
"199795","Tri-County Community College","NC","2","2","250","0.25","","","0.1675","9500.0","5500.0","205","949"
"199838","Vance-Granville Community College","NC","2","2","958","0.06660746","","","0.1129","5500.0","5278.0","602","3863"
"199908","Western Piedmont Community College","NC","2","2","792","0.07757167","","","0.1791","5000.0","3600.0","547","2047"
"199847","Wake Forest University","NC","4","1","543","0.826771654","0.8183","0.0","0.3506","21000.0","20000.0","1115","4812"
"206084","University of Toledo","OH","4","1","4812","0.320680628","0.2317","0.0","0.5921","12000.0","11513.0","9922","15440"
"205841","Stark State College","OH","2","2","2725","0.118704396","","","0.63","9137.0","7000.0","11782","12995"
"205966","Southern State Community College","OH","2","2","1045","0.204198473","","","0.5696","6198.0","4598.0","2127","2019"
"206011","Terra State Community College","OH","2","2","691","0.113762928","","","0.4851","6828.0","5500.0","1912","2339"
"206482","Western Hills School of Beauty and Hair Design","OH","1","2","145","0.433070866","","","0.919","","","238","259"
"206491","Wilberforce University","OH","4","1","340","0.224","0.3939","0.0","0.9486","12385.0","12500.0","479","463"
"206446","Washington State Community College","OH","2","2","863","0.232839839","","","0.3237","7631.5","5500.0","752","1157"
"206525","Wittenberg University","OH","4","1","561","0.515625","0.5862","0.0","0.6768","22500.0","19500.0","936","1891"
"206181","Tri-Rivers Career Center","OH","1","3","88","0.671052632","","","0.5489","7049.0","6334.0","142","158"
"206279","Union Institute & University","OH","4","1","724","0.540412044","0.25","0.0","0.8424","14791.5","14625.0","1672","1217"
"206589","The College of Wooster","OH","3","1","373","0.803125","0.7046","0.0807","0.5144","22097.0","18887.0","676","2070"
"199625","Sampson Community College","NC","2","2","317","0.171122995","","","0.0","","","12","1342"
"199111","University of North Carolina at Asheville","NC","4","1","777","0.53196931","0.3695","0.1716","0.4633","14293.5","15500.0","1432","3323"
"199209","North Carolina Wesleyan College","NC","3","1","572","0.366396761","0.2295","0.0","0.8449","12500.0","9500.0","1239","1602"
"199582","Saint Augustine's University","NC","3","1","702","0.228618421","0.2182","0.0","0.8594","19500.0","14297.5","1219","1299"
"198978","Miller-Motte College-Wilmington","NC","3","1","2889","0.381311228","0.0","0.0","0.8852","9500.0","8479.0","8687","2856"
"199032","Montreat College","NC","4","1","432","0.399159664","0.2603","0.0","0.6733","18749.0","13384.0","559","661"
"199722","Southeastern Community College","NC","2","2","665","0.075669383","","","0.2497","5529.0","5500.0","630","1174"
"199494","Rowan-Cabarrus Community College","NC","2","2","1248","0.026180458","","","0.1597","5500.0","4811.5","2132","5842"
"199698","St Andrews University","NC","4","1","310","0.303643725","0.0374","0.4953","0.7319","11125.0","9500.0","778","573"
"199759","Southeastern Baptist Theological Seminary","NC","4","1","","","0.3611","0.0","0.0","","","","424"
"199768","Surry Community College","NC","2","2","676","0.105744125","","","0.0","","","56","2492"
"198844","Leons Beauty School Inc","NC","1","3","83","","","","0.4717","","","","143"
"198905","Martin Community College","NC","2","2","186","0.156934307","","","0.0","","","23","572"
"201645","Case Western Reserve University","OH","4","1","1324","0.81042654","0.6484","0.0","0.4815","21500.0","21000.0","1560","4551"
"201016","Antonelli College-Cincinnati","OH","2","2","944","0.271095153","","","0.9098","10750.0","12125.0","1916","180"
"200785","Herzing University-Akron","OH","3","1","1616","0.25384787","","0.0","0.8842","9500.0","9500.0","9122","298"
"201159","Auburn Career Center","OH","1","3","","0.215686275","","","0.25","12666.0","6333.0","151","203"
"201399","Fortis College-Ravenna","OH","2","2","515","0.632603406","","","0.8354","9499.0","6896.0","1605","356"
"200129","Headquarters Academy of Hair Design Inc","ND","1","2","51","","","","0.5844","","","65","53"
"200165","Josef's School of Hair Design Inc-Fargo Downtown","ND","1","2","95","0.322580645","","","0.6963","","","118","63"
"200208","Cankdeska Cikana Community College","ND","2","2","104","","","","0.0","","","","229"
