"id","school.name","school.state","school.degrees_awarded.highest","school.institutional_characteristics.level"
"486488","California Jazz Conservatory","CA","3","1"
"486503","Laredo CHI Academy Beauty School","TX","1","3"
"486521","The Training Domain","FL","1","3"
"486530","Gould's Academy","TN","1","3"
"486567","Paul Mitchell the School-Tulsa","OK","1","3"
"486725","Branford Hall Career Institute-Woodland Park","NJ","0","3"
"486770","Cortiva Institute-Florida-Texas Center for Massage Therapy","TX","1","3"
"486798","Tulsa Welding School-Houston","TX","0","3"
"486859","Wisconsin Academy a Paul Mitchell Partner Group-PMTS Lincoln","NE","1","2"
"486877","Eastern Suffolk BOCES","NY","1","3"
"486886","Eastern Suffolk BOCES","NY","1","3"
"487010","The University of Tennessee-Health Science Center","TN","4","1"
"487162","Southern Regional Technical College","GA","2","2"
"487302","Fortis College-Cuyahoga Falls","OH","2","2"
"487311","Sunstate Academy-Jones Technical Institute","FL","1","2"
"487320","Texas State Technical College","TX","2","2"
"487357","American National University-Stow","OH","2","2"
"487409","Florida Career College-Hialeah","FL","1","2"
"487427","Florida Career College-Tampa","FL","2","2"
"487445","Florida Career College-Boynton Beach","FL","2","2"
"487481","Florida Career College-UEI College-Phoenix","AZ","2","2"
"487621","Celebrity Barber School","LA","1","3"
"487630","American Academy of Cosmetology-Delray Beach","FL","1","3"
"11710401","Life Pacific College-Ignite","VA","0","2"
"13090702","Delaware Technical Community College-Stanton/Wilmington","DE","0","2"
"13962102","East Georgia State College - Augusta","GA","0","1"
"14902802","Saint Anthony College of Nursing - Sauk Valley Community College Campus","IL","0","1"
"16884703","Baker College of Auburn Hills","MI","0","1"
"16884704","Baker College of Cadillac","MI","0","1"
"16884707","Baker College of Muskegon","MI","0","1"
"16884708","Baker College of Owosso","MI","0","1"
"20354401","Kettering College - Ollie Davis Medical Arts and Education Center","OH","0","1"
"24378003","Purdue University - Purdue Polytechnic South Bend","IN","0","1"
"24378007","Purdue University - Purdue Polytechnic Kokomo","IN","0","1"
"42799101","Technical Education Center Osceola - St. Cloud Campus","FL","0","3"
"42799102","Technical Education Center Osceola - Poinciana Campus","FL","0","3"
"44370201","Bexley Seabury Seminary Federation  -","OH","0","1"
"44467101","Industrial Technical College - Naguabo","PR","0","3"
"45794301","Somerset County Technology Center - Bedford Site","PA","0","3"
"47503301","Relay Graduate School of Education - Newark","NJ","0","1"
"155308","Kansas Christian College","KS","2","1"
"401764","John Amico School of Hair Design","IL","1","3"
"459082","Virginia Tech Carilion School of Medicine","VA","4","1"
"480064","Kaplan University-Augusta Campus","ME","4","1"
"483230","The Fab School","CA","1","3"
"483285","Graduate School USA","DC","2","2"
"483337","Paul Mitchell the School-Greenville","SC","1","3"
"483373","Integrity College of Health","CA","1","3"
"483443","Computer Training Academy","CA","1","3"
"483504","Dorsey Business Schools-Dearborn","MI","1","3"
"483568","Ridley-Lowell Business & Technical Institute","RI","1","3"
"483647","Ohio Institute of Allied Health","OH","1","3"
"483674","Beauty and Health Institute","FL","1","3"
"483744","Vibe Barber College","TN","1","3"
"483753","Champ's Barber School","PA","1","3"
"483780","IGlobal University","VA","4","1"
"483850","Alliance Computing Solutions","NY","1","3"
"483869","InterAmerican Technical Institute","FL","1","3"
"483878","Bay Area Medical Academy","CA","1","3"
"483896","Parisian Spa Institute","FL","1","3"
"483911","Creative Touch Cosmetology School","IL","1","3"
"483948","Bos-Man's Barber College","LA","1","3"
"483966","Healthcare Preparatory Institute","NV","1","3"
"483975","Alabama College of Osteopathic Medicine","AL","0","1"
"483984","Morthland College","IL","3","1"
"484048","Barber Institute of Texas","TX","1","3"
"484109","Paul Mitchell the School-Merrillville","IN","1","3"
"484118","Paul Mitchell the School-Lansing","MI","1","3"
"484163","Arizona School of Integrative Studies","AZ","1","3"
"484172","Lee Professional Institute","FL","1","3"
"484330","Ross Medical Education Center-Owensboro","KY","1","3"
"484367","North-West College-Santa Ana","CA","1","2"
"484613","University of Phoenix-Arizona","AZ","4","1"
"484640","University of Phoenix-Colorado","CO","4","1"
"484677","University of Phoenix-Georgia","GA","4","1"
"484695","University of Phoenix-Michigan","MI","4","1"
"484701","University of Phoenix-Missouri","MO","4","1"
"484710","University of Phoenix-Nevada","NV","4","1"
"484738","University of Phoenix-Oklahoma","OK","4","1"
"484747","University of Phoenix-Tennessee","TN","4","1"
"484765","University of Phoenix-Virginia","VA","4","1"
"484880","Heritage College-Cleveland","OH","1","3"
"485014","Empire Beauty School-Buffalo","NY","1","3"
"485032","Paul Mitchell the School-Toledo","OH","1","3"
"485111","Georgia Military College","GA","2","2"
"485120","New Horizons Medical Institute-Winder","GA","1","3"
"485184","Fayette Beauty Academy-Ritz Beauty Academy","GA","1","3"
"485342","Aparicio-Levy Technical College","FL","1","3"
"485351","Fred D. Learey Technical College","FL","1","2"
"485388","Hollywood Institute of Beauty Careers-Casselberry","FL","1","3"
"485412","Coachella Valley Beauty College-Beaumont","CA","1","3"
"10635102","Arkansas College of Barbering & Hair Design -  SWLR Campus","AR","0","3"
"10729301","Academy of Salon and Spa -","OK","0","3"
"12268507","San Joaquin Valley College-Modesto","CA","0","2"
"19570201","Saint Elizabeth College of Nursing","NY","0","2"
"22872301","Texas A & M University Health Science Center","TX","0","1"
"40620003","Wright Career College-Wichita","KS","0","2"
"44598401","Xtreme Career Institute -","PR","0","3"
"44801701","Healing Touch Career College - Jackson","MS","0","3"
"44977302","CCI Training Center","TX","0","3"
