"id","school.name","school.state","school.degrees_awarded.highest","school.institutional_characteristics.level","2013.earnings.6_yrs_after_entry.not_working_not_enrolled.overall","2013.earnings.6_yrs_after_entry.working_not_enrolled.overall","2013.completion.title_iv.completed_by.4yrs","2013.aid.federal_loan_rate","2013.aid.median_debt.female_students","2013.aid.median_debt.male_students","2013.aid.cumulative_debt.number","2013.student.size"
"437936","Carrington College-San Jose","CA","2","2","1234","4994","0.650550244","0.5865","11874.5","11982.0","6219","693"
"436094","Argosy University-Phoenix","AZ","4","1","560","2587","0.116635839","0.7068","6569.0","6334.0","29626","219"
"438869","Remington College-Little Rock Campus","AR","2","2","300","1543","0.543457797","0.5243","9369.0","8360.0","7905","229"
"438179","Brookline College-Tucson","AZ","3","1","473","1604","0.483746557","0.6287","9497.5","9233.0","3575","420"
"436614","International Baptist College and Seminary","AZ","4","1","","","","0.2407","","","19","43"
"437529","Culinary Academy of Long Island","NY","1","3","79","297","0.579842137","0.4317","8934.0","7916.0","3936","355"
"437556","Midwest Technical Institute-Springfield","IL","1","3","214","1219","0.676619718","0.9417","9500.0","9500.0","4679","464"
"437635","The College of Health Care Professions-Austin","TX","1","2","46","298","0.719665272","0.7429","9492.0","8592.5","512","223"
"437653","The English Center","CA","1","3","35","137","","0.0","","","","79"
"437662","ICDC College","CA","2","2","754","1824","0.706367536","0.96","9297.0","9500.0","5637","3265"
"242565","Instituto Tecnologico de Puerto Rico-Recinto de Ponce","PR","2","2","741","1573","","0.0","","","","644"
"260336","Clinton Technical School","MO","1","3","","","","0.8393","","","56","23"
"260363","Greene County Career and Technology Center","PA","1","3","","52","","0.9643","","","60","35"
"204769","The Spa School","OH","1","2","","105","0.658536585","0.5882","","","185","61"
"108269","Academy of Chinese Culture and Health Sciences","CA","4","1","","","","","","","",""
"191083","Erie Community College","NY","2","2","611","4747","0.12837407","0.3209","4620.5","4500.0","6826","11376"
"234359","Wilson Workforce and Rehabilitation Center","VA","1","3","","","","0.0","","","","164"
"217891","Clinton College","SC","3","1","","68","0.329268293","0.9137","10425.0","8625.0","132","185"
"243498","Seminario Evangelico de Puerto Rico","PR","4","1","","","","","","","",""
"384306","Acupuncture and Integrative Medicine College-Berkeley","CA","4","1","","","","","","","",""
"384421","Rabbi Jacob Joseph School","NJ","3","1","","","","0.0","","","","86"
"402563","Delta College Inc","LA","1","3","81","306","0.55393586","0.6648","","","610","102"
"434973","University of Phoenix-Maryland","MD","4","1","40061","185887","0.182380398","0.5103","9500.0","9500.0","285765","479"
"436632","The Medical Arts School","NC","1","3","39","140","0.668393782","0.9304","9500.0","8500.0","313","163"
