"id","school.name","school.state","school.degrees_awarded.highest","school.institutional_characteristics.level","2013.earnings.6_yrs_after_entry.not_working_not_enrolled.overall","2013.earnings.6_yrs_after_entry.working_not_enrolled.overall","2013.completion.title_iv.completed_by.4yrs","2013.completion.completion_rate_4yr_100nt","2013.completion.transfer_rate.4yr.full_time","2013.aid.federal_loan_rate","2013.aid.median_debt.female_students","2013.aid.median_debt.male_students","2013.aid.cumulative_debt.number","2013.student.size"
"207458","Oklahoma City University","OK","4","1","43","593","0.537070524","0.4875","0.125","0.4877","18000.0","19875.0","980","1954"
"207351","Oklahoma Panhandle State University","OK","3","1","52","448","0.306954437","0.1556","0.1472","0.5161","7500.0","7027.5","806","1238"
"207087","Enid Beauty College","OK","1","3","","50","0.7","","","0.4265","","","47","43"
"207157","Randall University","OK","3","1","","111","0.174418605","0.0417","0.1905","0.6169","6500.0","10500.0","130","195"
"205559","Daymar College-Columbus","OH","2","2","65","169","0.242460796","","","0.9123","17814.0","10327.0","651","69"
"199740","Stanly Community College","NC","2","2","98","533","0.210359408","","","0.0","","","","2384"
"205647","Brown Mackie College-Akron","OH","3","1","278","1822","0.378853985","","0.0056","0.7128","10211.0","9235.0","31694","694"
"204617","Ohio Dominican University","OH","4","1","83","958","0.36977492","0.2864","0.0153","0.5994","18750.0","17465.0","1304","1483"
"205203","University of Rio Grande","OH","4","1","131","947","0.03969129","0.2299","0.3362","0.6983","9500.0","8271.5","2062","1419"
"204440","Northwest State Community College","OH","2","2","139","1045","0.172333849","","","0.5127","5500.0","4426.5","1950","2030"
"204981","Cuyahoga Valley Career Center","OH","1","3","","81","0.666666667","","","0.6906","","","137","106"
"205090","Firelands Regional Medical Center School of Nursing","OH","1","2","","53","","","","0.8936","","","86","99"
"205179","Fortis College-Centerville","OH","3","2","198","1047","0.493048659","","0.0","0.817","13653.0","9500.0","4006","2802"
"204200","Mount Saint Joseph University","OH","4","1","53","609","0.151103565","0.3851","0.0","0.6543","23250.0","13000.0","1085","1655"
"204185","University of Mount Union","OH","4","1","29","694","0.594843462","0.5329","0.0","0.8161","24500.0","20170.0","1164","2056"
"205887","Stautzenberger College-Maumee","OH","2","2","151","721","0.389772727","","","0.9198","11609.0","11174.0","1731","790"
"205513","Gallipolis Career College","OH","2","2","61","90","0.208","","","0.9853","7125.0","7125.0","141","105"
"205522","Daymar College-New Boston","OH","2","2","65","169","0.242460796","","","0.7049","17814.0","10327.0","651","87"
"205568","Daymar College-Chillicothe","OH","2","2","65","169","0.242460796","","","0.8","17814.0","10327.0","651","76"
"208859","Phagans Grants Pass College of Beauty","OR","1","2","27","55","0.636363636","","","0.9067","","","64","39"
"208965","ITT Technical Institute-Portland","OR","3","1","974","5336","0.370388079","0.0","0.0","0.8152","12667.0","11834.0","71736","605"
"209506","Oregon Institute of Technology","OR","4","1","63","907","0.399527187","0.1828","0.1269","0.5068","14972.5","16167.5","1718","3443"
"209533","Oregon College of Art and Craft","OR","4","1","","63","0.450980392","0.0","0.0","0.8052","15751.0","23000.0","105","139"
"209612","Pacific University","OR","4","1","39","506","0.674129353","0.5215","0.0","0.8608","20877.0","17625.0","947","1729"
"209083","Northwest College-Beaverton","OR","1","2","57","154","0.600609756","","","0.7945","12345.5","13782.0","803","100"
"209108","Marylhurst University","OR","4","1","59","272","0.413461539","0.0","0.0","0.776","23002.0","19465.0","610","672"
"209241","Mount Angel Seminary","OR","4","1","","","","0.4211","0.4211","0.0519","","","","70"
"209287","Multnomah University","OR","4","1","29","222","0.486910995","0.3","0.0","0.7117","17885.0","16000.0","372","438"
"209409","Northwest Christian University","OR","4","1","","223","0.558823529","0.4231","0.4423","0.8114","15071.5","14468.0","426","478"
"209490","Oregon Health & Science University","OR","4","1","","647","0.910476191","","","0.7782","15375.0","4167.0","997","832"
"207856","Southwestern Christian University","OK","4","1","","121","0.353741497","0.3529","0.0","0.7856","12500.0","9500.0","416","801"
"209205","Northwest College-Clackamas","OR","1","2","57","154","0.600609756","","","0.3574","12345.5","13782.0","803","141"
"208725","New Hope Christian College-Eugene","OR","3","1","","","0.333333333","0.3","0.0","0.6712","7491.0","10375.0","152","179"
"204060","Miami-Jacobs Career College-Dayton","OH","2","2","420","1894","0.327710843","","","0.9378","9500.0","9433.5","6498","258"
"203845","Marietta College","OH","4","1","","510","0.585365854","0.4386","0.0","0.7122","25067.0","16000.0","781","1390"
"203580","Lake Erie College","OH","4","1","34","316","0.498452012","0.2785","0.0","0.7604","15368.0","15375.0","587","839"
"203544","Kettering College","OH","4","1","","288","0.505576208","0.6364","0.0","0.7","16000.0","19000.0","634","783"
"203720","Ohio Business College-Sheffield","OH","2","2","78","369","0.456436931","","","0.9512","10000.0","9500.0","1302","415"
"204176","Mount Carmel College of Nursing","OH","4","1","","305","0.822393822","0.4405","0.0","0.6704","18750.0","18750.0","573","947"
"200590","ETI Technical College","OH","2","2","38","183","0.526785714","","","0.8261","13815.0","9532.0","242","161"
"200086","Nueta Hidatsa Sahnish College","ND","3","1","25","55","","0.4","0.0","0.0","","","","181"
"200110","Josef's School of Hair Design Inc-Grand Forks","ND","1","2","","71","0.224137931","","","0.6667","","","166","69"
"198109","Cabarrus College of Health Sciences","NC","3","1","","147","0.587878788","","0.0","0.6926","11889.5","11000.0","353","440"
"201034","Apollo Career Center","OH","1","3","","108","","","","0.1224","6000.0","5750.0","266","506"
"201131","Ashtabula County Technical and Career Campus","OH","1","3","26","136","0.702702703","","","0.6136","5500.0","3166.0","161","159"
"212018","Pennsylvania State University-Dickinson Law","PA","4","1","1399","20915","0.551709217","","","","19500.0","19500.0","34627",""
"214777","Pennsylvania State University-Main Campus","PA","4","1","1399","20915","0.551709217","0.6458","0.0","0.522","19500.0","19500.0","34627","39460"
"214652","Pennsylvania State University-Penn State Worthington Scranton","PA","3","1","1399","20915","0.551709217","0.221","0.0","0.7245","19500.0","19500.0","34627","1089"
"214643","Pennsylvania State University-Penn State Wilkes-Barre","PA","3","1","1399","20915","0.551709217","0.3019","0.0","0.6823","19500.0","19500.0","34627","534"
"214625","Pennsylvania State University-Penn State New Kensington","PA","3","1","1399","20915","0.551709217","0.3376","0.0","0.6545","19500.0","19500.0","34627","615"
"215239","Community College of Philadelphia","PA","2","2","1370","5940","0.111951384","","","0.4708","3500.0","3500.0","12611","18204"
"212878","Harrisburg Area Community College-Harrisburg","PA","2","2","679","5599","0.167324711","","","0.5222","8206.0","5500.0","14745","13321"
"213020","Indiana University of Pennsylvania-Main Campus","PA","4","1","279","4104","0.419753086","0.3139","0.0","0.7292","20685.0","15000.0","7618","12405"
"214379","Northampton County Area Community College","PA","2","2","351","2335","0.211749516","","","0.233","5500.0","5500.0","3684","10114"
"213659","Luzerne County Community College","PA","2","2","306","2140","0.214957265","","","0.2899","4990.0","4298.5","2709","6070"
"213525","Lehigh Carbon Community College","PA","2","2","290","1973","0.171088747","","","0.2727","4944.5","4443.5","2970","5986"
"227155","Neilson Beauty College","TX","1","3","","","","","","0.0","","","","51"
"227216","University of North Texas","TX","4","1","641","8116","0.477123228","0.2466","0.0","0.5602","12716.0","12000.0","15316","31243"
"228431","Stephen F Austin State University","TX","4","1","288","3312","0.377818403","0.2297","0.4008","0.601","14250.0","11332.0","6154","10715"
"228723","Texas A & M University-College Station","TX","4","1","464","8088","0.683977394","0.4945","0.1235","0.3511","15250.0","15739.0","11867","43931"
"229063","Texas Southern University","TX","4","1","269","2233","0.181391379","0.0641","0.0","0.7412","13000.0","13259.0","5748","6288"
"228787","The University of Texas at Dallas","TX","4","1","258","2559","0.562398042","0.4583","0.2408","0.5766","13100.0","13301.0","4928","13042"
"228608","Temple College","TX","2","2","302","1641","0.169077307","","","0.491","8331.0","6257.0","3672","5292"
"228802","The University of Texas at Tyler","TX","4","1","189","1709","0.413333333","0.2729","0.0","0.4778","10973.0","10412.0","2907","5338"
"228875","Texas Christian University","TX","4","1","94","1438","0.675313808","0.5863","0.1857","0.3421","19500.0","18438.0","2237","8597"
"228644","The University of Texas Health Science Center at San Antonio","TX","4","1","33","595","0.873655914","","","0.5946","13000.0","6933.5","926","793"
"228653","The University of Texas Medical Branch","TX","4","1","","287","0.575396825","","","0.5547","15000.0","15000.0","677","725"
"224554","Texas A & M University-Commerce","TX","4","1","199","2155","0.448561677","0.2409","0.3256","0.5986","12500.0","10750.0","4572","6951"
"224642","El Paso Community College","TX","2","2","1121","5839","0.116508851","","","0.0613","4368.0","3500.0","3107","29390"
"223524","Brookhaven College","TX","2","2","174","1067","","","","0.086","4750.0","4750.0","1182","10365"
"221908","Northeast State Community College","TN","2","2","330","1687","0.168003565","","","0.2299","5386.5","4623.5","1856","5052"
"223083","Baptist Health System School of Health Professions","TX","3","1","","78","0.845394737","","","0.9333","15250.0","14750.0","534","444"
"223223","Baylor College of Medicine","TX","4","1","","80","","","","","","","",""
"223463","Remington College-Dallas Campus","TX","3","1","300","1543","0.543457797","","0.0","0.5294","9369.0","8360.0","7905","904"
"222026","Volunteer Beauty Academy-Dyersburg","TN","1","3","28","78","0.346153846","","","0.4472","","","95","59"
"222567","Alvin Community College","TX","2","2","118","737","0.197202797","","","0.0728","3500.0","3438.0","703","4227"
"222938","The Art Institute of Houston","TX","3","1","202","1259","0.266666667","0.2921","0.0347","0.7812","12667.0","9500.0","5227","2300"
"224305","Dallas Theological Seminary","TX","4","1","","","","","","","","","",""
"224439","Career Point College","TX","3","1","801","2576","0.184308264","","0.7761","1.0","9500.0","9500.0","2030","529"
"221999","Vanderbilt University","TN","4","1","73","942","0.866459627","0.8665","0.0","0.1349","12151.0","11900.0","899","6794"
"220312","Hiwassee College","TN","3","1","35","209","","","0.0","0.4496","6640.0","5500.0","189","222"
"220570","Knoxville Institute of Hair Design","TN","1","3","","","","","","0.0","","","","40"
"220756","Tennessee College of Applied Technology-McKenzie","TN","1","2","45","185","","","","0.0","","","","168"
"221759","The University of Tennessee-Knoxville","TN","4","1","382","5153","0.557592975","0.3678","0.0","0.4396","13350.0","13500.0","8172","20948"
"226091","Lamar University","TX","4","1","229","2089","0.292980244","0.1306","0.3573","0.5438","10250.0","9376.0","5849","9175"
"225432","University of Houston-Downtown","TX","4","1","380","3341","0.268035358","0.0265","0.491","0.4419","11458.0","9159.0","6607","13297"
"225308","Trinity Valley Community College","TX","2","2","267","1380","0.132034632","","","0.2792","5533.0","4749.5","2562","4958"
"225548","Howard Payne University","TX","4","1","50","498","0.357142857","0.302","0.0","0.6664","12896.0","9500.0","705","1059"
"224828","Fort Worth Beauty School","TX","1","3","42","150","0.284768212","","","0.7944","","","118","60"
"224961","Galveston College","TX","2","2","94","548","0.178253119","","","0.1197","4750.0","4000.0","464","1858"
"225371","Hill College","TX","2","2","163","896","0.199354318","","","0.2705","5750.0","4750.0","2046","3580"
"225414","University of Houston-Clear Lake","TX","4","1","143","1269","0.58239862","","","0.4457","12975.0","12330.0","2394","4691"
"225885","Jarvis Christian College","TX","3","1","45","373","0.142857143","0.0451","0.203","0.9619","12375.0","9500.0","470","610"
"223852","Charles and Sues School of Hair Design","TX","1","3","","62","0.604651163","","","0.6901","","","87","19"
"224156","Cosmetology Career Center LLC","TX","1","3","63","260","0.678100264","","","0.5373","9500.0","11355.0","977","215"
"226125","Laredo Beauty College Inc","TX","1","3","55","170","","","","0.0","","","","209"
"226134","Laredo Community College","TX","2","2","389","2326","0.094812165","","","0.0","2334.0","2334.0","282","8048"
"226833","Midwestern State University","TX","4","1","115","1417","0.418265541","0.1681","0.3075","0.5099","13750.0","11883.0","2759","5192"
"226471","University of Mary Hardin-Baylor","TX","4","1","91","917","0.433373349","0.2827","0.0","0.6876","16396.0","11977.5","1794","3006"
"226930","Mountain View College","TX","2","2","186","1275","","","","0.0866","4626.0","4005.0","930","7419"
