"id","school.name","school.state","school.degrees_awarded.highest","school.institutional_characteristics.level","2013.earnings.6_yrs_after_entry.not_working_not_enrolled.overall","2013.earnings.6_yrs_after_entry.working_not_enrolled.overall","2013.completion.title_iv.completed_by.4yrs","2013.aid.federal_loan_rate","2013.aid.median_debt.female_students","2013.aid.median_debt.male_students","2013.aid.cumulative_debt.number","2013.student.size"
"452373","Beckfield College-Tri-County","OH","2","2","72","491","0.378718536","0.7505","9500.0","12195.0","1865","554"
"453464","American National University-Youngstown","OH","2","2","839","2936","0.2461879","0.8281","11611.0","9500.0","4033","129"
"458830","Empire Beauty School-Springfield","PA","1","3","84","349","0.478439425","0.5673","5080.0","5016.0","1433","197"
"460464","Norco College","CA","2","2","","","","0.012","4500.0","4500.0","166","8321"
"460701","Artistic Nails and Beauty Academy-Lakeland","FL","1","3","95","183","0.511111111","0.5099","6333.0","9500.0","559","220"
"460765","Carolina College of Hair Design","NC","1","3","","","","0.0","","","","59"
"460783","Remington College-Heathrow Campus","FL","3","1","300","1543","0.543457797","0.83","9369.0","8360.0","7905","235"
"460844","Virginia College-Macon","GA","2","2","2241","8792","0.321583447","0.8571","9500.0","9500.0","29763","451"
"460862","Aveda Institute-Portland","OR","1","2","","","","0.7173","14996.0","10908.0","354","348"
"460969","Beauty Academy of South Florida","FL","1","3","","","","0.5288","5400.0","5395.0","182","114"
"460978","Ogle School Hair Skin Nails-North Dallas","TX","1","3","110","465","0.574002574","0.7562","7662.0","8323.0","1033","154"
"460987","The Salon Professional Academy-North Little Rock","AR","1","3","","","","0.3243","","","96","64"
"461005","American College for Medical Careers","FL","3","1","689","2551","0.630961115","0.6873","7397.0","7653.0","3580","252"
"461032","Carolina College of Biblical Studies","NC","3","1","","","","0.3063","","","37","113"
"461041","Star Career Academy-Audubon","PA","1","3","79","297","0.579842137","0.7938","8934.0","7916.0","3936","251"
"461120","Oxford Graduate School","TN","4","1","","","","","","","",""
"461148","New York Film Academy","CA","4","1","","","","0.0772","5500.0","5500.0","396","1344"
"461175","International College of Cosmetology","CA","1","3","","","","0.0","","","","179"
"461245","Flagler Technical Institute","FL","1","2","","","","0.0","","","","338"
"461263","American Medical Sciences Center","CA","1","2","","","","0.101","16370.5","14886.5","110","77"
"461272","Mandalyn Academy","UT","1","3","","","","0.561","","","81","65"
"461281","Jose Maria Vargas University","FL","4","1","","","","0.0777","","","14","34"
"461290","Laird Institute of Spa Therapy","NH","1","3","","","","0.8842","","","96","50"
"461306","D A Dorsey Technical College","FL","1","2","","","","0.0","","","","85"
"461333","Mauna Loa Helicopters","HI","1","3","","","","0.0606","","","","19"
"461430","Advanced Training Institute","NV","1","3","","","","0.5927","","","387","308"
"461485","Shepherds Theological Seminary","NC","4","1","","","","0.1429","","","","4"
"461494","Taylor Andrews Academy of Hair Design-West Jordan","UT","1","3","","","","1.0","","","173","175"
"461500","Santa Ana Beauty Academy","CA","1","3","","","","0.0","","","","43"
"461555","Aveda Institute-New Mexico","NM","1","3","","","","0.5081","","","220","132"
"461591","Paul Mitchell the School-Honolulu","HI","1","2","","","","0.455","","","151","134"
"461652","Aveda Institute-Boise","ID","1","2","","","","0.5057","","","67","67"
"461670","American Health Institute","FL","1","3","","","","0.63","","","87","68"
"461704","Capilo School of Hair Design","ME","1","3","","","","0.3585","","","171","176"
"461731","The Salon Professional Academy-Iowa City","IA","1","2","","","","0.6543","","","48","39"
"461847","Mesivta Keser Torah","NJ","3","1","","","","0.0","","","","33"
