"id","school.name","school.state","school.degrees_awarded.highest","school.institutional_characteristics.level","2013.completion.title_iv.completed_by.4yrs","2013.aid.federal_loan_rate","2013.aid.median_debt.female_students","2013.aid.median_debt.male_students","2013.aid.cumulative_debt.number","2013.student.size"
"458070","Avenue Five Institute","TX","1","3","0.849056604","0.5362","7917.0","16500.0","303","241"
"458104","Renaissance Academie","UT","1","3","0.59375","0.6124","","","84","70"
"458113","Bethel College","VA","3","1","","0.7612","","","20","54"
"458168","The Salon Professional Academy-Onalaska","WI","1","2","0.724637681","0.7097","","","117","87"
"458186","Brightwood College-Chula Vista","CA","2","2","0.806722689","0.5374","9500.0","9500.0","1758","299"
"458195","InterCoast Colleges-Roseville","CA","1","3","0.691365585","0.413","9500.0","9500.0","2660","3"
"458229","West Coast University-Ontario","CA","3","1","0.685913706","0.7708","25437.0","24052.0","3190","1103"
"458256","Virginia College-Augusta","GA","2","1","0.321583447","0.8168","9500.0","9500.0","29763","902"
"458265","Midwest Technical Institute-East Peoria","IL","1","3","0.676619718","0.8213","9500.0","9500.0","4679","849"
"458283","Brightwood College-Indianapolis","IN","2","2","0.574123989","0.618","9167.0","6714.0","937","478"
"458326","Regency Beauty Institute-Springfield","MO","1","3","0.504464286","0.7661","9357.0","9500.0","11714","72"
"458335","Regency Beauty Institute-Canton","OH","1","3","0.504464286","0.851","9357.0","9500.0","11714","138"
"458344","Regency Beauty Institute-Spartanburg","SC","1","3","0.504464286","0.8142","9357.0","9500.0","11714","50"
"458362","Regency Beauty Institute-Mesquite","TX","1","3","0.504464286","0.7821","9357.0","9500.0","11714","77"
"458399","Regina's College of Beauty-High Point","NC","1","3","0.299401198","1.0","6522.5","8500.0","263","59"
"458405","Miller-Motte College-Fayetteville","NC","2","2","0.416706444","0.8286","9500.0","9480.0","5337","734"
"458502","Bryant & Stratton College-Bayshore","WI","3","1","0.269047619","0.9225","9393.0","6274.5","19464","589"
"458690","Brightwood College-Arlington","TX","2","2","0.66497093","0.5915","8860.0","9352.0","1306","416"
"450298","Strayer University-Delaware","DE","4","1","0.10497544","0.8057","6763.0","6334.0","42076","254"
"444103","Byzantine Catholic Seminary of Saints Cyril and Methodius","PA","4","1","","","","","",""
"444130","Northcentral University","CA","4","1","0.266666667","0.3283","7275.0","7604.0","205","250"
"139287","Carver Bible College","GA","3","1","","0.7851","7922.5","7750.0","99","103"
"454652","Paul Mitchell the School-Birmingham","AL","1","3","0.631578947","0.7092","","","182","162"
"454740","International Professional School of Bodywork","CA","2","2","0.371212121","0.7124","16726.0","15996.0","146","165"
"454759","Borner's Barber College","CA","1","3","","0.0","","","","23"
"454810","Auguste Escoffier School of Culinary Arts-Boulder","CO","1","3","","0.7047","7917.0","9500.0","470","351"
"454847","National Beauty College","CO","1","2","","0.0","","","","63"
"454865","Cambridge College of Healthcare & Technology","FL","2","2","0.549382716","0.9241","19428.0","20000.0","213","204"
"454926","Paul Mitchell the School-Atlanta","GA","1","3","0.72826087","0.6314","9833.0","16500.0","301","225"
"454935","Evans Hairstyling College-Rexburg","ID","1","2","","0.3253","","","45","67"
"454953","University of Aesthetics-Chicago","IL","1","3","","0.7455","","","43","33"
"454962","The University of Aesthetics & Cosmetology","IL","1","3","","0.6563","","","29","31"
"455017","Frederick School of Cosmetology","MD","1","3","","0.42","","","40","35"
"455080","Paul Mitchell the School-Springfield","MO","1","3","0.571428571","0.6345","","","212","97"
"455105","Mississippi Institute of Aesthetics Nails & Cosmetology","MS","1","3","0.666666667","0.5106","","","90","58"
"455141","Aveda Institute-Chapel Hill","NC","1","3","0.696682465","0.6401","","","237","156"
"455220","Career School of NY","NY","1","3","0.638297872","1.0","","","130","62"
"455479","Fortis Institute-Pensacola","FL","2","2","0.525233645","0.6889","8841.0","9500.0","2599","817"
"455558","Dorsey Business Schools-Roseville Culinary Academy","MI","1","3","0.609788954","0.7157","8125.0","7533.0","3998","165"
"455600","Brown Mackie College-Boise","ID","3","1","0.378853985","0.6887","10211.0","9235.0","31694","393"
"455628","Fortis Institute-Birmingham","AL","2","2","0.545816733","0.7376","9501.0","10876.5","3077","711"
"455664","The Chicago School of Professional Psychology at Los Angeles","CA","4","1","","","","","",""
"455734","California Nurses Educational Institute","CA","1","3","0.521126761","0.4853","13194.0","9799.0","139","223"
"455752","RWM Fiber Optics","CA","1","3","0.7","0.6066","","","145","73"
"455770","Providence Christian College","CA","3","1","","0.5625","","","36","66"
"455804","Institute of World Politics","DC","4","1","","","","","",""
"455813","Pontifical John Paul II Institute for Studies on Marriage and Family","DC","4","1","","","","","",""
"455877","Aveda Institute-Chicago","IL","1","3","0.852631579","0.6394","9833.0","12999.0","271","183"
"455886","Tricoci University of Beauty Culture-Libertyville","IL","1","3","0.752688172","0.6681","","","210","150"
"455901","The Temple-A Paul Mitchell Partner School","MD","1","3","0.576","0.5521","","","234","216"
"455938","Education and Technology Institute","PA","0","3","","0.0","","","","15"
"455956","Liberty Technical College","PR","1","3","","0.0","","","","109"
"455983","Columbia College","VA","2","2","","0.0588","3823.5","4614.0","63","297"
"455992","Vermont College of Fine Arts","VT","4","1","","","","","",""
"456010","The Art Institute of Washington-Dulles","VA","3","1","0.247469309","0.8034","10500.0","9500.0","8308","243"
"456126","Empire Beauty School-Lauderhill","FL","1","3","0.478439425","0.5228","5080.0","5016.0","1433","101"
"456153","MediaTech Institute-Houston","TX","1","3","0.653225807","0.9579","9500.0","9500.0","508","126"
"456180","Fortis College-Phoenix","AZ","1","2","0.493048659","0.9423","13653.0","9500.0","4006","271"
"456296","Sanford-Brown College-Online","FL","3","1","0.29770849","0.9293","15042.0","12931.0","6956","1251"
"456320","Heritage College-Wichita","KS","2","2","0.66388309","0.5824","9500.0","9500.0","3059","390"
"456393","ITT Technical Institute-Madison","MS","2","2","0.370388079","0.8133","12667.0","11834.0","71736","231"
"456436","ITT Technical Institute-Fort Myers","FL","2","1","0.370388079","0.8142","12667.0","11834.0","71736","339"
"456445","ITT Technical Institute-Charlotte North","NC","3","1","0.370388079","0.855","12667.0","11834.0","71736","416"
"456481","Polytechnic University of Puerto Rico-Miami","FL","4","1","0.096078431","0.7963","7333.0","6332.0","1552","63"
"456490","Polytechnic University of Puerto Rico-Orlando","FL","4","1","0.096078431","0.6875","7333.0","6332.0","1552","82"
"456506","Ross Medical Education Center-Fort Wayne","IN","1","2","0.726793249","0.4976","9500.0","9500.0","1225","138"
"456560","Northeast Technology Center-Claremore","OK","1","3","0.145374449","0.0","","","","57"
"456597","Salon Success Academy-Redlands","CA","1","3","0.728937729","0.645","","","476","93"
"456612","Brown Mackie College-Phoenix","AZ","3","1","0.378853985","0.7284","10211.0","9235.0","31694","637"
"456728","Regency Beauty Institute-Columbia","SC","1","3","0.504464286","0.7237","9357.0","9500.0","11714","39"
"456737","Regency Beauty Institute-South Bend","IN","1","3","0.504464286","0.8323","9357.0","9500.0","11714","102"
"456755","Regency Beauty Institute-Fort Myers","FL","1","3","0.504464286","0.8714","9357.0","9500.0","11714","40"
"456922","South Texas Vocational Technical Institute-Brownsville","TX","1","3","0.682345361","0.8867","9500.0","7306.0","1048","278"
"456931","South Texas Vocational Technical Institute-Corpus Christi","TX","1","3","0.663797468","0.6785","9136.0","8375.0","1610","268"
"456959","University of Minnesota-Rochester","MN","3","1","0.667755483","0.6763","17000.0","17194.0","13659","477"
"121637","Shasta School of Cosmetology","CA","1","3","","0.0","","","","71"
"480736","Ace Cosmetology and Barber Training Center","CT","1","3","","0.5455","","","11","16"
"480754","Manthano Christian College","MI","0","1","","0.0","","","","28"
"480824","The College of Health Care Professions-Dallas","TX","2","2","0.719665272","0.84","9492.0","8592.5","512","134"
"480833","The College of Health Care Professions-Fort Worth","TX","2","2","0.73570658","0.7075","7917.0","7521.0","2052","208"
"480842","Shear Finesse Hairstyling Academy","FL","1","3","","0.5","","","16","23"
"480879","Academy of Salon Professionals","MO","1","3","","0.3438","","","11","26"
"480903","New England Tractor Trailer Training School of CT-Bridgeport","CT","1","3","0.77654663","0.5954","5983.0","5886.5","2275","259"
"480930","Paul Mitchell the School-Woodbridge","VA","1","3","0.714876033","0.6364","9833.0","9666.5","511","121"
"480985","Midwives College of Utah","UT","4","1","","0.0227","","","16","151"
"480994","Aspen Beauty Academy of Laurel","MD","1","3","","0.6489","","","64","59"
"481119","Radians College","DC","2","2","","0.5891","4750.0","4562.5","172","180"
"481137","Shepherds College","WI","1","2","","0.5532","","","10","59"
"481207","Institute of Health Sciences","MD","1","3","","0.0","","","35","55"
"481234","Advanced Computing Institute","CA","2","2","","0.0134","","","27","211"
"481243","New York Institute of Beauty","NY","1","3","","0.0556","","","37","80"
"481313","Kaizen Beauty Academy","FL","1","3","","0.3478","","","16","34"
"481331","Sharp Edgez Barber Institute","NY","1","3","","0.2","","","76","56"
"481386","California Career Institute","CA","1","3","","0.4681","","","64","45"
"481395","Cosmo Factory Cosmetology Academy","CA","1","3","","0.5385","","","19","30"
"481438","Yeshiva Yesodei Hatorah","NJ","3","1","","0.0","","","","64"
"481447","Rizzieri Institute","NJ","1","3","","0.0571","","","31","53"
"481474","W Academy of Salon and Spa","CA","1","3","","0.0984","","","19","36"
"481483","Boca Beauty Academy","FL","1","3","","0.0148","","","21","200"
"481517","City Pointe Beauty Academy","MO","1","3","","0.2647","","","34","49"
