"id","school.name","school.state","school.degrees_awarded.highest","school.institutional_characteristics.level","2013.earnings.6_yrs_after_entry.not_working_not_enrolled.overall","2013.earnings.6_yrs_after_entry.working_not_enrolled.overall","2013.completion.title_iv.completed_by.4yrs","2013.aid.median_debt.female_students","2013.aid.median_debt.male_students","2013.aid.cumulative_debt.number"
"15116607","Harrison College-Evansville","IN","0","1","715","3526","0.269674711","9500.0","7684.0","6767"
"15116609","Harrison College-Northwest","IN","0","1","715","3526","0.269674711","9500.0","7684.0","6767"
"16822703","Wentworth Institute of Technology","MA","0","2","62","1336","0.526030369","21000.0","19500.0","1807"
"18048901","The University of Montana - Missoula College","MT","0","2","351","3249","0.31253804","13075.0","12000.0","7046"
"18220901","Marinello School of Beauty-Henderson","NV","0","3","85","321","0.544117647","6264.0","4912.5","635"
"43958901","Marinello School of Beauty-Wichita","KS","0","3","83","317","0.569444444","9500.0","9500.0","534"
"44599303","Marinello School of Beauty-Northampton","MA","0","3","","115","0.485074627","7640.0","6333.0","425"
"45490801","Professional Hands Institute","FL","0","3","","","0.944230769","5821.0","5614.0","105"
"131405","Pontifical Faculty of the Immaculate Conception at the Dominican House of Studies","DC","4","1","","","","","",""
"15492502","Columbus Technical Campus","KS","0","3","64","577","0.21474359","5500.0","4500.0","604"
"17557302","Copiah-Lincoln Community College-Natchez Campus","MS","0","2","268","1406","0.2578356","3500.0","3220.0","1292"
"450933","Columbia Southern University","AL","4","1","33","391","0.441091954","5754.0","6519.0","7174"
"450960","InfoTech Career College","CA","1","2","","","0.768181818","","","201"
"451060","Digital Media Arts College","FL","4","1","","147","0.266666667","19000.0","23750.0","239"
"451079","Academy for Five Element Acupuncture","FL","4","1","","","","","",""
"451121","Paul Mitchell the School-Miami","FL","1","3","","","0.463768116","","","187"
"451158","Aveda Institute-Tallahassee","FL","1","3","","","0.525252525","9500.0","10555.5","758"
"451167","Shear Excellence Hair Academy","FL","1","3","","","0.546218487","8441.5","8500.0","138"
"451237","Z Hair Academy","KS","1","3","","","0.583333333","","","82"
"451468","Aveda Fredric's Institute-Cincinnati","OH","1","2","","","0.695238095","","","187"
"451495","CDE Career Institute","PA","1","3","","","0.542857143","","","49"
"451529","Elite College of Cosmetology","TN","1","3","","","0.390625","","","67"
"451574","Aveda Institute-Provo","UT","1","3","","","0.512820513","","","186"
"451583","Dixie Applied Technology College","UT","1","3","","","","","",""
"451635","Inland Massage Institute","WA","1","3","","","0.7","","","70"
"451644","Sunnyside Beauty Academy","WA","1","3","","","","","","14"
"451714","Paul Mitchell the School-San Antonio","TX","1","3","63","260","0.678100264","9500.0","11355.0","977"
"451741","Centro de Estudios Multidisciplinarios-Bayamon","PR","3","1","828","1250","0.113279133","2225.0","2500.0","147"
"451769","Minnesota School of Business-Blaine","MN","3","1","440","3878","0.365751634","19024.0","16000.0","4232"
"454351","Regency Beauty Institute-Akron","OH","1","3","431","2466","0.504464286","9357.0","9500.0","11714"
"454360","Regency Beauty Institute-Detroit Southgate","MI","1","3","431","2466","0.504464286","9357.0","9500.0","11714"
"454458","Bryan University","AR","2","2","72","264","0.352941177","13718.0","9500.0","785"
"454500","Regency Beauty Institute-North Olmsted","OH","1","3","431","2466","0.504464286","9357.0","9500.0","11714"
"454528","Regency Beauty Institute-Elgin","IL","1","3","431","2466","0.504464286","9357.0","9500.0","11714"
"454625","Virginia College-Greenville","SC","2","2","2241","8792","0.321583447","9500.0","9500.0","29763"
"452063","Le Cordon Bleu College of Culinary Arts-Dallas","TX","2","2","252","1401","0.560313631","11250.0","10626.0","4180"
"452106","Escuela De Troqueleria Y Herramentaje","PR","1","2","741","1573","","","",""
"453570","Empire Beauty School-Eden Prairie","MN","1","3","82","271","0.501712329","7903.0","7355.5","1028"
"453756","The Ohio Media School-Columbus","OH","1","3","78","482","0.734482759","9500.0","9500.0","593"
"454184","The King's College","NY","3","1","","78","0.412698413","10500.0","11500.0","289"
"454245","Chamberlain College of Nursing-Arizona","AZ","3","1","120","2104","0.521189417","17750.0","15625.0","12901"
"454306","Career Quest Learning Centers-Jackson","MI","2","2","80","259","0.671532847","9500.0","9500.0","1458"
"454324","Regency Beauty Institute-Tolleson","AZ","1","3","431","2466","0.504464286","9357.0","9500.0","11714"
"451972","ITT Technical Institute-Phoenix","AZ","3","1","974","5336","0.370388079","12667.0","11834.0","71736"
"451981","ITT Technical Institute-Madison","WI","3","1","974","5336","0.370388079","12667.0","11834.0","71736"
"451990","ITT Technical Institute-High Point","NC","3","1","974","5336","0.370388079","12667.0","11834.0","71736"
"452009","The Hair Academy","ND","1","2","","","0.62962963","","","55"
"452018","The Art Institutes International-Kansas City","KS","3","1","278","1822","0.378853985","10211.0","9235.0","31694"
"452027","The Art Institute of Raleigh-Durham","NC","3","1","1453","6642","0.109940716","6332.0","6334.0","26241"
"451820","The Art Institute of Austin","TX","3","1","202","1259","0.266666667","12667.0","9500.0","5227"
"451866","Remington College-Shreveport Campus","LA","2","1","300","1543","0.543457797","9369.0","8360.0","7905"
"451875","National American University-Austin","TX","3","1","555","3009","0.130868444","8671.5","6252.0","13494"
"451963","ITT Technical Institute-Columbus","OH","3","1","974","5336","0.370388079","12667.0","11834.0","71736"
"119234","Mueller College","CA","1","2","","100","0.675159236","11506.0","11506.0","167"
"449339","American Public University System","WV","4","1","232","1101","0.226470053","3367.0","3000.0","38614"
"449481","Dragon Rises College of Oriental Medicine","FL","4","1","","","","","",""
"449524","Taylor College","FL","2","2","","52","0.67032967","15179.0","17062.0","316"
"449597","Ideal Beauty Academy","IN","1","3","","","0.279411765","","","47"
"449603","Success Schools","IN","1","3","26","63","0.736842105","5602.0","7717.0","174"
"449782","Champion Beauty College","TX","1","3","","","","","","42"
"449807","Southeast Texas Career Institute","TX","1","3","25","57","0.571428571","","","150"
"449904","Milan Institute of Cosmetology-San Antonio Military","TX","1","3","238","759","0.573248408","9500.0","9500.0","3049"
"449931","Averett University-Non-Traditional Programs","VA","4","1","44","719","0.36915078","18750.0","12500.0","1245"
"450614","Empire Beauty School-Concord","NC","1","3","118","354","0.439597315","5500.0","5983.5","1276"
"450641","Empire Beauty School-Hooksett","NH","1","3","57","233","0.50877193","","","287"
"450669","InterCoast Colleges-Carson","CA","1","3","472","981","0.691365585","9500.0","9500.0","2660"
"450678","InterCoast Career Institute-South Portland","CA","1","3","472","981","0.691365585","9500.0","9500.0","2660"
"450739","Euphoria Institute of Beauty Arts & Sciences-Green Valley","NV","1","2","1037","4058","0.553614125","7751.0","6800.0","4746"
"450757","Empire Beauty School-Portsmouth","NH","1","3","55","240","0.619631902","9416.0","4840.0","302"
"450766","LIU Riverhead","NY","4","1","406","3915","0.344839142","15813.5","15190.0","5933"
"450818","Regency Beauty Institute-Joliet","IL","1","3","431","2466","0.504464286","9357.0","9500.0","11714"
"450827","Regency Beauty Institute-Rockford","IL","1","3","431","2466","0.504464286","9357.0","9500.0","11714"
"450854","Regency Beauty Institute-East Tucson","AZ","1","3","431","2466","0.504464286","9357.0","9500.0","11714"
"450872","Regency Beauty Institute-Eastgate","OH","1","3","431","2466","0.504464286","9357.0","9500.0","11714"
"450881","Regency Beauty Institute-Topeka","KS","1","3","431","2466","0.504464286","9357.0","9500.0","11714"
"448804","The Robert B Miller College","MI","3","1","","106","0.364341085","10984.0","14740.0","313"
"449968","Paul Mitchell the School-San Diego","CA","1","3","269","1084","0.47094536","9833.0","9833.0","1708"
"450003","Miami-Jacobs Career College-Troy","OH","2","2","420","1894","0.327710843","9500.0","9433.5","6498"
"450021","Blue Cliff College-Houma","LA","1","3","93","375","0.552268245","7035.0","5975.0","2692"
"450085","The Art Institute of Charleston","SC","3","1","631","3882","0.247469309","10500.0","9500.0","8308"
"450304","Brite Divinity School","TX","4","1","94","1438","0.675313808","19500.0","18438.0","2237"
"450401","Clary Sage College","OK","2","2","213","763","0.64952381","9317.5","10375.0","1824"
"450465","Sanford-Brown College-San Antonio","TX","3","1","1005","4770","0.29770849","15042.0","12931.0","6956"
"450173","Ultimate Medical Academy-Tampa","FL","2","2","323","1076","0.605647758","9102.0","8644.0","15291"
"450182","Beauty Schools of America-North Miami Beach","FL","1","3","502","1256","0.561388286","8500.0","8446.0","3824"
"450270","ITT Technical Institute-South Bend","IN","3","1","974","5336","0.370388079","12667.0","11834.0","71736"
"450544","Argosy University-San Diego","CA","4","1","560","2587","0.116635839","6569.0","6334.0","29626"
"450599","Empire Beauty School-Richmond","VA","1","3","101","320","0.496363636","5935.0","4822.5","1341"
"450289","Virginia College-Chattanooga","TN","2","2","2241","8792","0.321583447","9500.0","9500.0","29763"
"11046804","Alliant International University-Irvine","CA","0","1","43","428","0.783333333","2000.0","4000.0","682"
"16947912","Davenport University-Traverse City Location","MI","0","1","730","4391","0.197222222","15605.0","12500.0","7563"
"40884402","Florida National University Training Center","FL","0","1","393","2268","0.357916452","15764.0","17465.0","2202"
"235954","BJ's Beauty & Barber College","WA","1","2","","","","","","35"
"184092","American Institute-Clifton","NJ","1","2","109","522","0.62283737","9751.0","7600.0","1611"
"392354","School of Professional Horticulture New York Botanical Garden","NY","1","2","","","","","","10"
"442064","Won Institute of Graduate Studies","PA","4","1","","","","","",""
"10704401","Harding School of Theology","TN","0","1","76","1100","0.503018109","18462.0","16865.0","2031"
"15468801","Baker University School of Nursing","KS","0","1","53","950","0.539660057","19843.0","20000.0","1286"
"16947918","Davenport University-Livonia Location","MI","0","1","730","4391","0.197222222","15605.0","12500.0","7563"
"447713","California Career College","CA","2","2","","109","0.781818182","","","83"
