"id","school.name","school.state","school.degrees_awarded.highest","school.institutional_characteristics.level","2013.earnings.6_yrs_after_entry.not_working_not_enrolled.overall","2013.earnings.6_yrs_after_entry.working_not_enrolled.overall","2013.completion.title_iv.completed_by.4yrs","2013.completion.completion_rate_4yr_100nt","2013.completion.transfer_rate.4yr.full_time","2013.aid.federal_loan_rate","2013.aid.median_debt.female_students","2013.aid.median_debt.male_students","2013.aid.cumulative_debt.number","2013.student.size"
"170976","University of Michigan-Ann Arbor","MI","4","1","379","4958","0.783532537","0.7579","0.0","0.3665","20375.0","20375.0","7402","28077"
"171304","Muskegon Community College","MI","2","2","202","1207","0.12520503","","","0.1918","3500.0","3500.0","1586","3798"
"170736","M J Murphy Beauty College of Mount Pleasant","MI","1","3","","69","0.4375","","","0.4275","","","67","82"
"170806","Madonna University","MI","4","1","118","776","0.334183674","0.3063","0.4235","0.583","19064.0","13000.0","1787","3080"
"171128","Michigan Technological University","MI","4","1","66","1491","0.516503122","0.2361","0.2469","0.5969","19500.0","19315.0","2303","5536"
"171322","Everest Institute-Southfield","MI","1","3","1558","6409","0.651053864","","","0.6611","9500.0","9500.0","6181","1003"
"170620","Lake Michigan College","MI","2","1","169","879","0.126874279","","","0.2188","7249.0","5500.0","1387","3252"
"170967","Rochester College","MI","4","1","38","402","0.493150685","0.1882","0.0","0.6486","12500.0","12000.0","754","960"
"170532","Kalamazoo College","MI","3","1","26","203","0.731707317","0.7245","0.1763","0.5149","25863.0","23780.0","455","1427"
"167358","Northeastern University","MA","4","1","251","4160","0.470950103","0.0","0.0","0.4433","24983.0","25000.0","5999","13204"
"167534","Quinsigamond Community College","MA","2","2","293","1862","0.229977957","","","0.3691","3500.0","3500.0","4335","7647"
"167464","Pope St John XXIII National Seminary","MA","4","1","","","","","","","","","",""
"167525","Quincy College","MA","2","2","108","725","0.21386306","","","0.3017","5500.0","4750.0","1703","4025"
"168227","Wentworth Institute of Technology","MA","4","1","62","1336","0.526030369","0.4983","0.0","0.722","21000.0","19500.0","1807","3975"
"168254","Western New England University","MA","4","1","41","952","0.57082153","0.5217","0.2567","0.748","20000.0","16860.5","1463","2648"
"168883","Bay de Noc Community College","MI","2","2","119","789","0.240121581","","","0.3694","6731.0","5500.0","1101","2024"
"168786","Aquinas College","MI","4","1","43","567","0.292870906","0.3039","0.2878","0.6993","16820.0","17670.0","1015","1843"
"168591","Alma College","MI","3","1","","376","0.48655914","0.4282","0.0","0.9151","25000.0","14586.5","734","1385"
"169099","Calvin Theological Seminary","MI","4","1","","","","","","","","","14",""
"169327","Cleary University","MI","4","1","34","346","0.379120879","0.2778","0.0","0.6828","18579.5","17000.0","436","450"
"168546","Albion College","MI","3","1","","348","0.578034682","0.644","0.0","0.6172","24300.0","21500.0","606","1284"
"172617","Washtenaw Community College","MI","2","2","639","2783","0.052643785","","","0.2862","5475.5","4900.0","5829","10172"
"171456","Northern Michigan University","MI","4","1","231","2582","0.399372479","0.2074","0.0","0.6408","13002.0","10789.5","4893","7959"
"171483","Northwestern Michigan College","MI","3","1","219","1365","0.139109213","","0.2962","0.3904","7925.5","6000.0","2760","4241"
"171492","Northwood University","MI","4","1","140","2080","0.469767442","0.2483","0.0","0.6951","17842.0","14750.0","2698","2920"
"172291","St Clair County Community College","MI","2","2","232","1204","0.237783075","","","0.243","5500.0","3960.5","1696","3588"
"171599","Olivet College","MI","4","1","35","398","0.395604396","0.2637","0.0","0.8011","22506.0","13000.0","789","1026"
"172671","West Shore Community College","MI","2","2","64","389","0.199626866","","","0.2129","5500.0","4703.0","446","1167"
"171997","Ross Medical Education Center-Madison Heights","MI","1","3","99","405","0.748473749","","","0.4808","9500.0","9500.0","1260","270"
"168342","Williams College","MA","4","1","28","256","0.912037037","0.8961","0.0","0.2478","10834.0","8757.0","350","2051"
"171881","Kuyper College","MI","3","1","","118","0.56302521","0.3692","0.0","0.7595","18214.0","15000.0","192","283"
"167057","The New England Conservatory of Music","MA","4","1","25","140","0.797101449","0.6667","0.0118","0.4404","25072.0","25000.0","145","410"
