"id","school.name","school.state","school.degrees_awarded.highest","school.institutional_characteristics.level"
"48387801","Bay Area Medical Academy - San Jose Satellite Location","CA","0","3"
"48400201","High Desert Medical College","CA","0","3"
"24893405","ECPI University-Manassas","VA","0","1"
"24893407","ECPI University-Raleigh","NC","0","1"
"24893410","ECPI University-Culinary Institute of Virginia","VA","0","1"
"24893412","ECPI University-Richmond South","VA","0","1"
"36520404","Vista College-Beaumont","TX","0","2"
"36520405","Vista College-Longview","TX","0","2"
"38227601","Westech College","CA","0","3"
"38227602","Westech College","CA","0","3"
"48154401","National Personal Training Institute of Cleveland","OH","0","3"
"455114","College of Western Idaho","ID","2","2"
"229656","Vogue College of Cosmetology-McAllen","TX","1","3"
"459277","Aveda Institute-Denver","CO","1","2"
"459286","Paul Mitchell the School-Colorado Springs","CO","1","2"
"459310","Future-Tech Institute","FL","1","3"
"459329","Marchman Technical Education Center","FL","1","2"
"459444","Starting Points Inc","NJ","1","3"
"459523","ABC Beauty Academy","TX","1","3"
"459541","American Beauty Academy","UT","1","3"
"459550","Summit Salon Academy","WA","1","2"
"459587","ITT Technical Institute-Merrillville","IN","3","1"
"459639","ITT Technical Institute-Corona","CA","3","1"
"459648","ITT Technical Institute-Johnson City","TN","2","1"
"459666","ITT Technical Institute-North Charleston","SC","3","1"
"459709","ITT Technical Institute-Dearborn","MI","3","1"
"459718","ITT Technical Institute-Las Vegas","NV","3","1"
"459727","Touro University Worldwide","CA","4","1"
"459736","Touro University California","CA","4","1"
"459967","Southern Careers Institute-Brownsville","TX","1","3"
"459985","Southern Careers Institute-Harlingen","TX","1","3"
"459994","Strayer University-Global Region","DC","4","1"
"460011","Kenneth Shuler School of Cosmetology-Florence","SC","1","3"
"460048","Brown Mackie College-St Louis","MO","3","1"
"460109","Ross Medical Education Center-Granger","IN","2","2"
"460136","Pima Medical Institute-Houston","TX","2","2"
"460145","Illinois Media School-Chicago Campus","IL","1","3"
"460215","Ecotech Institute","CO","2","2"
"460358","Everest College-Fort Worth South","TX","2","2"
"460446","Hair Design Institute at Fifth Avenue-New York","NY","1","3"
"460525","Milan Institute-Nampa","ID","1","3"
"460561","Park Avenue School of Cosmetology","MN","1","3"
"460589","Salter School-New Bedford","MA","1","3"
"460598","Harris School of Business-Upper Darby Campus","PA","1","3"
"460640","Cortiva Institute-New Jersey","NJ","1","3"
"460659","Cambridge Junior College-Woodland","CA","1","3"
"460677","ICPR Junior College-Manati","PR","2","2"
"13508113","Keiser University-Ft Myers","FL","0","1"
"13830901","Rasmussen College-New Port Richey","FL","0","1"
"17501401","Rasmussen College-Bloomington","MN","0","1"
"17501403","Rasmussen College-Mankato","MN","0","1"
"19554401","St. Joseph's College Long Island","NY","0","1"
"23368401","Strayer University-Alexandria Campus","VA","0","1"
"23368409","Strayer University-Chesapeake Campus","VA","0","1"
"23368410","Strayer University-Newport News Campus","VA","0","1"
"42817003","Southeastern College-New Port Richey","FL","0","2"
"44376602","Strayer University-Shelby Oaks Campus","TN","0","1"
"44378401","Strayer University-Delaware County Campus","PA","0","1"
"44378402","Strayer University-King of Prussia Campus","PA","0","1"
"44378404","Strayer University-Lower Bucks County Campus","PA","0","1"
"44867302","Rasmussen College-Romeoville/Joliet","IL","0","1"
"44903801","Strayer University-Tampa East Campus","FL","0","1"
"44903805","Strayer University-Baymeadows Campus","FL","0","1"
"45057101","Rasmussen College-Appleton","WI","0","1"
"45316301","Strayer University-North Charlotte","NC","0","1"
"45316302","Strayer University-South Charlotte","NC","0","1"
"45316306","Strayer University-South Raleigh Campus","NC","0","1"
"45321503","Strayer University-Piscataway","NJ","0","1"
"45891901","Strayer University-Cobb Campus","GA","0","1"
"45891902","Strayer University-Morrow Campus","GA","0","1"
"45891906","Strayer University-Savannah Campus","GA","0","1"
"453215","Strayer University-New Jersey","NJ","4","1"
"454078","Toledo Restaurant Training Center","OH","1","3"
"455512","Woodland Community College","CA","2","2"
"456542","The Commonwealth Medical College","PA","4","1"
"457299","Angeles College","CA","3","1"
"457323","Paul Mitchell the School-Temecula","CA","1","3"
"457350","Florida School of Traditional Midwifery","FL","1","2"
"457378","Emerald Coast Technical College","FL","1","2"
"457420","Summit Salon Academy","FL","1","3"
"457448","Tenaj Salon Institute","FL","1","3"
"457475","Keune Academy by 124","GA","1","3"
"457536","Midwestern Career College","IL","1","2"
"457572","Summit Salon Academy-Anderson","IN","1","3"
"457581","Eric Fisher Academy","KS","1","3"
"457606","My Le's Beauty College","LA","1","3"
"457651","CenterPoint Massage and Shiatsu Therapy School and Clinic","MN","1","3"
"457721","Bitterroot School of Cosmetology","MT","1","2"
"457749","Montana Academy of Salons","MT","1","2"
"457758","Park West Barber School","NC","1","3"
"457785","International Academy of Style","NV","1","2"
"457794","EDP School of Computer Programming","NY","1","3"
"457828","New Life Business Institute","NY","1","3"
"457873","Four County Career Center","OH","1","3"
"457891","Vanity School of Cosmetology","OH","1","2"
"457916","Summit Salon Academy-Perrysburg","OH","1","2"
"457925","Portland Actors Conservatory","OR","1","2"
"457952","Metro Beauty Academy","PA","1","3"
"457989","Academy for Careers and Technology","SC","1","3"
"458043","DuVall's School of Cosmetology","TX","1","3"
