"id","school.name","school.state","school.degrees_awarded.highest","school.institutional_characteristics.level"
"483319","Virginia College-Lubbock","TX","1","2"
"483382","Electrical Training Center","NY","1","3"
"483425","Alexander Paul Institute of Hair Design","NC","1","3"
"483513","NeeCee's College of Cosmetology","TX","1","3"
"483610","Sutter Beauty College","CA","1","3"
"483629","Midwest Technical Institute","IN","1","3"
"483638","New Horizons Medical Institute","GA","1","2"
"483665","Paul Mitchell the School-Ardmore","OK","1","3"
"483692","Cosmix School of Makeup Artistry","FL","1","3"
"483708","Access Careers","NY","1","3"
"483717","River Valley Cosmetology Institute","OK","1","3"
"483726","Luckes Beauty Academy","VA","1","3"
"483799","East-West Healing Arts Institute","WI","1","3"
"483841","Grace International Beauty School","NY","1","3"
"483887","Mind Body Institute","TN","1","3"
"483957","Lawrence & Company College of Cosmetology","CA","1","3"
"484011","Paul Mitchell the School-Schenectady","NY","1","3"
"484020","Beyond Measure Barbering Institute","NC","1","3"
"484039","Beauty Anatomy Institute of Cosmetology and Wellness","FL","1","3"
"484066","MedQuest College","KY","1","3"
"484075","First Coast Barber Academy","FL","1","3"
"484093","Excel Academies of Cosmetology-Troy","MI","1","3"
"484127","Ricci's Academy of Cosmetology","CT","1","3"
"484136","Yahweh Beauty Academy","TX","1","3"
"484154","Preparing People Barber Styling College","TX","1","3"
"484181","Burnett International College","FL","2","2"
"484206","The Salon Professional Academy-San Jose","CA","1","3"
"484321","Jolie Health and Beauty Academy-Turnersville","NJ","1","3"
"484349","Ross Medical Education Center-Evansville","IN","1","3"
"484376","North-West College-Long Beach","CA","1","2"
"484385","Branford Hall Career Institute-Amityville","NY","1","3"
"484473","University of Florida-Online","FL","3","1"
"484598","Buchanan Beauty College-Pleasantview","TN","1","3"
"484622","University of Phoenix-Arkansas","AR","4","1"
"484631","University of Phoenix-California","CA","4","1"
"484729","University of Phoenix-North Carolina","NC","4","1"
"484783","University of Phoenix-Pennsylvania","PA","4","1"
"484899","Aveda Institute-Phoenix","AZ","1","3"
"484978","Virginia College-Fort Pierce","FL","1","2"
"485041","MJ's Barber Academy","TX","1","3"
"485078","Trine University-Arizona Regional Campus","AZ","3","1"
"485139","SAE Institute of Technology-Chicago","IL","2","2"
"485245","Cosmopolitan Beauty and Tech School","MD","1","3"
"485272","West Coast University-Miami","FL","0","1"
"485290","National American University-Harold D. Buckingham Graduate School","TX","4","1"
"485379","Hollywood Institute of Beauty Careers-West Palm Beach","FL","1","3"
"11854101","Marymount University - Waterfront Campus","CA","0","1"
"12240901","San Diego State University-Imperial Valley Campus","CA","0","1"
"12268503","San Joaquin Valley College-Bakersfield","CA","0","2"
"12268504","San Joaquin Valley College-Fresno","CA","0","2"
"12268505","San Joaquin Valley College-Fresno Aviation","CA","0","2"
"12268506","San Joaquin Valley College-Ontario","CA","0","2"
"12268508","San Joaquin Valley College-Rancho Cordova","CA","0","2"
"12268510","San Joaquin Valley College-Hesperia","CA","0","2"
"16947921","Davenport University - Treasury Site Dimondale","MI","0","1"
"43670201","Mattia College -","FL","0","2"
"45763301","L'esprit Academy - Royal Oak","MI","0","3"
"45776701","National Career Institute - Jersey City Branch","NJ","0","3"
"460075","California University of Management and Sciences","CA","4","1"
"460747","Tribeca Flashpoint College","IL","2","1"
"475033","Relay Graduate School of Education","NY","4","1"
"475194","Miller-Motte Technical College-Roanoke","VA","2","2"
"169071","Cadillac Institute of Cosmetology","MI","1","3"
"190752","Yeshiva of Far Rockaway Derech Ayson Rabbinical Seminary","NY","3","1"
"374343","KC's School of Hair Design","MS","1","2"
"456621","Strayer University-West Virginia","WV","4","1"
"457101","Carrington College-Las Vegas","NV","2","2"
"457110","Carrington College-Reno","NV","2","2"
"457271","Academy for Jewish Religion-California","CA","4","1"
"457314","Angeles Institute","CA","1","3"
"457332","European Academy of Cosmetology and Hairdressing","CT","1","3"
"457341","International Institute of Cosmetology","CT","1","3"
"457396","American Academy of Cosmetology","FL","1","3"
"457439","Summit Salon Academy-Gainesville","FL","1","3"
"457484","Pacific Rim Christian University","HI","4","1"
"457493","D & L Academy of Hair Design","ID","1","2"
"457545","Paul Mitchell the School-Normal","IL","1","3"
"457554","Innovations Design Academy","IL","1","3"
"457563","Aveda Fredric's Institute-Indianapolis","IN","1","3"
"457624","Southern Worcester County Regional Voc School District","MA","1","3"
"457633","L'esprit Academy","MI","1","3"
"457642","Marketti Academy of Cosmetology","MI","1","3"
"457679","Avalon School of Cosmetology","MN","1","2"
"457688","American Business and Technology University","MO","3","1"
"457697","City Vision University","MO","3","1"
"457703","Transformed Barber and Cosmetology Academy","MO","1","3"
"457730","Atlanta Beauty & Barber Academy","GA","1","3"
"457767","National Career Institute","NJ","1","3"
"457800","New York Medical Career Training Center","NY","1","2"
"457855","Academy of Cosmetology and Esthetics NYC","NY","1","3"
"457864","Finger Lakes School of Massage","NY","1","3"
"457998","Aiken School of Cosmetology and Barbering","SC","1","3"
"458007","Love Beauty School Inc","TN","1","3"
"458016","Professional Career Training Institute","TX","1","3"
"458034","Houston International College Cardiotech Ultrasound School","TX","1","2"
"458061","Texas Beauty College","TX","1","3"
"458098","The Salon Professional Academy-Lewisville","TX","1","3"
"458122","Institute of Advanced Medical Esthetics","VA","1","3"
"458131","Gary Manuel Aveda Institute","WA","1","3"
"458140","Northwest School of Wooden Boat Building","WA","2","2"
