"id","school.name","school.state","school.degrees_awarded.highest","school.institutional_characteristics.level","2013.earnings.6_yrs_after_entry.not_working_not_enrolled.overall","2013.earnings.6_yrs_after_entry.working_not_enrolled.overall","2013.completion.title_iv.completed_by.4yrs","2013.aid.federal_loan_rate","2013.aid.median_debt.female_students","2013.aid.median_debt.male_students","2013.aid.cumulative_debt.number","2013.student.size"
"230418","Latter-day Saints Business College","UT","2","2","82","304","0.330783939","0.2405","3500.0","3500.0","833","1992"
"231554","Bluefield College","VA","4","1","38","415","0.312903226","0.3394","13250.0","9910.0","707","821"
"231004","O'Briens Aveda Institute","VT","1","3","","","","0.8163","","","94","80"
"231059","Saint Michael's College","VT","4","1","","588","0.735294118","0.7463","24875.0","23140.0","867","1941"
"231068","SIT Graduate Institute","VT","4","1","","73","","","","","60",""
"231086","Southern Vermont College","VT","3","1","","203","0.235294118","0.8757","13000.0","12625.0","362","470"
"229337","Texas Tech University Health Sciences Center","TX","4","1","","512","0.828125","0.5732","12500.0","12500.0","1359","1346"
"231411","Advanced Technology Institute","VA","2","2","76","579","0.61922366","0.3761","","","496","824"
"230816","Bennington College","VT","4","1","","181","0.717948718","0.6017","19250.0","23750.0","295","613"
"230940","Marlboro College","VT","3","1","","97","0.647887324","0.7004","19250.0","19000.0","151","231"
"233426","Roanoke College","VA","3","1","","599","0.661538462","0.7034","24369.0","21500.0","1020","1980"
"233374","University of Richmond","VA","4","1","40","674","0.802650957","0.4229","17232.0","17500.0","1083","3107"
"233310","Rappahannock Community College","VA","2","2","59","371","0.153310105","0.0","","","","1604"
"233338","Richard Bland College of William and Mary","VA","2","2","","229","0.230460922","0.297","5500.0","5500.0","626","1078"
"233286","Sylvain Melloul International Hair Academy","VA","1","3","","","0.625","0.8679","","","104","80"
"233301","Randolph College","VA","4","1","","155","0.625954199","0.6661","19000.0","15000.0","316","651"
"233091","Miller-Motte Technical College-Lynchburg","VA","2","2","202","854","0.416706444","0.8649","9500.0","9480.0","5337","472"
