"id","school.name","school.state","school.degrees_awarded.highest","school.institutional_characteristics.level","2013.earnings.6_yrs_after_entry.not_working_not_enrolled.overall","2013.earnings.6_yrs_after_entry.working_not_enrolled.overall","2013.completion.title_iv.completed_by.4yrs","2013.aid.federal_loan_rate","2013.aid.median_debt.female_students","2013.aid.median_debt.male_students","2013.aid.cumulative_debt.number","2013.student.size"
"164775","Berkshire Community College","MA","2","2","93","533","0.194202899","0.3919","5500.0","5250.0","1048","2024"
"165574","Dean College","MA","3","1","52","536","0.366666667","0.649","11098.0","8750.0","910","1238"
"164748","Berklee College of Music","MA","4","1","155","1032","0.394009217","0.418","21205.5","16250.0","1603","4402"
"165644","Eastern Nazarene College","MA","4","1","28","350","0.372093023","0.4475","12000.0","20500.0","582","1313"
"166656","MCPHS University","MA","4","1","47","1217","0.697175141","0.783","24899.0","25000.0","1891","3808"
"165671","Emmanuel College","MA","4","1","46","673","0.562637363","0.6753","24260.0","21081.5","1046","2040"
"165334","Clark University","MA","4","1","42","550","0.738386308","0.5548","23000.0","20625.0","929","2312"
"164739","Bentley University","MA","4","1","41","1137","0.852601156","0.5074","26000.0","25447.5","1456","4172"
"165750","Rob Roy Academy-Fall River","MA","1","3","72","123","0.495934959","0.625","5500.0","7168.0","156","105"
"165884","Benjamin Franklin Institute of Technology","MA","3","1","35","318","0.407303371","0.77","9500.0","9500.0","514","463"
"170675","Lawrence Technological University","MI","4","1","51","582","0.373068433","0.3302","19000.0","18500.0","987","3033"
"169974","Glen Oaks Community College","MI","2","2","65","386","0.193370166","0.2583","5500.0","4750.0","535","922"
"170301","Hope College","MI","3","1","38","735","0.620915033","0.5704","25387.0","23250.0","1169","3296"
"169992","Gogebic Community College","MI","2","2","71","401","0.294","0.3975","5500.0","5500.0","568","948"
"169983","Kettering University","MI","4","1","","461","0.382113821","0.5905","18562.5","18500.0","800","1640"
"169503","David Pressley School of Cosmetology","MI","1","3","47","182","0.769230769","0.5636","","","320","225"
"169576","Detroit Business Institute-Downriver","MI","1","3","86","313","0.378151261","0.7692","","","130","76"
"169284","Empire Beauty School-Michigan","MI","1","3","131","489","0.471428571","0.6684","6222.0","6837.0","1404","365"
"168892","Bayshire Academy of Beauty Craft Inc","MI","1","3","","52","0.464285714","0.0","","","","41"
"169187","Carnegie Institute","MI","1","2","46","311","0.683544304","0.7168","7328.5","15205.5","272","241"
"169363","Concordia University-Ann Arbor","MI","4","1","","154","0.237704918","0.8772","12000.0","11317.0","420","529"
"170091","Great Lakes Christian College","MI","3","1","","82","","0.8251","10750.0","11000.0","156","194"
"168528","Adrian College","MI","4","1","","577","0.427015251","0.8015","19500.0","9500.0","1065","1613"
"167738","Salter College-West Boylston","MA","2","2","689","2551","0.630961115","0.674","7397.0","7653.0","3580","697"
"168421","Worcester Polytechnic Institute","MA","4","1","42","850","0.733893557","0.5956","27000.0","27000.0","1527","4012"
"168032","Rob Roy Academy-Taunton","MA","1","3","","61","0.629032258","0.4775","","","78","37"
"168281","Wheaton College","MA","3","1","","366","0.746478873","0.5941","22403.0","22034.0","590","1640"
"167996","Stonehill College","MA","3","1","","663","0.845470693","0.6856","26000.0","25000.0","1137","2473"
"166869","MGH Institute of Health Professions","MA","4","1","","114","","0.7953","25000.0","25000.0","337","160"
"166911","Montserrat College of Art","MA","3","1","","119","0.492537313","0.7601","24250.0","23875.0","230","378"
"168555","Hillsdale Beauty College","MI","1","3","","","","0.4217","","","41","35"
"168573","Northwestern Technological Institute","MI","1","3","204","608","0.704887218","0.9045","7359.0","8397.0","669","406"
"165635","National Aviation Academy of New England","MA","1","2","28","176","0.59602649","0.7759","10500.0","14190.0","360","247"
"164933","The Boston Conservatory","MA","4","1","","154","0.70212766","0.5551","25500.0","24261.0","193","545"
"166009","Hallmark Institute of Photography","MA","1","3","43","226","","0.767","5500.0","5500.0","119","69"
"174783","Saint Cloud State University","MN","4","1","236","4366","0.298409994","0.5095","12869.0","12500.0","7048","11535"
"177065","Columbia College","MO","4","1","579","4154","0.246798807","0.5843","7125.0","5750.0","15747","15498"
"178396","University of Missouri-Columbia","MO","4","1","241","5309","0.542715642","0.4864","15750.0","14625.0","10340","26585"
"176080","Mississippi State University","MS","4","1","279","3138","0.471147749","0.5046","14000.0","12224.5","7489","16399"
"175607","Delta Beauty College","MS","1","2","","","","0.0","","","","50"
"175652","East Mississippi Community College","MS","2","2","329","1702","0.158635395","0.4844","5674.5","4951.0","3796","4364"
"176965","University of Central Missouri","MO","4","1","197","2699","0.454545455","0.6299","13536.0","12250.0","5875","9160"
"177603","Independence College of Cosmetology","MO","1","3","32","96","0.65625","0.5403","","","80","64"
"177816","Kenrick Glennon Seminary","MO","4","1","","","","0.0","","","","54"
"177931","Lex La-Ray Technical Center","MO","1","3","","","","0.7846","","","58","35"
"177940","Lincoln University","MO","4","1","112","894","0.172346641","0.7856","11929.0","9500.0","1770","2268"
"178402","University of Missouri-Kansas City","MO","4","1","216","2276","0.459583333","0.4868","14000.0","13254.0","5295","8309"
"178387","Missouri Western State University","MO","4","1","199","1769","0.23081761","0.5339","10834.5","9500.0","3137","4902"
"177968","Lindenwood University","MO","4","1","153","2050","0.442883895","0.6477","15000.0","14000.0","5277","7928"
"179308","Saint Louis Community College","MO","2","2","949","5545","0.101501571","0.1068","4500.0","3750.0","4273","21446"
"180489","The University of Montana","MT","4","1","351","3249","0.31253804","0.5602","13075.0","12000.0","7046","11630"
"178420","University of Missouri-St Louis","MO","4","1","277","2757","0.43611447","0.4279","15000.0","14108.5","5914","8928"
"181640","Southeast Community College Area","NE","2","2","332","3248","0.283827493","0.6195","4125.0","4125.0","7501","7512"
"179557","Southeast Missouri State University","MO","4","1","195","2409","0.352272727","0.5127","12241.0","10500.0","4906","9382"
"181400","Kaplan University-Omaha Campus","NE","4","1","11499","35383","0.229498118","0.754","9500.0","9500.0","57296","728"
"180054","Blackfeet Community College","MT","2","2","125","188","0.052173913","0.0","","","","448"
"180179","Montana State University-Billings","MT","4","1","184","1502","0.127152318","0.5305","8503.5","7531.0","2965","4234"
"181303","Metropolitan Community College Area","NE","2","2","518","2981","0.117800074","0.1643","3332.0","3357.0","5169","7737"
"178721","Park University","MO","4","1","289","2394","0.368421053","0.44","9500.0","7081.0","5380","9723"
"178077","Merrell University of Beauty Arts and Science","MO","1","3","","114","0.696629214","0.4928","","","156","107"
"178217","Mineral Area College","MO","2","2","204","986","0.272247361","0.2595","6500.0","5500.0","1391","3744"
"186380","Rutgers University-New Brunswick","NJ","4","1","979","10483","0.662120696","0.5591","17750.0","18083.0","19943","33427"
"186371","Rutgers University-Camden","NJ","4","1","979","10483","0.662120696","0.6878","17750.0","18083.0","19943","4777"
"182281","University of Nevada-Las Vegas","NV","4","1","415","3854","0.333866911","0.3687","10599.0","10326.0","8101","22742"
"181394","University of Nebraska at Omaha","NE","4","1","171","2708","0.341719865","0.4683","11000.0","10363.5","5972","12153"
"183804","Beth Medrash Govoha","NJ","4","1","543","440","0.237398374","0.0004","","","148","2766"
"184180","County College of Morris","NJ","2","2","145","1051","0.22382199","0.1832","5500.0","5250.0","1790","7583"
"184746","Hohokus School of Trade and Technical Sciences","NJ","1","3","57","211","0.686507937","0.75","","","326","255"
"184968","Holy Name Medical Center School of Nursing","NJ","1","2","","63","0.824561404","0.7908","14750.0","15600.0","131","166"
"185332","Harris School of Business-Voorhees Campus","NJ","1","3","174","747","0.574498567","0.567","7079.0","6729.0","1475","422"
"186122","Princeton Theological Seminary","NJ","4","1","","","","","","","",""
"186131","Princeton University","NJ","4","1","48","374","0.888157895","0.0482","5969.0","9125.0","283","5234"
"185721","Eastwick College-Nutley","NJ","2","2","102","475","0.653778559","0.6778","8032.0","9500.0","828","579"
"184357","duCret School of Arts","NJ","1","2","","","","0.5185","","","12","32"
"184427","Lincoln Technical Institute-South Plainfield","NJ","1","2","331","2480","0.389282103","0.7965","4802.0","10899.0","6617","255"
"184506","Empire Beauty School-Union","NJ","1","3","118","354","0.439597315","0.6571","5500.0","5983.5","1276","126"
"175856","Jackson State University","MS","4","1","209","1667","0.34560092","0.7633","19606.5","15000.0","5228","6880"
"175810","Holmes Community College","MS","2","2","403","2171","0.171790808","0.2453","3448.0","3200.0","2893","5668"
"175272","Winona State University","MN","4","1","106","2432","0.542138985","0.6431","15750.0","17189.0","4196","8079"
"175829","Itawamba Community College","MS","2","2","416","2599","0.188990286","0.3153","5500.0","4383.0","3025","5477"
"175494","Chris Beauty College","MS","1","3","","77","","0.0","","","","97"
"175573","Copiah-Lincoln Community College","MS","2","2","268","1406","0.2578356","0.227","3500.0","3220.0","1292","2859"
"175041","Saint Paul College","MN","2","2","353","1882","0.181559274","0.5122","7125.0","6750.0","5215","6083"
"175342","Alcorn State University","MS","4","1","86","769","0.229423868","0.8872","14792.0","12475.0","2792","3157"
"175120","Summit Academy Opportunities Industrialization Center","MN","1","3","70","184","0.173469388","0.0","","","","252"
"175227","Dunwoody College of Technology","MN","3","1","112","1079","0.452380952","0.8479","15104.0","12000.0","1014","1065"
"174862","Crown College","MN","4","1","55","428","0.33836858","0.7022","14000.0","11000.0","828","1095"
"174765","Regency Beauty Institute-St Cloud","MN","1","3","431","2466","0.504464286","0.8138","9357.0","9500.0","11714","76"
"183071","University of New Hampshire at Manchester","NH","3","1","170","3998","0.717519106","0.5114","23000.0","21500.0","6751","781"
"182500","Truckee Meadows Community College","NV","2","2","314","1399","0.12941588","0.1438","6000.0","5500.0","2893","9051"
"182865","Mount Washington College","NH","3","1","423","2437","0.338893767","0.7","7874.0","5797.0","3211","2273"
"182892","Keene Beauty Academy","NH","1","3","","54","0.744680851","0.8","","","67","54"
"183062","Keene State College","NH","4","1","74","1776","0.623630673","0.7316","19500.0","19486.5","2815","4643"
"179539","State Fair Community College","MO","2","2","193","1179","0.224826851","0.4049","5461.0","4605.0","2932","4374"
"183099","NHTI-Concord's Community College","NH","2","2","115","1245","0.290510007","0.591","8750.0","6284.0","3131","3826"
"183123","Lakes Region Community College","NH","2","2","64","556","0.203821656","0.5634","8250.0","7334.0","864","1032"
"183141","Nashua Community College","NH","2","2","71","493","0.23699422","0.4524","5500.0","5500.0","1370","2026"
"183211","Rivier University","NH","4","1","35","519","0.582914573","0.6209","19000.0","18882.5","987","1524"
"183275","Thomas More College of Liberal Arts","NH","3","1","","","0.48","0.6737","","","41","80"
"183725","Fortis Institute-Wayne","NJ","1","3","104","619","0.785591767","0.7643","9500.0","9500.0","1332","567"
