"id","school.name","school.state","school.degrees_awarded.highest","school.institutional_characteristics.level","2013.earnings.6_yrs_after_entry.not_working_not_enrolled.overall","2013.earnings.6_yrs_after_entry.working_not_enrolled.overall","2013.completion.title_iv.completed_by.4yrs","2013.completion.completion_rate_4yr_100nt","2013.completion.transfer_rate.4yr.full_time","2013.aid.federal_loan_rate","2013.aid.median_debt.female_students","2013.aid.median_debt.male_students","2013.aid.cumulative_debt.number","2013.student.size"
"226383","Lubbock Christian University","TX","4","1","76","673","0.493902439","0.3003","0.3927","0.7878","15328.0","14000.0","1197","1466"
"226860","Mims Classic Beauty College","TX","1","3","","","","","","0.0","","","","53"
"226903","Southern Careers Institute-Austin","TX","1","3","457","1810","0.570398847","","","0.6169","8444.0","6861.0","4432","316"
"226587","McMurry University","TX","4","1","55","606","0.366935484","0.2476","0.0","0.6637","19750.0","12029.5","834","1157"
"226204","Lee College","TX","2","2","238","1137","0.191747573","","","0.0974","4500.0","3628.0","912","5775"
"226408","College of the Mainland","TX","2","2","108","603","0.134969325","","","0.0761","4125.0","3577.0","498","4188"
"220808","Memphis College of Art","TN","4","1","","127","0.467213115","0.2917","0.0","0.7803","18750.0","19500.0","236","367"
"227924","San Antonio College","TX","2","2","909","5506","0.081615482","","","0.0677","5500.0","5250.0","2865","19524"
"227058","Tint School of Makeup and Cosmetology-Irving","TX","1","3","","","0.488888889","","","0.7975","","","155","108"
"227146","Navarro College","TX","2","2","404","2446","0.140909091","","","0.3907","8250.0","5500.0","6222","10256"
"227243","Northwood University-Texas","TX","4","1","140","2080","0.469767442","0.2333","0.0","0.8244","17842.0","14750.0","2698","645"
"227836","Brightwood College-McAllen","TX","2","2","967","4401","0.719900498","","","0.3379","9332.0","9061.0","3214","538"
"227401","Paris Junior College","TX","2","2","295","1398","0.170935703","","","0.0","4500.0","3500.0","1041","3964"
"227386","Panola College","TX","2","2","74","487","0.221590909","","","0.2647","3745.0","3500.0","1124","2157"
"228219","South Texas Vocational Technical Institute-McAllen","TX","1","3","150","591","0.663797468","","","0.6905","9136.0","8375.0","1610","351"
"227289","Oblate School of Theology","TX","4","1","","","","","","","","","",""
"227298","Ocean Corporation","TX","1","3","109","562","0.826086957","","","0.763","","","590","360"
"225991","KD Conservatory College of Film and Dramatic Arts","TX","2","2","","126","0.58677686","","","0.6","11434.0","14251.0","214","153"
"220206","Welch College","TN","3","1","","101","0.23255814","0.1607","0.1186","0.4937","13243.0","10000.0","134","270"
"219921","Tennessee College of Applied Technology-Covington","TN","1","2","30","98","","","","0.0","","","","203"
"219976","Lipscomb University","TN","4","1","41","599","0.496159754","0.4365","0.0","0.5766","12500.0","13150.5","1497","2874"
"220853","Tennessee College of Applied Technology-Memphis","TN","1","2","150","587","0.118","","","0.0","","","","817"
"221050","Tennessee College of Applied Technology-Morristown","TN","1","2","126","439","0.041841004","","","0.0","","","","638"
