"id","school.name","school.state","school.degrees_awarded.highest","school.institutional_characteristics.level","2013.earnings.6_yrs_after_entry.not_working_not_enrolled.overall","2013.earnings.6_yrs_after_entry.working_not_enrolled.overall","2013.completion.title_iv.completed_by.4yrs","2013.completion.completion_rate_4yr_100nt","2013.completion.transfer_rate.4yr.full_time","2013.aid.federal_loan_rate","2013.aid.median_debt.female_students","2013.aid.median_debt.male_students","2013.aid.cumulative_debt.number","2013.student.size"
"102377","Tuskegee University","AL","4","1","56","748","0.356944444","0.1671","0.1369","0.7374","20205.0","15000.0","1495","2584"
"102270","Stillman College","AL","3","1","46","383","0.189542484","0.1693","0.0","0.8145","19000.0","16750.0","627","863"
"102030","Bishop State Community College","AL","2","2","187","841","0.083626142","","","0.0","","","","3363"
"104425","Cochise County Community College District","AZ","2","2","211","879","0.077966102","","","0.0706","3500.0","3500.0","631","3787"
"105543","Pima Medical Institute-Albuquerque","NM","2","2","1494","6319","0.691413573","","","0.7193","8312.0","9500.0","12235","930"
"105163","ITT Technical Institute-Tucson","AZ","3","1","974","5336","0.370388079","0.25","0.0","0.7674","12667.0","11834.0","71736","409"
"105367","Ottawa University-Phoenix","AZ","4","1","119","1097","0.357072206","","","0.7946","12077.0","11166.0","2764","335"
"105206","Mohave Community College","AZ","2","2","609","1574","0.15990566","","","0.2421","7525.0","5750.0","1647","4759"
"104364","Brown Mackie College-Tucson","AZ","3","1","278","1822","0.378853985","0.2","0.5405","0.7398","10211.0","9235.0","31694","684"
"104090","Brookline College-Phoenix","AZ","4","1","473","1604","0.483746557","0.375","0.0","0.6346","9497.5","9233.0","3575","828"
"102067","Shelton State Community College","AL","2","2","272","1460","0.070844687","","","0.0","","","","4859"
"105589","Prescott College","AZ","4","1","56","352","0.267175573","0.2319","0.0","0.6478","16750.0","16568.0","549","540"
"106281","ABC Beauty College Inc","AR","1","3","","","0.489361702","","","0.9474","","","45","32"
"106306","Arkansas Baptist College","AR","3","1","88","349","0.11136891","0.0446","0.2201","0.817","10312.5","7875.0","392","1022"
"101709","University of Montevallo","AL","4","1","77","629","0.37521815","0.2381","0.3313","0.5872","14000.0","14184.0","1319","2610"
"101912","Oakwood University","AL","4","1","62","392","0.279220779","0.1885","0.0","0.7411","18750.0","16778.0","1099","1854"
"100760","Central Alabama Community College","AL","2","2","217","922","0.020408163","","","0.4777","6575.0","5500.0","1639","1779"
"431187","Bristol Technical Education Center","CT","1","3","","","","","","0.0","","","","45"
"431196","Genesee Valley BOCES-Practical Nursing Program","NY","1","3","","129","0.716814159","","","0.8667","9000.0","10113.0","187","143"
"431309","Dewey University-Hato Rey","PR","1","3","2456","3191","0.050090369","","","0.0","","","","96"
"430245","Southern Careers Institute-San Antonio","TX","1","3","457","1810","0.570398847","","","0.7217","8444.0","6861.0","4432","612"
"101435","Huntingdon College","AL","3","1","30","379","0.435820896","0.3035","0.0","0.7227","19500.0","10125.0","727","1100"
"432524","Delaware College of Art and Design","DE","2","2","","","0.536363636","","","0.7571","12000.0","12000.0","194","194"
"100690","Amridge University","AL","4","1","37","146","0.209580838","0.0","0.0","0.7629","7500.0","8095.0","482","322"
"432117","Kenneth Shuler School of Cosmetology-Rock Hill","SC","1","3","","","0.543307087","","","0.5486","","","388","110"
"432302","Brightwood College-Riverside","CA","2","2","354","1592","0.760178472","","","0.3096","9338.0","9433.0","1365","233"
"101453","Heritage Christian University","AL","4","1","","","","0.0","0.0","0.4839","","","28","67"
"101541","Judson College","AL","3","1","","86","0.120879121","0.3797","0.0","0.711","","","225","331"
"431017","Mid-Del Technology Center","OK","1","3","","","","","","0.0","","","","114"
"431071","New York Institute of Massage Inc","NY","1","3","26","172","0.794117647","","","0.5275","9500.0","9040.5","156","103"
"431123","Escuela Tecnica de Electricidad","PR","1","3","236","501","0.045045045","","","0.0","","","","356"
"418427","Chester County Intermediate Unit","PA","1","3","","111","0.765151515","","","0.5926","","","142","156"
"418481","Mifflin County Academy of Science and Technology","PA","1","3","","60","","","","0.9753","","","74","53"
"418083","Rockland County BOCES-Practical Nursing Program","NY","1","3","","70","0.753424658","","","0.783","5062.5","5400.0","133","126"
"419095","Charles H McCann Technical School","MA","1","3","","","","","","0.0","","","","49"
"418296","Indian Capital Technology Center-Muskogee","OK","1","2","105","281","0.087912088","","","0.0","","","","759"
"418348","Eastern Oklahoma County Technology Center","OK","1","3","","","","","","0.0","","","","142"
"106412","University of Arkansas at Pine Bluff","AR","4","1","112","1083","0.227045075","0.056","0.1196","0.7276","12250.0","10308.5","1894","2503"
"107220","Career Academy of Hair Design","AR","1","3","","","0.561904762","","","0.5332","6365.0","8100.0","368","364"
"107293","Academy of Salon and Spa","AR","1","3","35","76","0.463768116","","","0.619","","","121","75"
"107363","Margaret's Hair Academy Inc","AR","1","3","","","0.208333333","","","0.5854","","","39","65"
"107442","New Tyler Barber College Inc","AR","1","3","","","0.75","","","0.3978","9500.0","7662.0","73","79"
