"id","school.name","school.state","school.degrees_awarded.highest","school.institutional_characteristics.level","2013.earnings.6_yrs_after_entry.working_not_enrolled.overall","2013.completion.title_iv.completed_by.4yrs","2013.completion.completion_rate_4yr_100nt","2013.completion.transfer_rate.4yr.full_time","2013.aid.federal_loan_rate","2013.aid.median_debt.female_students","2013.aid.median_debt.male_students","2013.aid.cumulative_debt.number","2013.student.size"
"162681","Kaplan University-Hagerstown Campus","MD","4","1","35383","0.229498118","0.2222","0.0","0.7207","9500.0","9500.0","57296","845"
"162283","Coppin State University","MD","4","1","909","0.258064516","0.0414","0.2631","0.6943","10373.0","7825.0","2107","2880"
"161688","Allegany College of Maryland","MD","2","2","1167","0.297319253","","","0.4083","8603.0","5500.0","1754","2677"
"162690","Hagerstown Community College","MD","2","2","936","0.227564103","","","0.3307","5500.0","4750.0","2395","3997"
"161022","Maine College of Health Professions","ME","2","2","87","0.715909091","","","0.8203","","","120","178"
"161077","Central Maine Community College","ME","2","2","797","0.283495146","","","0.4481","6692.0","7486.5","1592","2531"
"162557","Frederick Community College","MD","2","2","559","0.231243577","","","0.0912","5000.0","4500.0","955","5375"
"161138","Eastern Maine Community College","ME","2","2","816","0.257177034","","","0.4583","6471.0","5500.0","1459","2046"
"161192","Kennebec Valley Community College","ME","2","2","650","0.381093058","","","0.3656","7583.0","5500.0","1012","1627"
"161518","Saint Joseph's College of Maine","ME","4","1","490","0.506493507","0.4914","0.0143","0.5758","12000.0","13167.0","864","1821"
"166498","Lowell Academy Hairstyling Institute","MA","1","3","68","0.79245283","","","0.5632","","","129","102"
