"id","school.name","school.state","school.degrees_awarded.highest","school.institutional_characteristics.level","2013.earnings.6_yrs_after_entry.not_working_not_enrolled.overall","2013.earnings.6_yrs_after_entry.working_not_enrolled.overall","2013.completion.title_iv.completed_by.4yrs","2013.completion.completion_rate_4yr_100nt","2013.completion.transfer_rate.4yr.full_time","2013.aid.federal_loan_rate","2013.aid.median_debt.female_students","2013.aid.median_debt.male_students","2013.aid.cumulative_debt.number","2013.student.size"
"122409","San Diego State University","CA","4","1","752","7860","0.532602311","0.3267","0.0455","0.3828","12500.0","12999.0","8882","26625"
"121859","Salon Success Academy-Upland","CA","1","3","29","107","0.711656442","","","0.5154","","","289","228"
"121868","Salon Success Academy-Corona","CA","1","3","33","122","0.728937729","","","0.7429","","","476","129"
"121901","Riverside City College","CA","2","2","1004","4406","0.084938827","","","0.0265","4500.0","3500.0","857","16243"
"122506","San Francisco Conservatory of Music","CA","4","1","","","0.68627451","0.619","0.0","0.5806","22000.0","23216.0","88","172"
"122612","University of San Francisco","CA","4","1","156","1513","0.297229219","0.5656","0.2224","0.5115","22500.0","21250.0","2390","6308"
"122977","Santa Monica College","CA","2","2","583","2635","0.106220802","","","0.0148","4500.0","4500.0","837","27747"
"122658","San Joaquin Delta College","CA","2","2","1014","3203","0.101081081","","","0.0701","4000.0","4278.0","1947","15393"
"123013","Santa Rosa Junior College","CA","2","2","399","1403","0.149381135","","","0.0219","5421.0","4500.0","1001","19533"
"122685","San Joaquin Valley College-Visalia","CA","2","2","1083","4829","0.637168142","","","0.9593","12000.0","16000.0","7501","1616"
"122791","College of San Mateo","CA","2","2","137","605","0.099182004","","","0.0103","3500.0","4476.5","192","8378"
"122728","William Jessup University","CA","4","1","","196","0.429032258","0.4386","0.0","0.8951","15300.0","14000.0","718","1029"
"122834","Santa Barbara Business College-Bakersfield","CA","3","1","170","545","0.501867995","","0.0","0.79","16582.0","17065.0","734","543"
"107664","Pulaski Technical College","AR","2","2","544","2689","0.162645914","","","0.6226","10000.0","8250.0","9141","9480"
"106908","Imagine-Paul Mitchell Partner School","AR","1","3","","","0.591836735","","","0.6721","9833.0","9780.0","592","482"
"107044","Harding University","AR","4","1","76","1100","0.503018109","0.4042","0.0","0.5573","18462.0","16865.0","2031","4428"
"109350","Antelope Valley College","CA","2","2","958","2325","0.106359345","","","0.1692","6931.0","6250.0","3323","12416"
"108092","University of Arkansas-Fort Smith","AR","3","1","257","1920","0.214697406","0.0927","0.1732","0.4018","7500.0","5644.5","3332","6508"
"107071","Henderson State University","AR","4","1","112","1113","0.230277186","0.1365","0.4446","0.5985","9250.0","7200.0","2156","3190"
"106485","University of Arkansas at Monticello","AR","4","1","228","1171","0.178270849","0.1032","0.2058","0.5956","6900.0","5500.0","2442","3024"
"107099","Hot Springs Beauty College","AR","1","3","","","0.476923077","","","0.2877","","","34","43"
"107141","John Brown University","AR","4","1","46","650","0.546201232","0.554","0.0","0.5333","16500.0","15879.5","1005","1770"
"108807","Allan Hancock College","CA","2","2","229","898","0.066450567","","","0.0227","6000.0","5050.5","373","9692"
"106810","Crowley's Ridge College","AR","3","1","","86","0.2","","0.4828","0.5524","6715.0","10177.5","95","153"
"106883","East Arkansas Community College","AR","2","2","121","495","0.128256513","","","0.0628","2000.0","2200.0","192","922"
"103787","American Indian College Inc","AZ","3","1","","","","0.25","0.25","0.6986","","","38","77"
"103909","Carrington College-Mesa","AZ","2","2","893","4116","0.685851869","","","0.5289","9421.0","9452.0","4794","691"
"115214","Graduate Theological Union","CA","4","1","","","","","","","","","",""
"115296","Grossmont College","CA","2","2","445","1718","0.078774617","","","0.0256","3500.0","3500.0","816","17042"
"121707","College of the Redwoods","CA","2","2","559","1239","0.113140837","","","0.0599","4500.0","4500.0","742","2585"
"120768","Pacific Oaks College","CA","4","1","","76","0.605633803","","","0.8636","18346.5","17150.0","443","415"
"120883","University of the Pacific","CA","4","1","98","1269","0.561027837","0.3976","0.0","0.6292","21878.5","20500.0","1929","3869"
"122205","Saddleback College","CA","2","2","153","672","0.151536313","","","0.0195","4500.0","4500.0","714","19229"
"122384","San Diego Miramar College","CA","2","2","182","818","0.0521251","","","0.0274","3500.0","3500.0","509","10709"
"118976","Modesto Junior College","CA","2","2","824","2601","0.079598872","","","0.0","","","","15904"
"118994","Moler Barber College","CA","1","3","","","","","","0.9528","","","79","76"
"119270","Musicians Institute","CA","3","1","155","677","0.302543507","0.0","0.222","0.4627","6334.0","6333.0","1076","1166"
"121363","Porterville College","CA","2","2","253","931","0.059024808","","","0.0","","","","3339"
"117195","Lake Tahoe Community College","CA","2","2","52","196","","","","0.0","","","14","2155"
"119845","Newberry School of Beauty","CA","1","3","39","125","0.692982456","","","0.4857","","","185","153"
"120698","Palo Alto University","CA","4","1","","","","","","0.6235","18000.0","15000.0","112","191"
"115126","Golden West College","CA","2","2","299","1305","0.134873724","","","0.028","4967.5","5000.0","583","11689"
"116226","Interior Designers Institute","CA","3","1","","90","0.417910448","","","0.3628","","","89","293"
"116439","Irvine Valley College","CA","2","2","150","517","0.161081081","","","0.0148","5250.0","5500.0","326","11725"
"117672","Southern California University of Health Sciences","CA","4","1","","","0.359550562","","","","7500.0","7500.0","42","0"
"117928","Argosy University-The Art Institute of California-San Francisco","CA","4","1","560","2587","0.116635839","0.2011","0.0508","0.8111","6569.0","6334.0","29626","1304"
"117946","Loyola Marymount University","CA","4","1","110","1359","0.731239093","0.6682","0.0","0.4747","19500.0","19500.0","2342","6087"
"118912","MiraCosta College","CA","2","2","161","642","0.127053669","","","0.0165","3500.0","3500.0","444","13846"
"118198","MTI College","CA","2","2","199","779","0.642758621","","","0.7254","8557.0","9137.0","1219","997"
"118684","Mendocino College","CA","2","2","181","463","0.115207373","","","0.0581","6500.0","4500.0","351","3130"
"118967","Brightwood College-North Hollywood","CA","2","2","354","1592","0.760178472","","","0.4754","9338.0","9433.0","1365","786"
"118772","Merritt College","CA","2","2","181","603","","","","0.0417","6000.0","9500.0","374","5435"
"118161","Lytles Redwood Empire Beauty College Inc","CA","1","3","","78","0.830985916","","","0.4903","","","156","126"
"118189","MTI Business College Inc","CA","1","3","53","116","0.79245283","","","1.0","9500.0","5500.0","259","138"
"114813","Fresno Pacific University","CA","4","1","89","803","0.434310532","0.4278","0.3402","0.6928","13588.0","13974.0","1952","2496"
"115393","Hartnell College","CA","2","2","197","993","0.0792","","","0.0","4500.0","3500.0","112","8829"
"107831","Searcy Beauty College","AR","1","3","","52","0.555555556","","","0.4924","","","91","104"
"107974","South Arkansas Community College","AR","2","2","75","487","0.095934959","","","0.4018","6979.0","5211.0","947","1306"
"113218","Cuyamaca College","CA","2","2","253","662","","","","0.0146","3500.0","3500.0","294","7778"
"115773","Humphreys University-Stockton and Modesto Campuses","CA","4","1","59","276","0.307894737","0.5238","0.0345","0.922","17576.0","10500.0","811","757"
"112288","Milan Institute-Visalia","CA","1","3","221","669","0.739946381","","","0.6462","9075.0","8919.0","1158","354"
"112367","Clovis Adult Education","CA","1","3","","102","0.147826087","","","0.0","","","","608"
"112394","Cogswell College","CA","3","1","","61","0.288135593","0.1875","0.1875","0.6292","11585.0","9500.0","215","457"
"115409","Harvey Mudd College","CA","3","1","","125","0.8984375","0.8571","0.0102","0.4413","21925.0","25162.5","216","803"
"115658","Hilltop Beauty School","CA","1","3","35","118","","","","0.0","","","","126"
"117168","Laguna College of Art and Design","CA","4","1","","97","0.52","0.5333","0.0","0.7177","20500.0","16625.0","194","514"
"116563","Bellus Academy-El Cajon","CA","1","2","55","135","0.588235294","","","0.6181","","","282","184"
"107211","Lees School of Cosmetology","AR","1","3","","","","","","0.4865","","","30","27"
