"id","school.name","school.state","school.degrees_awarded.highest","school.institutional_characteristics.level","2013.earnings.6_yrs_after_entry.not_working_not_enrolled.overall","2013.earnings.6_yrs_after_entry.working_not_enrolled.overall","2013.completion.title_iv.completed_by.4yrs","2013.aid.median_debt.female_students","2013.aid.median_debt.male_students","2013.aid.cumulative_debt.number"
"409616","Roger Williams University School of Law","RI","4","1","50","1201","0.618346546","19625.0","19500.0","1767"
"407832","Warren County Career Center","OH","1","2","","","0.339622642","7769.0","6333.0","337"
"408385","Southern Careers Institute-Pharr","TX","1","3","457","1810","0.570398847","8444.0","6861.0","4432"
"407595","Trumbull Career & Technical Center","OH","1","3","38","180","0.642458101","7600.0","7457.0","182"
"407735","Empire Beauty School-Green Bay","WI","1","3","82","271","0.501712329","7903.0","7355.5","1028"
"407142","Cosmetology Training Center","LA","1","3","","63","0.724137931","","","94"
"407355","Xenon International Academy-Omaha","NE","1","2","35","248","0.680412371","","","324"
"407470","Empire Beauty School-Cincinnati","OH","1","3","","93","","","","339"
"407513","Pickaway Ross Joint Vocational School District","OH","1","3","25","103","0.535947712","6500.0","6163.0","277"
"402800","Tri-State Cosmetology Institute","TX","1","3","96","284","0.334883721","","","183"
"406495","Graham Webb International Academy of Hair","VA","1","3","","121","0.823076923","","","151"
"407461","Eastland-Fairfield Career and Technical Schools","OH","1","3","46","184","0.714285714","6333.0","6333.0","290"
"413884","ITT Technical Institute-Cordova","TN","3","1","974","5336","0.370388079","12667.0","11834.0","71736"
"407063","ITT Technical Institute-Jacksonville","FL","3","1","974","5336","0.370388079","12667.0","11834.0","71736"
"414054","Salon Academy","MI","1","3","","57","0.375","","","74"
"414461","Mech-Tech College","PR","2","2","1123","2117","0.063770147","3100.0","3668.0","537"
"417406","Cobb Beauty College Inc","GA","1","3","","","0.442307692","","","51"
"417600","Hastings Beauty School","MN","1","3","","","0.5","","","69"
"417646","Saline County Career Center","MO","1","3","","","0.413793103","","","30"
"417734","Southeast Missouri Hospital College of Nursing and Health Sciences","MO","2","1","","99","0.746268657","14000.0","12500.0","200"
