"id","school.name","school.state","school.degrees_awarded.highest","school.institutional_characteristics.level","2013.earnings.6_yrs_after_entry.not_working_not_enrolled.overall","2013.earnings.6_yrs_after_entry.working_not_enrolled.overall","2013.completion.title_iv.completed_by.4yrs","2013.aid.federal_loan_rate","2013.aid.median_debt.female_students","2013.aid.median_debt.male_students","2013.aid.cumulative_debt.number","2013.student.size"
"430342","CET-Sacramento","CA","1","3","899","3007","0.597858198","0.566","4750.0","5277.0","2848","145"
"430403","Prism Career Institute-West Atlantic City","NJ","1","3","167","716","0.606603774","0.5532","9500.0","9675.0","736","42"
"104151","Arizona State University-Tempe","AZ","4","1","1304","12941","0.533406836","0.4784","14250.0","14000.0","30112","38480"
"104717","Grand Canyon University","AZ","4","1","1201","5368","0.172003333","0.6248","8250.0","6250.0","33699","34643"
"106041","Universal Technical Institute of Arizona Inc","AZ","2","2","900","9641","0.617686576","0.6294","12000.0","13138.0","10673","2337"
"105172","ITT Technical Institute-Tempe","AZ","3","1","974","5336","0.370388079","0.7983","12667.0","11834.0","71736","498"
"105215","Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division","AZ","1","2","1112","7515","0.661585366","0.6593","14781.5","16000.0","8734","2049"
"105792","South Mountain Community College","AZ","2","2","180","767","","0.2666","4750.0","4501.0","1936","3980"
"420431","Oconee Fall Line Technical College","GA","2","2","53","185","0.1984375","0.2175","3334.0","3142.0","575","1483"
"428286","The Illinois Institute of Art-Schaumburg","IL","3","1","366","2854","0.292376682","0.8437","11268.5","10113.5","6242","1066"
"427308","Merkaz Bnos-Business School","NY","1","2","43","218","","0.0","","","","150"
"427663","ITT Technical Institute-Webster","TX","3","1","974","5336","0.370388079","0.7259","12667.0","11834.0","71736","303"
"430263","ITT Technical Institute-Hialeah","FL","3","1","974","5336","0.370388079","0.8507","12667.0","11834.0","71736","417"
"430166","Golf Academy of America-Phoenix","AZ","2","2","2241","8792","0.321583447","0.492","9500.0","9500.0","29763","171"
"429128","Urban College of Boston","MA","2","2","33","142","0.15","0.0","","","","623"
"430096","Branford Hall Career Institute-Windsor Campus","CT","1","3","897","3702","0.63326018","0.6881","8592.0","8994.0","5059","449"
"428019","Green Country Technology Center","OK","1","3","","","","0.0","","","","310"
"110617","California State University-Sacramento","CA","4","1","615","6456","0.392407218","0.4153","13000.0","13000.0","10197","25991"
"110583","California State University-Long Beach","CA","4","1","701","6989","0.504611601","0.393","12284.0","13000.0","10475","30440"
"106458","Arkansas State University-Main Campus","AR","4","1","545","3687","0.357260726","0.5289","10500.0","8833.5","7640","9325"
"110592","California State University-Los Angeles","CA","4","1","579","5070","0.307313278","0.3924","9666.0","10000.0","6690","19525"
"110547","California State University-Dominguez Hills","CA","4","1","391","3058","0.35660139","0.4291","12500.0","12500.0","5378","11894"
"110653","University of California-Irvine","CA","4","1","527","4584","0.728917198","0.4418","14500.0","15000.0","7700","23517"
"110422","California Polytechnic State University-San Luis Obispo","CA","4","1","204","3420","0.644991923","0.3482","15500.0","16000.0","4659","18664"
"110097","Biola University","CA","4","1","116","1191","0.567021277","0.7762","19500.0","17000.0","2103","4324"
"109040","American Career College-Los Angeles","CA","2","2","972","3966","0.708333333","0.534","9500.0","9500.0","5527","1770"
"109907","Barstow Community College","CA","2","2","380","759","0.014806378","0.0","","","","2866"
"383996","Eastern New Mexico University-Ruidoso Campus","NM","2","2","340","1774","0.211873081","0.0633","7337.5","6500.0","2605","568"
"367398","Star Career Academy-Brick","NJ","1","3","212","635","0.569220863","0.5426","9423.0","7400.0","2443","267"
"367459","NorthWest Arkansas Community College","AR","2","2","231","1450","0.148954704","0.3365","7182.0","5500.0","3938","6698"
"381705","Cheeks International Academy of Beauty Culture-Greeley","CO","1","3","29","116","0.589147287","0.9643","","","194","39"
"381909","ITT Technical Institute-San Bernardino","CA","3","1","974","5336","0.370388079","0.8702","12667.0","11834.0","71736","730"
"384333","Estrella Mountain Community College","AZ","2","2","219","1081","0.07035876","0.26","5250.0","4750.0","3492","7634"
"385008","Sanford-Brown Institute-Ft Lauderdale","FL","2","2","1557","7408","0.662463311","0.7761","9500.0","9500.0","6603","477"
"378406","ITT Technical Institute-Torrance","CA","3","1","974","5336","0.370388079","0.8116","12667.0","11834.0","71736","457"
"389727","Virginia College-Pensacola","FL","2","2","2241","8792","0.321583447","0.7471","9500.0","9500.0","29763","365"
"373711","Upper Cape Cod Regional Technical School","MA","1","3","","55","","0.7966","","","58","59"
"374440","Mitchells Hairstyling Academy-Goldsboro","NC","1","3","","","","0.0","","","","46"
"374990","Continental School of Beauty Culture-Olean","NY","1","3","","","","","","","",""
"375230","Yeshiva Gedolah Imrei Yosef D'spinka","NY","3","1","","56","0.452830189","0.0","","","","125"
"375319","Cleveland Institute of Dental-Medical Assistants-Lyndhurst","OH","1","3","153","768","0.779769526","0.8614","9500.0","9500.0","882","64"
"390905","Polaris Career Center","OH","1","3","","66","0.581395349","0.8654","6272.5","7000.0","157","350"
"391546","ASM Beauty World Academy","FL","1","3","32","64","0.626865672","0.5869","3500.0","4564.0","165","64"
"391759","Sharps Academy of Hair Styling","MI","1","3","","","0.361111111","0.3788","","","27","73"
"393861","Asian-American International Beauty College","CA","1","3","44","121","","0.0","","","","142"
"395362","Copper Mountain Community College","CA","2","2","141","336","","0.094","5250.0","6000.0","277","1479"
"372921","Fortis College-Smyrna","GA","2","2","437","2398","0.6019519","0.6387","9500.0","9500.0","4616","617"
"404222","Inter American University of Puerto Rico-School of Optometry","PR","4","1","4874","9873","0.162887881","","4500.0","4500.0","14074",""
