"id","school.name","school.state","school.degrees_awarded.highest","school.institutional_characteristics.level","2013.earnings.6_yrs_after_entry.not_working_not_enrolled.overall","2013.earnings.6_yrs_after_entry.working_not_enrolled.overall","2013.completion.title_iv.completed_by.4yrs","2013.aid.median_debt.female_students","2013.aid.median_debt.male_students","2013.aid.cumulative_debt.number"
"481261","Beautiful You School of Nail Technology","UT","1","3","","","","","",""
"481289","Xavier College School of Nursing","CA","1","3","","","","","","24"
"481298","Lawrence & Company College of Cosmetology","CA","1","3","","","","","","34"
"481304","Cactus Academy","NY","1","3","","","","","","116"
"481322","Southern Texas Careers Academy","TX","1","3","","","","","","77"
"481340","The Salon Professional Academy-Nashville","TN","1","3","","","","","","58"
"481359","Cosmotech School of Cosmetology","ME","1","3","","","","","","22"
"481368","Prestige Health & Beauty Sciences Academy","FL","1","3","","","","","","16"
"481401","Grace School of Theology","TX","4","1","","","","","",""
"481410","Yeshiva Gedolah Kesser Torah","NY","3","1","","","","","",""
"481456","Bonnie Joseph Academy of Cosmetology and Barbering","UT","1","3","","","","","","16"
"481465","Healthcare Training Institute","LA","1","3","","","","","","34"
"481526","The Chrysm Insitute of Esthetics","VA","1","3","","","","","","22"
"481599","Dorsey Business Schools-Lansing","MI","1","3","370","1336","0.609788954","8125.0","7533.0","3998"
"481669","Tulsa Welding School-Tulsa","OK","1","3","366","1806","0.676794133","9500.0","9500.0","3066"
"481739","Empire Beauty School-Vernon Hills","IL","1","3","84","222","0.53133515","6333.0","6333.0","1282"
"481854","American Career College-Long Beach","CA","1","3","972","3966","0.708333333","9500.0","9500.0","5527"
"481988","Vatterott College-ex'treme Institute by Nelly-St Louis","MO","2","2","1162","4487","0.49322938","11538.0","16500.0","7593"
"482060","Milan Institute-Merced","CA","1","3","220","711","0.644470868","8971.0","8945.0","3116"
"482158","Middle Georgia State University","GA","3","1","161","1321","0.116935484","6250.0","6696.5","3343"
"482176","Paul Mitchell the School-Denver","CO","1","2","","","","","","24"
"482185","Academy of Interactive Entertainment","WA","1","3","","","","","",""
"482228","Virginia Baptist College","VA","4","1","","","","","",""
"482264","Tulsa Technology Center-Owasso Campus","OK","1","3","44","178","0.262773723","","",""
"482273","Tulsa Technology Center-Sand Springs Campus","OK","1","3","44","178","0.262773723","","",""
"482307","National American University-Austin South","TX","2","1","555","3009","0.130868444","8671.5","6252.0","13494"
"482316","National American University-Lewisville","TX","3","1","555","3009","0.130868444","8671.5","6252.0","13494"
"482343","National American University-Rochester","MN","3","1","555","3009","0.130868444","8671.5","6252.0","13494"
"482361","National American University-Wichita West","KS","3","1","555","3009","0.130868444","8671.5","6252.0","13494"
"482389","National American University-Tigard","OR","2","1","555","3009","0.130868444","8671.5","6252.0","13494"
"482398","The Art Institute of St Louis","MO","3","1","278","1822","0.378853985","10211.0","9235.0","31694"
"482422","DeVry University-Arizona","AZ","4","1","5572","33995","0.141192343","12220.0","13573.0","63222"
"482431","DeVry University-California","CA","4","1","5572","33995","0.141192343","12220.0","13573.0","63222"
"482477","DeVry University-Illinois","IL","4","1","5572","33995","0.141192343","12220.0","13573.0","63222"
"482510","DeVry University-Michigan","MI","4","1","5572","33995","0.141192343","12220.0","13573.0","63222"
"482547","DeVry University-Nevada","NV","4","1","5572","33995","0.141192343","12220.0","13573.0","63222"
"482574","DeVry University-Ohio","OH","4","1","5572","33995","0.141192343","12220.0","13573.0","63222"
"482635","DeVry University-Texas","TX","4","1","5572","33995","0.141192343","12220.0","13573.0","63222"
"482653","DeVry University-Virginia","VA","4","1","5572","33995","0.141192343","12220.0","13573.0","63222"
"482680","University of North Georgia","GA","4","1","91","1189","0.352908891","6500.0","5615.0","3903"
"482699","South Georgia State College","GA","3","1","113","793","0.125611746","6201.0","5500.0","1905"
"482990","Arizona College-Mesa","AZ","2","1","104","323","0.566893424","9475.0","9388.0","1435"
"483045","Central Georgia Technical College","GA","2","2","418","1700","0.08061254","2869.5","2770.0","2631"
"483054","Barber School of Pittsburgh","PA","1","3","","","","","","28"
"11473401","Franciscan School of Theology","CA","0","1","","","","","",""
"16947920","Davenport University-Grand Rapids Downtown","MI","0","1","730","4391","0.197222222","15605.0","12500.0","7563"
"450711","Trend Barber College","TX","1","3","","","","","",""
"468848","United Education Institute-UEI College San Marcos","CA","1","3","","","","","",""
"468909","United Education Institute-Anaheim","CA","1","3","","","","","",""
"470038","UEI College-Riverside","CA","1","3","","","","","",""
"480471","United Education Institute-UEI College Stockton","CA","1","3","","","","","",""
"483018","Antioch College","OH","3","1","","","","","",""
"485403","High Tech High Graduate School of Education","CA","4","1","","","","","",""
"485476","Studio Beauty School","WA","1","3","","","","","",""
"485519","International Sports Sciences Association","CA","2","2","","","","","",""
"485528","International Hair and Barber Academy","FL","1","3","","","","","",""
"485546","California Intercontinental University","CA","4","1","","","","","",""
"485582","MKG Beauty & Business","RI","1","3","","","","","",""
"485591","New Beginnings Beauty Academy","AR","1","3","","","","","",""
"485731","The Beauty School","AR","1","3","","","","","",""
"485768","Atlantis University","FL","3","1","","","","","",""
"485801","Westchester School for Dental Assistant","NY","1","3","","","","","",""
"485810","K & G 5 Star Barber College","TX","0","3","","","","","",""
"486099","GDS Institute","CA","1","3","","","","","",""
"486202","Mingo Extended Learning Center","WV","1","3","","","","","",""
"486293","Bay Area College of Nursing","CA","1","3","","","","","",""
"486309","Bella Academy of Cosmetology","WI","1","2","","","","","",""
"486345","HVAC Technical Institute","IL","1","3","","","","","",""
"486354","Unilatina International College","FL","2","1","","","","","",""
"486415","AMG School of Licensed Practical Nursing","NY","1","3","","","","","",""
"486442","Sandra Academy of Salon Services Inc","TN","1","3","","","","","",""
