"id","school.name","school.state","school.degrees_awarded.highest","school.institutional_characteristics.level","2013.earnings.6_yrs_after_entry.not_working_not_enrolled.overall","2013.earnings.6_yrs_after_entry.working_not_enrolled.overall","2013.completion.title_iv.completed_by.4yrs","2013.aid.median_debt.female_students","2013.aid.median_debt.male_students","2013.aid.cumulative_debt.number"
"11835606","Marinello School of Beauty-San Diego","CA","0","3","710","2035","0.565536205","8827.0","8524.0","4047"
"11835608","Marinello School of Beauty-West Covina","CA","0","3","710","2035","0.565536205","8827.0","8524.0","4047"
"11835609","Marinello School of Beauty-West Los Angeles","CA","0","3","710","2035","0.565536205","8827.0","8524.0","4047"
"18017901","City College Montana State University Billings","MT","0","2","184","1502","0.127152318","8503.5","7531.0","2965"
"18945901","Briarcliffe College-Patchogue","NY","0","1","239","1412","0.354935194","12012.5","13847.0","2321"
"22496101","Galveston College - Charlie Thomas Family Applied Technology Center","TX","0","2","94","548","0.178253119","4750.0","4000.0","464"
"37207301","Fremont College","CA","0","1","37","139","0.653465347","15436.0","16301.0","465"
"37369601","Rob Roy Academy - Woonsocket","RI","0","3","69","175","0.320833333","6812.0","6853.0","288"
"37593901","YTI Career Institute - Altoona","PA","0","2","98","321","0.675675676","8611.0","10641.0","479"
"43601201","Franklin Career Institute","NY","0","3","143","461","0.038147139","","",""
"45538101","Utah County Campus","UT","0","3","","","0.61971831","","","91"
"188289","Vogue College of Cosmetology-Santa Fe","NM","1","3","","","","6333.0","7387.0","102"
"212452","Faith Theological Seminary","MD","4","1","","","","","",""
"449922","Appalachian College of Pharmacy","VA","4","1","","","","","",""
"480161","Ideal Beauty Academy","KY","1","2","","","0.279411765","","","47"
"480550","Ross Medical Education Center-Bowling Green","KY","1","2","258","1068","0.748110831","9500.0","9500.0","2317"
"480693","Columbia Institute","MD","1","3","","","","3823.5","4614.0","63"
"480781","California Miramar University","CA","4","1","","","","","",""
"480815","Virginia College-Greensboro","NC","2","1","2241","8792","0.321583447","9500.0","9500.0","29763"
"480912","Gemini School of Visual Arts & Communication","TX","1","1","","","","","",""
"480976","The Salon Professional Academy-Huntsville","AL","1","3","","","","","","54"
"481003","M T Training Center","TX","1","3","","","","","","26"
"481021","Berks Career & Technology Center","PA","1","3","","","","","","13"
"481049","Carthage R9 School District-Carthage Technical Center","MO","1","3","","","","","","10"
"481058","Grace Mission University","CA","4","1","","","","","",""
"481085","PCCTI IT and Healthcare","IL","1","3","","","","","","88"
"481100","Top Nails & Hair Beauty School","UT","1","3","","","","","",""
"481128","Santa Ana Beauty College","CA","1","3","","","","","",""
"481182","Ukiah Adult School","CA","1","3","","","","","",""
