"id","school.name","school.state","school.degrees_awarded.highest","school.institutional_characteristics.level","2013.aid.federal_loan_rate","2013.aid.cumulative_debt.number","2013.student.size"
"441982","Franklin W Olin College of Engineering","MA","3","1","0.2778","60","343"
"433466","Sullivan and Cogliano Training Center","FL","2","2","0.7432","996","943"
"444592","Expertise Cosmetology Institute","NV","1","2","1.0","185","29"
"23693902","Washington State University-Spokane","WA","0","1","","10358",""
"447449","Academy of Hair Design-Jasper","TX","1","3","0.0508","52","57"
"447467","Unitech Training Academy-West Monroe","LA","1","3","0.9216","2033","111"
"447494","Salter School-Fall River","MA","1","3","0.5498","3580","298"
"10236808","Troy University-Online","AL","0","1","","13191",""
"446729","University of Phoenix-Iowa","IA","4","1","0.7826","285765","46"
"18922801","Berkeley College - Westchester Campus","NY","0","1","","4438",""
"38561902","Everglades University-Sarasota","FL","0","1","","1045",""
"43821201","McCann School of Business & Technology","PA","0","2","","6498",""
"44098903","Texas Barber Colleges and Hairstyling Schools Branch Campus #6","TX","0","3","","1104",""
"44098904","Texas Barber Colleges & Hairstyling Schools Branch Campus #5","TX","0","3","","1104",""
"13508107","Keiser University-Sarasota","FL","0","1","","18038",""
"13508112","Keiser University-West Palm Beach","FL","0","1","","18038",""
"447166","Empire Beauty School-Littleton","CO","1","2","0.6148","1864","92"
"447315","Regency Beauty Institute-Darien","IL","1","3","0.7732","11714","58"
"447379","Platt College-Moore","OK","2","2","0.7931","1696","172"
"447403","Universal Technical Institute of Massachusetts Inc","MA","1","2","0.6338","10673","1083"
"446589","Universal Career School","FL","1","3","0.6646","154","133"
"446604","Uta Mesivta of Kiryas Joel","NY","3","1","0.0","","1561"
"446677","Stevens-Henager College","UT","3","1","0.7818","10418","53"
"446835","Le Cordon Bleu College of Culinary Arts-Miami","FL","2","2","0.8009","4073","721"
"446880","McCann School of Business & Technology","LA","2","2","0.8555","1982","395"
"446905","ITT Technical Institute-Kennesaw","GA","3","1","0.7931","71736","351"
"445911","Lincoln Technical Institute-Shelton","CT","1","3","0.7967","4777","532"
"445948","Northwest Career College","NV","2","2","0.8134","371","207"
"446084","CALC Institute of Technology","IL","1","3","0.4647","247","201"
"446118","Career Care Institute","CA","1","3","0.9684","839","615"
"446224","Eastern School of Acupuncture and Traditional Medicine","NJ","1","2","0.4795","40","64"
"446233","Ecclesia College","AR","3","1","0.506","82","175"
"446251","Estelle Medical Academy","IL","1","3","0.6712","234","67"
"446260","Evergreen Beauty and Barber College-Everett","WA","1","3","0.4561","295","128"
"446516","Rosslyn Training Academy of Cosmetology","PR","1","3","0.0","","31"
"446552","Southern Technical College","FL","2","2","0.663","1763","1502"
"446808","Sanford-Brown College-Seattle","WA","3","1","0.8687","6956","384"
"442356","Pennsylvania College of Health Sciences","PA","3","1","0.6735","817","1394"
"149763","Resurrection University","IL","4","1","0.3305","332","321"
"199971","Carolina Christian College","NC","4","1","1.0","34","36"
"441335","Vinal Technical High School","CT","1","3","0.0","","29"
"215044","Cortiva Institute-Pennsylvania School of Muscle Therapy","PA","1","3","0.5811","347","112"
"208123","Abdill Career College Inc","OR","1","3","0.8346","132","80"
"399911","Soka University of America","CA","3","1","0.3425","93","412"
"378886","Artistic Nails and Beauty Academy-Tampa","FL","1","3","0.6412","559","198"
"206154","Tri-State Bible College","OH","3","1","0.5833","29","59"
"381732","Colorado School of Healing Arts","CO","2","2","0.7921","186","199"
