"id","school.name","school.state","school.degrees_awarded.highest","school.institutional_characteristics.level","2013.aid.federal_loan_rate","2013.aid.cumulative_debt.number","2013.student.size"
"451194","Carlson College of Massage Therapy","IA","1","3","0.7576","55","26"
"451219","SOLEX Medical Academy","IL","1","3","0.5294","23","17"
"451255","DiGrigoli School of Cosmetology","MA","1","3","0.934","103","25"
"451282","Elevate Salon Institute","MI","1","3","0.6016","293","193"
"451307","The Salon Spa Academy","MI","1","3","0.4881","70","61"
"451343","Corinth Academy of Cosmetology","MS","1","2","0.1902","55","160"
"451352","Southeastern Institute-Charlotte","NC","1","3","0.523","589","345"
"451413","New York Methodist Hospital Center for Allied Health Education","NY","1","2","0.2514","256","155"
"451501","Instituto Educativo Premier","PR","1","3","0.0","","125"
"451538","Memphis Institute of Barbering","TN","1","3","1.0","195","120"
"451547","Manuel and Theresa's School of Hair Design-Bryan","TX","1","3","0.8","49","25"
"451556","Southwest University at El Paso","TX","3","1","0.8745","2009","1296"
"451617","Dominion School of Hair Design","VA","1","3","0.6383","36","37"
"451626","Victoria's Academy of Cosmetology","WA","1","3","0.5434","85","93"
"451699","Brown Mackie College-Indianapolis","IN","3","1","0.699","31694","899"
"451918","Jenny Lea Academy of Cosmetology","TN","1","3","0.536","229","142"
"451954","ITT Technical Institute-Clive","IA","3","1","0.8476","71736","208"
"123448","Trinity Law School","CA","4","1","","1310",""
"138929","Atlanta's John Marshall Law School","GA","4","1","","31",""
"448594","West Hills College-Lemoore","CA","2","2","0.056","343","3799"
"448600","Stautzenberger College-Brecksville","OH","2","2","0.7993","1731","317"
"448646","Unitech Training Academy-Houma","LA","1","3","0.9082","2033","70"
"448770","Automotive Training Center-Warminster","PA","1","2","0.702","754","291"
"448822","University of Phoenix-Connecticut","CT","3","1","0.6786","285765","20"
"447704","Tucson College of Beauty","AZ","1","3","0.254","82","64"
"447777","Asher College","CA","2","2","0.5197","549","686"
"447801","University of East-West Medicine","CA","4","1","","22",""
"447810","Blake Austin College","CA","1","3","0.8156","455","321"
"447962","Compass Career College","LA","1","3","0.6471","207","162"
"448017","Healing Touch Career College","MS","1","3","0.8617","148","134"
"448026","The Salon Professional Academy-Fargo","ND","1","2","0.3036","122","90"
"448071","Aveda Institute-New York","NY","1","3","0.6724","397","238"
"448248","Mountainland Applied Technology College","UT","1","2","0.0","","815"
"448275","Mountain State School of Massage","WV","1","3","0.6957","35","21"
"448345","The Art Institute of Indianapolis","IN","3","1","0.8142","31694","862"
"448354","Eastern International College-Belleville","NJ","2","1","0.973","358","216"
"448424","Broken Arrow Beauty College-Tulsa","OK","1","3","0.9145","274","88"
"448433","Universal Technical Institute of Northern California Inc","CA","1","2","0.6844","8734","1916"
"448503","ITT Technical Institute-Oklahoma City","OK","3","1","0.8301","71736","408"
"449320","Lincoln Technical Institute-Whitestone","NY","1","3","0.7747","6617","748"
"448974","Branford Hall Career Institute-Albany Campus","NY","1","3","0.7504","5059","378"
"448983","Harris School of Business-Linwood Campus","NJ","1","3","0.5528","2816","441"
"449083","College of Business and Technology-Flagler","FL","2","2","1.0","1344","323"
"449135","Dewey University-Juana Diaz","PR","1","1","0.0","","395"
"449171","Regency Beauty Institute-St Peters","MO","1","3","0.8177","11714","111"
"449180","Regency Beauty Institute-Peoria","IL","1","3","0.7975","11714","78"
"449241","Regency Beauty Institute-Olathe","KS","1","3","0.7757","11714","63"
"449269","Everest Institute-South Plainfield","NJ","1","3","0.5402","6181","697"
"448585","National American University-Zona Rosa","MO","3","1","0.9297","13494","476"
"364584","Total Cosmetology Training Center","WA","1","3","0.6068","198","129"
"40620002","Wright Career College - Tulsa OK","OK","0","2","","3512",""
"449144","Dewey University-Fajardo","PR","1","2","0.0","","188"
"449162","Regency Beauty Institute-Independence","MO","1","3","0.8195","11714","73"
