"id","school.name","school.state","school.degrees_awarded.highest","school.institutional_characteristics.level","2013.earnings.6_yrs_after_entry.not_working_not_enrolled.overall","2013.earnings.6_yrs_after_entry.working_not_enrolled.overall","2013.completion.title_iv.completed_by.4yrs","2013.aid.federal_loan_rate","2013.aid.median_debt.female_students","2013.aid.median_debt.male_students","2013.aid.cumulative_debt.number","2013.student.size"
"198233","Catawba Valley Community College","NC","2","2","257","1108","0.210897436","0.1028","5000.0","4750.0","824","3781"
"198774","Johnston Community College","NC","2","2","119","633","0.217054264","0.2298","8766.5","6000.0","1346","3719"
"198862","Livingstone College","NC","3","1","48","469","0.232342007","0.9334","18950.0","9500.0","885","1172"
"198516","Elon University","NC","4","1","43","865","0.139183056","0.3375","19900.0","19500.0","1310","5599"
"198808","Lees-McRae College","NC","3","1","42","388","0.492537313","0.7515","15000.0","12000.0","631","888"
"198552","Forsyth Technical Community College","NC","2","2","248","1384","0.145355616","0.2024","6448.0","5500.0","2773","8642"
"198376","Davidson County Community College","NC","2","2","194","807","0.158142665","0.5005","8904.0","5750.0","1598","3570"
"198817","Lenoir Community College","NC","2","2","154","655","0.142857143","0.0","","","22","2056"
"199306","Pfeiffer University","NC","4","1","51","423","0.429003021","0.845","15000.0","13074.5","771","947"
"199412","Queens University of Charlotte","NC","4","1","51","606","0.543230016","0.6239","18006.0","14185.0","1167","1703"
"199263","Pamlico Community College","NC","2","2","36","84","0.171641791","0.0","","","","355"
"199272","William Peace University","NC","3","1","26","262","0.397727273","0.8851","12000.0","5750.0","684","1081"
"198729","James Sprunt Community College","NC","2","2","49","278","0.23125","0.3123","6500.0","5587.5","595","1022"
"199449","Richmond Community College","NC","2","2","141","540","0.165945166","0.0","","","","2048"
"198710","Isothermal Community College","NC","2","2","127","514","0.237980769","0.1119","5500.0","4764.0","365","1616"
"197850","South Piedmont Community College","NC","2","2","109","522","0.180851064","0.0","","","","1921"
"199324","Piedmont Community College","NC","2","2","103","373","0.122516556","0.1407","7012.5","5500.0","274","1338"
"198242","South College-Asheville","NC","3","1","","114","0.321428571","0.7952","7034.0","14910.0","375","256"
"194116","New York School of Interior Design","NY","4","1","","108","0.188888889","0.2874","20125.0","19774.0","110","394"
