"id","school.name","school.state","school.degrees_awarded.highest","school.institutional_characteristics.level","2013.earnings.6_yrs_after_entry.working_not_enrolled.overall","2013.completion.title_iv.completed_by.4yrs","2013.aid.federal_loan_rate","2013.aid.cumulative_debt.number","2013.student.size"
"161864","Baltimore City Community College","MD","2","2","1939","0.042774086","0.0","","4986"
"162830","The Colorlab Academy of Hair","MD","1","3","51","0.5625","0.6484","74","55"
"162982","L'Academie de Cuisine","MD","1","3","88","0.779411765","0.8868","125","46"
"163028","Lincoln College of Technology-Columbia","MD","2","2","1151","0.586382979","0.6326","939","693"
"162210","Washington Adventist University","MD","4","1","302","0.42039801","0.7881","856","951"
"162104","Cecil College","MD","2","2","448","0.155597723","0.1333","516","2426"
"163046","Loyola University Maryland","MD","4","1","799","0.777443609","0.5407","1352","3972"
"162654","Goucher College","MD","4","1","368","0.676567657","0.5458","584","1444"
"162168","Chesapeake College","MD","2","2","469","0.143063584","0.0","","2184"
"162371","North American Trade Schools","MD","1","3","739","0.674452555","0.9698","1119","545"
"157207","Lexington Theological Seminary","KY","4","1","","","","",""
"157377","Midway University","KY","4","1","495","0.398042414","0.7476","1187","1247"
"157508","Pat Wilson's Beauty College","KY","1","2","","","0.0","23","73"
"157535","University of Pikeville","KY","4","1","360","0.329457364","0.7168","817","1313"
"157456","Nutek Academy of Beauty Inc","KY","1","2","","","0.0","","18"
"157465","Daymar College-Owensboro","KY","2","1","1020","0.286511628","0.7336","1816","122"
"157757","Spalding University","KY","4","1","398","0.378712871","0.7012","947","1277"
"157438","Gateway Community and Technical College","KY","2","2","996","0.19610308","0.5009","2861","3810"
"158352","Capital Area Technical College","LA","2","2","4842","0.032729487","0.0","","1610"
"158477","Centenary College of Louisiana","LA","4","1","188","0.176724138","0.5358","329","579"
"158787","Denham Springs Beauty School","LA","1","3","","0.480769231","0.4252","76","91"
"159373","Louisiana State University Health Sciences Center-New Orleans","LA","4","1","409","0.78030303","0.5177","563","915"
"158088","Central Louisiana Technical Community College","LA","2","2","","","0.0","","1439"
"158334","Baton Rouge General Medical Center-School of Radiologic Technology","LA","1","2","74","0.717948718","0.8","77","22"
"158343","Baton Rouge School of Computers","LA","2","2","56","","0.4938","34","80"
"160074","Our Lady of the Lake College","LA","4","1","752","0.307823129","0.6578","1201","1483"
"161457","University of New England","ME","4","1","758","0.536652835","0.6868","1378","2179"
"161873","University of Baltimore","MD","4","1","955","0.420787084","0.5768","1921","3479"
"161484","Northern Maine Community College","ME","2","2","454","0.400921659","0.3933","553","765"
"161651","Aesthetics Institute of Cosmetology","MD","1","3","","0.595744681","0.3478","67","40"
"161776","Brightwood College-Towson","MD","2","2","548","0.691756272","0.5198","534","360"
"161563","Thomas College","ME","4","1","373","0.40625","0.5895","522","846"
"161299","Maine Maritime Academy","ME","4","1","376","0.518828452","0.7978","442","994"
"160010","Northwest Louisiana Technical College","LA","2","2","","","0.0","","1495"
"157614","Empire Beauty School-Chenoweth","KY","1","2","320","0.496363636","0.6275","1341","107"
"157650","Empire Beauty School-Elizabethtown","KY","1","2","978","0.549862763","0.6993","1864","168"
"160135","Pat Goins Ruston Beauty School","LA","1","3","","0.655172414","0.9545","30","28"
"160199","Pineville Beauty School","LA","1","3","","","0.0","","75"
"160445","Vanguard College of Cosmetology-Slidell","LA","1","3","114","0.18","0.6941","447","107"
"160472","South Louisiana Beauty College","LA","1","3","","0.384615385","0.377","50","41"
"160612","Southeastern Louisiana University","LA","4","1","3041","0.310273973","0.3998","6362","11704"
"165866","Framingham State University","MA","4","1","1138","0.519565217","0.6681","2041","4255"
"165705","Episcopal Divinity School","MA","4","1","","","","",""
"165802","Fisher College","MA","3","1","575","0.238636364","0.6564","1492","1733"
