"id","school.name","school.state","school.degrees_awarded.highest","school.institutional_characteristics.level","2013.earnings.6_yrs_after_entry.working_not_enrolled.overall","2013.completion.title_iv.completed_by.4yrs","2013.aid.federal_loan_rate","2013.aid.cumulative_debt.number","2013.student.size"
"150428","Don Roberts School of Hair Design","IN","1","3","50","0.531914894","0.6265","74","53"
"150437","Don Roberts Beauty School","IN","1","3","","0.457142857","0.3889","33","77"
"150455","Earlham College","IN","4","1","218","0.551020408","0.5179","430","1016"
"150774","Holy Cross College","IN","3","1","195","0.309352518","0.6044","281","490"
"150400","DePauw University","IN","3","1","405","0.747641509","0.4277","707","2272"
"150756","Hanover College","IN","3","1","204","0.661596958","0.6866","519","1159"
"149550","University of Spa & Cosmetology Arts","IL","1","3","219","0.572222222","0.503","290","189"
"148876","Saint Augustine College","IL","3","1","610","0.140070922","0.0","","1598"
"148256","Rend Lake College","IL","2","2","977","0.316109423","0.1347","757","1747"
"147411","Morton College","IL","2","2","1054","0.051383399","0.0531","412","2914"
"147767","Northwestern University","IL","4","1","1953","0.823932927","0.3456","2454","8855"
"148405","Rockford University","IL","4","1","490","0.405633803","0.9234","803","963"
"146728","Lutheran School of Theology at Chicago","IL","4","1","","","","",""
"146825","MacMurray College","IL","3","1","306","0.462365591","0.8336","413","542"
"147341","Monmouth College","IL","3","1","498","0.485221675","0.8164","768","1247"
"146366","Kaskaskia College","IL","2","2","968","0.241267262","0.0909","787","3091"
"146481","Lake Forest College","IL","4","1","342","0.717041801","0.6707","649","1577"
"145433","Hair Professionals School of Cosmetology","IL","1","3","96","0.478873239","0.4136","86","92"
"145497","Hebrew Theological College","IL","4","1","193","0.158469945","0.0324","54","458"
"141945","Travel Institute of the Pacific","HI","1","3","155","0.296052632","0.3401","117","188"
"148885","University of Saint Mary of the Lake","IL","4","1","","","","",""
"148955","National Latino Education Institute","IL","1","3","86","0.408602151","0.336","60","64"
"148982","Spertus College","IL","4","1","","","","",""
"149222","Southern Illinois University-Carbondale","IL","4","1","5257","0.435839028","0.6109","8591","13220"
"152628","Vincennes Beauty College","IN","1","3","","0.40625","0.2074","43","89"
"152637","Vincennes University","IN","3","1","2919","0.18810558","0.2574","5703","8313"
"151786","Marian University","IN","4","1","781","0.504159734","0.7265","1573","2054"
"151944","Brown Mackie College-South Bend","IN","3","1","1822","0.378853985","0.7163","31694","423"
"163754","Robert Paul Academy of Cosmetology Arts & Sciences","MD","1","3","71","0.773584906","0.4375","83","29"
"163815","Maryland Beauty Academy of Essex","MD","1","3","61","0.447368421","0.9141","110","101"
"164076","Towson University","MD","4","1","4343","0.637453611","0.5047","7603","18534"
"165024","Bridgewater State University","MA","4","1","2485","0.512888889","0.5298","5070","9489"
"165112","Bunker Hill Community College","MA","2","2","2086","0.132090984","0.0794","1672","12535"
"165194","Cape Cod Community College","MA","2","2","819","0.220767072","0.1195","714","3459"
"165495","Conway School of Landscape Design","MA","4","1","","","","",""
"165529","Curry College","MA","4","1","849","0.527896996","0.6274","1527","2794"
"165255","Catherine Hinds Institute of Esthetics","MA","1","3","169","0.75","0.6848","274","171"
"165264","Laboure College","MA","3","1","172","0.54679803","0.8294","498","680"
"165015","Brandeis University","MA","4","1","527","0.820557491","0.5092","1139","3603"
"165167","Cambridge College","MA","4","1","478","0.41686747","0.545","714","1042"
"164872","Boston Architectural College","MA","4","1","198","0.081730769","0.789","303","423"
"165060","Signature Healthcare Brockton Hospital School of Nursing","MA","1","2","145","0.340740741","0.8353","295","323"
"163268","University of Maryland-Baltimore County","MD","4","1","1968","0.447876448","0.4251","3905","11012"
"163453","Morgan State University","MD","4","1","1905","0.233854167","0.8105","3858","6197"
"161554","University of Southern Maine","ME","4","1","2273","0.372352285","0.5807","4148","6079"
"162779","Howard Community College","MD","2","2","955","0.175790754","0.1211","1799","9287"
"163338","University of Maryland Eastern Shore","MD","4","1","1268","0.297723293","0.6948","2137","3421"
"163347","Fortis Institute-Towson","MD","1","3","2398","0.6019519","0.6904","4616","748"
"164632","Bay Path University","MA","4","1","566","0.548689139","0.8832","1381","1454"
"163295","Maryland Institute College of Art","MD","4","1","530","0.690140845","0.6126","814","1892"
"164368","Hult International Business School","MA","4","1","","","","",""
"164465","Amherst College","MA","3","1","259","0.831730769","0.1321","292","1785"
"164678","Bay State School of Technology","MA","1","3","257","0.582417582","0.4484","210","200"
"161545","Southern Maine Community College","ME","2","2","1701","0.225549836","0.4857","4027","5958"
"162122","College of Southern Maryland","MD","2","2","1117","0.135508156","0.1144","1582","8358"
"161855","Baltimore Studio of Hair Design","MD","1","3","125","0.316901409","0.9692","135","72"
