"id","school.name","school.state","school.degrees_awarded.highest","school.institutional_characteristics.level","2013.earnings.6_yrs_after_entry.not_working_not_enrolled.overall","2013.earnings.6_yrs_after_entry.working_not_enrolled.overall","2013.completion.title_iv.completed_by.4yrs","2013.aid.federal_loan_rate","2013.aid.median_debt.female_students","2013.aid.median_debt.male_students","2013.aid.cumulative_debt.number","2013.student.size"
"444237","Everest Institute-Detroit","MI","1","3","1558","6409","0.651053864","0.541","9500.0","9500.0","6181","494"
"444255","Daymar College-Murfreesboro","TN","3","1","394","1644","0.320631464","0.8291","16540.0","11683.5","1699","190"
"445577","Branford Hall Career Institute-North Brunswick","NJ","1","3","442","2209","0.704628949","0.8122","8340.0","8987.0","1706","293"
"444325","ATI College-Norwalk","CA","1","3","36","167","0.770833333","0.7018","18659.0","19015.0","153","120"
"444334","Advance Science Institute","FL","1","2","29","149","0.79","0.7067","","","43","39"
"444404","The Beauty Institute","FL","1","3","41","85","","0.0","","","","70"
"444422","Bellefonte Academy of Beauty","KY","1","2","47","82","0.254385965","0.5451","","","206","141"
"444440","Blue Cliff Career College","AL","1","3","51","161","0.382550336","1.0","","","144","82"
"444486","Paul Mitchell the School-Gastonia","NC","1","3","59","198","0.392156863","0.4866","9500.0","14116.0","448","386"
"444529","Computer Tutor Business and Technical Institute","CA","1","3","32","98","0.551948052","0.2429","","","84","121"
"444547","Mid City College","LA","1","2","","","","0.6667","","","28","31"
"444608","Paul Mitchell the School-Monroe","WI","1","2","","","","0.622","","","60","57"
"444635","Orion Institute","OH","1","3","","","","0.6197","","","61","48"
"444680","Institute of Beauty Occupation and Technology Course","PR","1","3","137","101","0.192307692","0.0","","","","52"
"444699","Institute of Clinical Acupuncture & Oriental Med","HI","4","1","","","","","","","",""
"444714","MedTech Institute-Atlanta Campus","GA","2","2","375","1349","0.646892655","0.6179","8420.5","9233.0","866","539"
"444787","Nightingale College","UT","2","1","","","","0.5876","10500.0","17000.0","82","86"
"444972","Centura College-Columbia","SC","1","2","149","634","0.663793103","0.3632","9500.0","9500.0","406","64"
"445081","ITT Technical Institute-Eden Prairie","MN","3","1","974","5336","0.370388079","0.7948","12667.0","11834.0","71736","208"
"408163","Pinnacle Institute of Cosmetology","NC","1","3","","","0.814814815","0.7652","","","89","78"
"439631","Fayette Beauty Academy","GA","1","3","","","","0.9467","","","121","34"
"441371","Ultimate Medical Academy-Clearwater","FL","2","2","323","1076","0.605647758","0.8155","9102.0","8644.0","15291","359"
"441511","Apex School of Theology","NC","4","1","","","0.146153846","0.9341","18000.0","15417.0","211","620"
"442295","Ave Maria School of Law","FL","4","1","","","","","","","",""
"442657","Milan Institute-Palm Desert","CA","1","3","206","905","0.733480176","0.5914","9339.0","7116.5","714","272"
"442718","National American University-Overland Park","KS","3","1","555","3009","0.130868444","0.8947","8671.5","6252.0","13494","470"
"442879","Southwest Institute of Healing Arts","AZ","2","2","61","183","0.710743802","0.6434","7432.0","5917.0","1034","1062"
"442897","Ottawa University-Jeffersonville","IN","4","1","119","1097","0.357072206","0.5794","12077.0","11166.0","2764","87"
"442161","University of Phoenix-Illinois","IL","4","1","40061","185887","0.182380398","0.6922","9500.0","9500.0","285765","813"
"437769","Chester Career College","VA","2","2","70","549","0.451901566","0.4983","","","212","172"
"439367","CBD College","CA","2","2","204","330","0.609375","0.9797","13000.0","11665.0","288","230"
"439668","HDS Truck Driving Institute","AZ","1","3","40","159","","0.2881","","","146","120"
"440332","Brightwood College-Laredo","TX","2","2","693","3058","0.654110829","0.5846","9260.0","8897.0","2444","329"
"104586","Embry-Riddle Aeronautical University-Prescott","AZ","4","1","167","2642","0.323813708","0.5596","11875.0","9500.0","5504","1802"
"442204","David's Academy of Beauty","CA","1","3","36","89","","0.0864","","","51","199"
"442213","Birthwise Midwifery School","ME","1","2","","","","0.6078","","","21","58"
"442329","Tulsa Welding School-Jacksonville","FL","1","3","366","1806","0.676794133","0.5462","9500.0","9500.0","3066","696"
"442338","ITT Technical Institute-Canton","MI","3","1","974","5336","0.370388079","0.8555","12667.0","11834.0","71736","442"
"441830","Healing Mountain Massage School","UT","1","3","","","0.693877551","0.6763","8145.0","9500.0","131","67"
"441919","Virginia College-Jackson","MS","2","2","2241","8792","0.321583447","0.6709","9500.0","9500.0","29763","376"
"441955","ITT Technical Institute-Springfield","VA","3","1","974","5336","0.370388079","0.7792","12667.0","11834.0","71736","678"
"442383","West Virginia Junior College-Bridgeport","WV","2","2","128","432","0.560185185","0.952","9949.0","9070.0","681","210"
"442408","Vatterott College-Cleveland","OH","2","2","1162","4487","0.49322938","0.1746","11538.0","16500.0","7593","229"
"441016","Everest Institute-Hobby","TX","1","3","1061","4360","0.636462882","0.5166","9500.0","9500.0","2808","557"
"440952","Lincoln Technical Institute-Lowell","MA","1","3","1037","4058","0.553614125","0.75","7751.0","6800.0","4746","388"
"434751","White Earth Tribal and Community College","MN","2","2","","","","0.0","","","","58"
"441089","Wyotech-Blairsville","PA","2","2","654","6050","0.729273172","0.593","11600.0","9599.0","5459","1277"
"440457","University of Phoenix-Wisconsin","WI","4","1","40061","185887","0.182380398","0.737","9500.0","9500.0","285765","256"
"440466","University of Phoenix-Idaho","ID","4","1","40061","185887","0.182380398","0.6699","9500.0","9500.0","285765","283"
