"id","school.name","school.state","school.degrees_awarded.highest","school.institutional_characteristics.level","2013.earnings.6_yrs_after_entry.not_working_not_enrolled.overall","2013.earnings.6_yrs_after_entry.working_not_enrolled.overall","2013.completion.title_iv.completed_by.4yrs","2013.aid.median_debt.female_students","2013.aid.median_debt.male_students","2013.aid.cumulative_debt.number"
"456977","College of Business and Technology-Cutler Bay","FL","2","2","182","862","0.700184502","12650.0","8500.0","1344"
"457129","Chamberlain College of Nursing-Florida","FL","3","1","120","2104","0.521189417","17750.0","15625.0","12901"
"457208","InterCoast Colleges-Rancho Cordova","CA","1","2","472","981","0.691365585","9500.0","9500.0","2660"
"11835603","Marinello School of Beauty-Reseda","CA","0","3","710","2035","0.565536205","8827.0","8524.0","4047"
"11835610","Marinello School of Beauty-Inglewood","CA","0","3","710","2035","0.565536205","8827.0","8524.0","4047"
"448840","University of South Florida-St Petersburg","FL","4","1","866","9058","0.535452323","15000.0","14000.0","17148"
"442523","Alaska Christian College","AK","2","2","","","","4079.0","4092.0","40"
"453817","Ohio Technical College-PowerSport Institute","OH","2","2","116","969","0.683252427","13000.0","12000.0","1465"
"454689","Taft University System","CO","4","1","","","","","","27"
"454698","Mayfield College","CA","2","2","","","0.623880597","8125.0","7652.0","601"
"454768","Paul Mitchell the School-Pasadena","CA","1","3","","","0.626168224","","","245"
"454786","Laurus College","CA","2","2","","","0.556016598","6333.0","6333.0","802"
"454795","Healing Hands School of Holistic Health","CA","1","3","","","0.764705882","8398.0","8474.0","127"
"454801","Career Development Institute Inc","CA","1","3","","","","","","55"
"454856","Denver School of Nursing","CO","3","1","","58","0.860182371","23618.0","23293.5","601"
"454874","Cozmo Beauty School","FL","1","3","","","0.609756098","","","72"
"454892","North Florida Academy","FL","1","3","","","","","","30"
"454908","Professional Hands Institute","FL","1","2","","","0.944230769","5821.0","5614.0","105"
"454917","Celebrity School of Beauty","FL","1","3","","","0.253333333","3500.0","3500.0","235"
"454944","Paul Mitchell the School-Rexburg","ID","1","2","","","0.519230769","","","137"
"454980","Tricoci University of Beauty Culture-Glendale Heights","IL","1","3","","","0.698113208","","","297"
"455008","Tricoci University of Beauty Culture-Rockford","IL","1","3","","","0.663934426","","","210"
"455026","Omega Studios' School of Applied Recording Arts & Sciences","MD","1","3","","","0.558139535","","","73"
"455035","Focus-Hope Information Technologies Center","MI","1","3","","","","","",""
"455071","Healing Arts Center","MO","1","3","","","0.86746988","6365.0","6365.0","118"
"455202","American Institute of Medical Sciences & Education","NJ","1","2","","","0.686046512","8875.0","10555.0","149"
"455211","Casal Institute of Nevada","NV","1","2","","","0.805555556","","","163"
"455257","Yeshiva of Machzikai Hadas","NY","3","1","45","86","0.552941177","","",""
"455327","Hands on Therapy","TX","1","3","","","0.530434783","7917.0","7917.0","124"
"455336","MediaTech Institute-Dallas","TX","1","3","","","0.653225807","9500.0","9500.0","508"
"455345","PCCenter","TX","1","3","","","0.274193548","","","78"
"455354","Aveda Institute-San Antonio","TX","1","3","","","0.658227848","","","462"
"455381","Skin Science Institute","UT","1","3","","","0.61971831","","","91"
"455390","Global Health College","VA","2","1","","","0.430107527","9500.0","9500.0","216"
"455406","Pacific Northwest University of Health Sciences","WA","4","1","","","","","",""
"455433","The Chicago School of Professional Psychology at Irvine","CA","4","1","","","","","",""
"455549","Dorsey Business Schools-Farmington Hills","MI","1","3","370","1336","0.609788954","8125.0","7533.0","3998"
"455585","Minnesota School of Business-Moorhead","MN","3","1","440","3878","0.365751634","19024.0","16000.0","4232"
"455725","Studio Academy of Beauty","AZ","1","3","","","0.632","6333.0","6900.0","417"
"455761","Paul Mitchell the School-Sacramento","CA","1","3","","","0.70754717","7354.0","17613.0","507"
"455798","Oxford Academy of Hair Design Inc","CT","1","3","","","0.652173913","","","118"
"455831","Medical Institute of Palm Beach","FL","1","3","","","0.863013699","9500.0","9500.0","211"
"455840","Lake Lanier School of Massage","GA","1","3","","","0.653333333","9500.0","7917.0","307"
"455859","Oliver Finley Academy of Cosmetology","ID","1","2","","","0.740458015","","","311"
"455868","National Career College","CA","2","2","","","0.72","5500.0","7992.5","111"
"455929","Academy of Hair Design-Oklahoma City","OK","1","3","","","0.6","","","81"
"455947","Pulse Beauty Academy-A Paul Mitchell Partner School","PA","1","3","","","0.771186441","","","196"
"455965","Toni & Guy Hairdressing Academy-Cranston","RI","1","3","","","0.785046729","","","188"
"456056","Virginia College-Charleston","SC","3","1","2241","8792","0.321583447","9500.0","9500.0","29763"
"456065","Paul Mitchell the School-Cleveland","OH","1","3","","","0.633802817","","","217"
"456092","Georgia Beauty Academy","GA","1","3","","","0.549295775","","","136"
"456135","Empire Beauty School-Spring Lake Park","MN","1","3","118","354","0.439597315","5500.0","5983.5","1276"
"456144","MediaTech Institute-Austin","TX","1","3","","","0.653225807","9500.0","9500.0","508"
"456302","Le Cordon Bleu College of Culinary Arts-St Louis","MO","2","2","252","1401","0.560313631","11250.0","10626.0","4180"
"456348","Argosy University-Phoenix Online Division","AZ","4","1","560","2587","0.116635839","6569.0","6334.0","29626"
"13017405","Porter and Chester Institute of Worcester","MA","0","3","320","2131","0.738095238","9500.0","12000.0","4939"
"19050302","Culinary Institute of America San Antonio","TX","0","2","137","1829","0.702163062","12000.0","12000.0","2620"
"21287804","Harrisburg Area Community College-York","PA","0","2","679","5599","0.167324711","8206.0","5500.0","14745"
"36520402","Vista College Lubbock","TX","0","2","144","589","0.597479615","11889.0","10375.0","5105"
"37564704","CC's Cosmetology College-Texarkana","TX","0","3","55","128","0.145833333","","","57"
"44970001","Dayton School of Medical Massage-Lima","OH","0","3","79","497","0.601102941","9500.0","9500.0","648"
"450942","Arizona Summit Law School","AZ","4","1","","","","","",""
"450951","Arizona Culinary Institute","AZ","1","3","","112","0.752136752","9500.0","9500.0","204"
"450979","Trident University International","CA","4","1","40","272","0.384782609","5500.0","4745.0","997"
"451006","Career College Consultants","CA","1","3","","","0.792792793","9500.0","9500.0","234"
"451033","Montessori Casa International","CO","1","3","","","","","",""
"451042","Branford Academy of Hair and Cosmetology","CT","1","3","","","0.5","","","70"
"451051","Academy of Massage and Bodywork","DE","1","3","","","","","","80"
"451149","Aveda Institute-South Florida","FL","1","3","","88","0.729428173","10555.0","13292.0","967"
