"id","school.name","school.state","school.degrees_awarded.highest","school.institutional_characteristics.level","2013.earnings.6_yrs_after_entry.not_working_not_enrolled.overall","2013.earnings.6_yrs_after_entry.working_not_enrolled.overall","2013.completion.title_iv.completed_by.4yrs","2013.aid.median_debt.female_students","2013.aid.median_debt.male_students","2013.aid.cumulative_debt.number"
"15098701","Ivy Tech Community College-Northcentral","IN","0","2","762","4771","0.104518035","6095.0","5293.5","53909"
"15098702","Ivy Tech Community College-Columbus","IN","0","2","762","4771","0.104518035","6095.0","5293.5","53909"
"15098706","Ivy Tech Community College-Northeast","IN","0","2","762","4771","0.104518035","6095.0","5293.5","53909"
"15098709","Ivy Tech Community College-Wabash Valley","IN","0","2","762","4771","0.104518035","6095.0","5293.5","53909"
"15116601","Harrison College-Anderson","IN","0","1","715","3526","0.269674711","9500.0","7684.0","6767"
"15116608","Harrison College-Fort Wayne","IN","0","1","715","3526","0.269674711","9500.0","7684.0","6767"
"15497001","Marinello School of Beauty-Lawrence","KS","0","3","","54","0.602272727","","","178"
"16822702","Wentworth Institute of Technology","MA","0","2","62","1336","0.526030369","21000.0","19500.0","1807"
"21429001","New Castle School of Trades","PA","0","2","116","585","0.532871972","8670.0","8246.0","1002"
"21510501","Villanova University - Summer Music Studies Program","PA","0","1","78","885","0.595785441","25000.0","24000.0","1109"
"41713202","Marinello School of Beauty-Stockton","CA","0","3","","117","0.515887851","8427.0","7281.0","869"
"44459201","New Directions Beauty Institute","OH","0","2","38","123","0.62987013","","","185"
"44599301","Marinello School of Beauty-Torrington","CT","0","3","","115","0.485074627","7640.0","6333.0","425"
"45490802","Professional Hands Institute","FL","0","3","","","0.944230769","5821.0","5614.0","105"
"45775801","Park West Barber School","NC","0","3","","","0.5","9500.0","10827.0","427"
"45775802","Park West Barber School","NC","0","3","","","0.5","9500.0","10827.0","427"
"47647001","WestMed College - Merced","CA","0","3","","","","14402.0","6250.0","321"
"47657701","Vantage College","TX","0","2","","","","9500.0","9500.0","131"
"47691101","SAE Institute of Technology San Francisco","CA","0","3","","","","9500.0","5500.0","238"
"164438","New England College of Business and Finance","MA","4","1","","","0.339622642","9500.0","9500.0","452"
"449977","Paul Mitchell the School-Michigan","MI","1","3","269","1084","0.47094536","9833.0","9833.0","1708"
"447689","Georgia Gwinnett College","GA","3","1","","178","0.166963755","8875.0","6875.0","4098"
"456427","ITT Technical Institute-Concord","CA","3","1","974","5336","0.370388079","12667.0","11834.0","71736"
"456551","Josef's West Academy","ND","1","2","","71","0.224137931","","","166"
"456588","Salon Success Academy-Fontana","CA","1","3","33","122","0.728937729","","","476"
"456719","Regency Beauty Institute-Tinley Park","IL","1","3","431","2466","0.504464286","9357.0","9500.0","11714"
"456782","Minnesota School of Business-Elk River","MN","3","1","440","3878","0.365751634","19024.0","16000.0","4232"
"456816","Globe University-Eau Claire","WI","3","1","82","620","0.336213103","15500.0","11500.0","4004"
"456825","Vanguard College of Cosmetology-Baton Rouge","LA","1","3","36","114","0.18","13370.5","16500.0","447"
"456834","Globe University-Minneapolis","MN","4","1","82","620","0.336213103","15500.0","11500.0","4004"
"456940","L'Ecole Culinaire-Memphis","TN","2","2","228","932","0.425418569","16000.0","14988.5","954"
