"id","school.name","school.state","school.degrees_awarded.highest","school.institutional_characteristics.level","2013.earnings.6_yrs_after_entry.not_working_not_enrolled.overall","2013.earnings.6_yrs_after_entry.working_not_enrolled.overall","2013.completion.title_iv.completed_by.4yrs","2013.aid.federal_loan_rate","2013.aid.median_debt.female_students","2013.aid.median_debt.male_students","2013.aid.cumulative_debt.number","2013.student.size"
"458177","Regency Beauty Institute-North Tucson","AZ","1","3","431","2466","0.504464286","0.7445","9357.0","9500.0","11714","86"
"458317","Regency Beauty Institute-Shreveport","LA","1","3","431","2466","0.504464286","0.8249","9357.0","9500.0","11714","107"
"458380","Dorsey Business Schools-Waterford Pontiac","MI","1","3","370","1336","0.609788954","0.5821","8125.0","7533.0","3998","219"
"458469","National University College-Ponce","PR","3","1","1971","3134","0.099647027","0.6798","3833.5","3500.0","5104","1117"
"458593","Virginia College-Columbia","SC","2","1","2241","8792","0.321583447","0.7605","9500.0","9500.0","29763","550"
"458681","Fortis College-Indianapolis","IN","2","2","215","714","0.567741936","0.858","10667.0","11923.0","1025","172"
"458760","Globe University-Madison West","WI","3","1","82","620","0.336213103","0.8304","15500.0","11500.0","4004","211"
"458812","Empire Beauty School-Nashville","TN","1","3","101","320","0.496363636","0.5954","5935.0","4822.5","1341","65"
"458867","Empire Beauty School-Morrow","GA","1","3","96","218","0.505263158","0.748","6222.0","6505.0","1257","255"
"459037","The Hair Design School-E Greensboro","NC","1","3","96","218","0.505263158","0.697","6222.0","6505.0","1257","151"
"459091","Broadview Entertainment Arts University","UT","3","1","130","672","0.305068226","0.8607","14069.0","7398.0","1136","145"
"459116","Paul Mitchell the School-Phoenix","AZ","1","3","","","","0.5985","10556.0","12311.0","238","187"
"459134","Northern California Institute of Cosmetology Inc","CA","1","3","","","","0.717","","","62","44"
"459222","Southern California University SOMA","CA","4","1","","","","","","","","48"
"459268","South University-Virginia Beach","VA","4","1","1453","6642","0.109940716","0.6324","6332.0","6334.0","26241","685"
"459295","The Salon Professional Academy-Colorado Springs","CO","1","2","","","","0.592","","","71","86"
"459301","Paul Mitchell the School-Delaware","DE","1","3","","","","0.1371","","","223","129"
"459347","The Salon Professional Academy-Ft Myers","FL","1","3","","","","0.3553","","","45","36"
"459356","SOLEX College","IL","2","2","","","","0.0612","","","19","84"
"459408","Tri County Regional Vocational Technical High School","MA","1","3","","","","0.0","","","","51"
"459417","Compass College of Cinematic Arts","MI","2","1","","","","0.8415","","","81","65"
"459480","The Artisan College of Cosmetology","OH","1","2","","","","0.8571","","","46","30"
"459499","Sage School of Massage & Esthetics","OR","1","3","","","","0.7241","","","38","28"
"459532","Salon & Spa Institute","TX","1","3","","","0.714285714","0.7838","","","149","105"
"459842","Herzing University-Kenosha","WI","4","1","344","1616","0.25384787","0.7962","9500.0","9500.0","9122","427"
"459851","Herzing University-Brookfield","WI","4","1","344","1616","0.25384787","0.8153","9500.0","9500.0","9122","336"
"460020","Fortis College-Columbia","SC","2","2","437","2398","0.6019519","0.8184","9500.0","9500.0","4616","543"
"460039","Brown Mackie College-Albuquerque","NM","3","1","278","1822","0.378853985","0.7287","10211.0","9235.0","31694","780"
"460118","Ross Medical Education Center-Niles","OH","1","3","102","524","0.726793249","0.4526","9500.0","9500.0","1225","151"
"460127","Ross Medical Education Center-Canton","MI","1","3","258","1068","0.748110831","0.5878","9500.0","9500.0","2317","131"
"460172","South Texas Vocational Technical Institute-San Antonio","TX","1","3","","","","","","","",""
"460206","Concorde Career College-San Antonio","TX","2","2","204","1000","0.642369021","0.4439","9500.0","9500.0","2063","681"
"460349","Johnson & Wales University-Online","RI","4","1","496","7038","0.49388601","0.823","19148.0","19000.0","9708","118"
"460455","Onondaga School of Therapeutic Massage-Rochester","NY","1","3","","","","0.8974","8769.0","8769.0","184","61"
"460482","Dorsey Business Schools-Saginaw","MI","1","3","370","1336","0.609788954","0.5298","8125.0","7533.0","3998","222"
"460516","Milan Institute of Cosmetology-La Quinta","CA","1","3","238","759","0.573248408","0.3167","9500.0","9500.0","3049","162"
"460534","Milan Institute of Cosmetology-El Paso","TX","1","3","238","759","0.573248408","0.4466","9500.0","9500.0","3049","458"
"460570","Salter School of Nursing and Allied Health","NH","1","3","689","2551","0.630961115","0.5389","7397.0","7653.0","3580","257"
"460613","Brown Mackie College-San Antonio","TX","3","1","278","1822","0.378853985","0.6809","10211.0","9235.0","31694","785"
"460631","Hollywood Institute of Beauty Careers","FL","1","3","","","0.215","0.8371","4802.0","5070.0","774","53"
"13830902","Rasmussen College-Fort Myers","FL","0","1","340","2247","0.292676016","","9500.0","7596.0","21520",""
"449986","Paul Mitchell the School-Sherman Oaks","CA","1","3","","","0.743801653","0.5396","10556.0","10556.0","317","280"
