"id","school.name","school.state","school.degrees_awarded.highest","school.institutional_characteristics.level","2013.earnings.6_yrs_after_entry.not_working_not_enrolled.overall","2013.earnings.6_yrs_after_entry.working_not_enrolled.overall","2013.completion.title_iv.completed_by.4yrs","2013.completion.completion_rate_4yr_100nt","2013.completion.transfer_rate.4yr.full_time","2013.aid.federal_loan_rate","2013.aid.median_debt.female_students","2013.aid.median_debt.male_students","2013.aid.cumulative_debt.number","2013.student.size"
"126827","Colorado Technical University-Colorado Springs","CO","4","1","5827","19874","0.258686311","0.0926","0.0","0.6049","8256.5","6334.0","30982","1200"
"123952","Southern California Institute of Architecture","CA","4","1","","76","0.536585366","0.0","0.0","0.5472","39875.0","35000.0","89","237"
"125091","Victor Valley College","CA","2","2","749","2098","0.064704249","","","0.0","6500.0","5875.0","1044","9981"
"127680","National American University-Colorado Springs","CO","3","1","555","3009","0.130868444","0.2","0.0","0.6218","8671.5","6252.0","13494","281"
"123095","Saybrook University","CA","4","1","","","","","","","","","",""
"123396","Sierra Valley College of Court Reporting","CA","1","2","30","98","","","","0.7255","","","96","137"
"123484","College of the Siskiyous","CA","2","2","189","540","0.096153846","","","0.1916","7279.5","6625.0","682","2168"
"126711","Colorado Mountain College","CO","3","1","89","545","0.275743707","","0.4281","0.2367","5035.0","5331.0","1538","3559"
"127787","Everest College-Thornton","CO","2","2","573","2110","0.513975803","","","0.5602","9500.0","9500.0","1340","371"
"137856","Taylor Technical Institute","FL","1","2","32","83","","","","0.0","","","","58"
"138132","Fashion Focus Hair Academy","FL","1","3","","","0.62745098","","","0.3083","","","83","79"
"138187","Valencia College","FL","3","1","957","7271","0.26416884","","0.1311","0.2538","5500.0","5000.0","16749","34819"
"127219","Glenwood Beauty Academy","CO","1","2","","","0.380952381","","","0.7164","","","57","53"
"127565","Metropolitan State University of Denver","CO","4","1","756","5117","0.234484965","0.0565","0.3351","0.512","11418.0","9500.0","12719","21696"
"137351","University of South Florida-Main Campus","FL","4","1","866","9058","0.535452323","0.3556","0.0551","0.4783","15000.0","14000.0","17148","30376"
"138479","William T McFatter Technical College","FL","1","2","26","136","0.136363636","","","0.0","","","","827"
"138488","Orange Technical College-Winter Park Campus","FL","1","3","49","142","","","","0.0","","","","437"
"138497","Withlacoochee Technical College","FL","1","2","38","162","0.093406593","","","0.0","","","","288"
"138558","Abraham Baldwin Agricultural College","GA","3","1","183","1286","0.220417633","","0.2944","0.4247","6789.5","6365.0","1524","3194"
"138354","The University of West Florida","FL","4","1","251","2330","0.37613489","0.2018","0.1118","0.4931","10872.0","10693.0","4929","9906"
"137801","Everest University-Tampa","FL","4","1","2551","7058","0.234005764","0.375","0.0","0.6492","16036.0","9500.0","14395","738"
"137281","Saint Johns River State College","FL","3","1","230","1311","0.16146394","","0.1896","0.2178","6548.0","5500.0","2041","5173"
"137476","St Thomas University","FL","4","1","78","491","0.397701149","0.2793","0.2207","0.5998","14000.0","13000.0","785","1035"
"138761","Andrew College","GA","2","2","","163","0.1375","","","0.8699","9000.0","6000.0","309","311"
"137120","Suncoast Technical College","FL","1","3","","91","0.085526316","","","0.0","","","","670"
"137245","Sheridan Technical College","FL","1","2","100","476","0.083067093","","","0.0","","","","1244"
"137272","Saint John Vianney College Seminary","FL","4","1","","","","0.6667","0.0","0.0","","","","77"
"136659","Radford M Locklin Technical Center","FL","1","3","","","","","","0.0","","","","277"
"137078","St Petersburg College","FL","3","1","883","4783","0.231703949","","0.1512","0.3634","9500.0","8250.0","13627","27166"
"132709","Broward College","FL","3","1","971","6500","0.220612192","","0.1608","0.1764","3500.0","3500.0","9911","39162"
"135364","Luther Rice College & Seminary","GA","4","1","","67","0.277777778","0.5","0.0","0.5313","9700.0","12500.0","274","510"
"135391","State College of Florida-Manatee-Sarasota","FL","3","1","480","2664","0.187091914","","0.1325","0.3064","5060.5","4690.0","4348","9421"
"137096","Santa Fe College","FL","3","1","485","3217","0.252371917","","0.1855","0.2771","6750.0","5566.0","6513","13764"
"136473","Pensacola State College","FL","3","1","434","2050","0.28008596","","0.0887","0.0683","3500.0","3500.0","1503","9026"
"136215","Nova Southeastern University","FL","4","1","247","2093","0.407632264","0.25","0.409","0.6118","16500.0","13760.0","4717","5053"
"136491","Pinellas Technical College-Clearwater","FL","1","2","55","153","0.123831776","","","0.0","","","","1044"
"136516","Polk State College","FL","3","1","183","1361","0.213561964","","0.1504","0.1162","4750.0","4500.0","1896","9443"
"136233","Northwest Florida State College","FL","3","1","202","1103","0.268178786","","0.1062","0.0845","3500.0","3500.0","992","5549"
"136330","Palm Beach Atlantic University","FL","4","1","107","911","0.419554455","0.3995","0.0","0.5529","14250.0","13500.0","1522","2501"
"135647","Miami Lakes Educational Center and Technical College","FL","1","2","48","267","0.095794393","","","0.0","","","","1158"
"136066","Lincoln College of Technology-West Palm Beach","FL","3","1","1037","4058","0.553614125","","0.0","0.7356","7751.0","6800.0","4746","738"
"131803","Strayer University-District of Columbia","DC","4","1","2036","12317","0.10497544","0.1818","0.0","0.7226","6763.0","6334.0","42076","871"
"133553","Embry-Riddle Aeronautical University-Daytona Beach","FL","4","1","167","2642","0.323813708","0.3363","0.0","0.5962","11875.0","9500.0","5504","4666"
"132693","Eastern Florida State College","FL","3","1","442","2185","0.295263284","","0.0874","0.205","4640.5","4500.0","5194","12736"
"128771","Central Connecticut State University","CT","4","1","159","2638","0.439962477","0.2005","0.0","0.5918","14750.0","14000.0","4785","9512"
"128106","Colorado State University-Pueblo","CO","4","1","185","1342","0.292615868","0.1811","0.1478","0.5624","11000.0","9500.0","2946","4375"
"132851","College of Central Florida","FL","3","1","303","1588","0.225836722","","0.1327","0.4125","5880.0","5256.5","4247","7113"
"130934","Delaware State University","DE","4","1","88","1103","0.332007952","0.1815","0.0","0.7236","15000.0","11000.0","2389","3719"
"130396","Gateway Community College","CT","2","2","239","1428","0.11653944","","","0.0415","3500.0","3500.0","593","7275"
"131973","Wesley Theological Seminary","DC","4","1","","","","","","","","","",""
"132657","Lynn University","FL","4","1","76","458","0.514184397","0.3256","0.0","0.3005","11922.0","9500.0","540","1732"
"132976","Charlotte Technical College","FL","1","2","27","84","","","","0.0","","","","225"
"133021","Chipola College","FL","3","1","57","471","0.20733945","","0.0951","0.0588","3500.0","3500.0","193","1635"
"139940","Georgia State University","GA","4","1","631","5494","0.442790096","0.2142","0.1868","0.5883","15000.0","13000.0","13598","24128"
"139968","Gordon State College","GA","3","1","184","1468","0.135028496","","0.3092","0.5603","8222.0","5500.0","3010","4031"
"139579","South University-Savannah","GA","4","1","1453","6642","0.109940716","0.087","0.0","0.7035","6332.0","6334.0","26241","775"
"140146","Interdenominational Theological Center","GA","4","1","","","","","","","","","",""
"140447","Mercer University","GA","4","1","124","1579","0.48557296","0.4402","0.0","0.6878","19475.0","15056.5","2856","4304"
"139719","Fort Valley State University","GA","4","1","100","844","0.209031318","0.0791","0.2444","0.8818","16250.0","13000.0","2573","2805"
"139393","Covenant College","GA","4","1","46","488","0.374603175","0.4777","0.0","0.5765","16987.0","14226.0","459","1063"
"139986","Southern Crescent Technical College","GA","2","2","202","986","0.096774194","","","0.2508","4500.0","4212.0","1745","4919"
"139384","Georgia Northwestern Technical College","GA","2","2","250","1055","0.220131933","","","0.2145","4000.0","3668.0","1880","5220"
"126784","Colorado School of Trades","CO","2","2","31","177","0.75","","","0.5421","","","201","182"
"139995","Gupton Jones College of Funeral Service","GA","2","2","","110","0.645348837","","","0.9198","8000.0","8000.0","230","174"
"134909","ITT Technical Institute-Tampa","FL","3","1","974","5336","0.370388079","0.1","0.0","0.7737","12667.0","11834.0","71736","463"
"135407","Manatee Technical College","FL","1","2","70","291","0.09832636","","","0.0","","","","1252"
"135522","Traviss Technical College","FL","1","3","34","183","","","","0.0","","","","446"
"135610","Trinity International University-Florida","FL","4","1","63","570","0.187919463","","","0.0","12250.0","6822.0","1310","257"
"134945","Jacksonville University","FL","4","1","108","1222","0.391666667","0.2427","0.0","0.5116","12500.0","12500.0","2232","3360"
"135188","Lake-Sumter State College","FL","3","1","118","645","0.230290456","","0.1797","0.0517","3500.0","3500.0","390","3510"
"133872","Adventist University of Health Sciences","FL","4","1","57","733","0.389749702","0.0","0.2674","0.5668","12500.0","13000.0","1489","2064"
"133942","Florida Institute of Ultrasound Inc","FL","1","2","","70","","","","0.7027","","","89","68"
"134112","Florida Technical College","FL","3","1","295","1220","0.63222872","","0.0669","0.7045","9500.0","7916.0","5173","4330"
"131450","Gallaudet University","DC","4","1","59","249","0.438202247","0.1552","0.3046","0.4199","10881.5","9875.0","497","1053"
"131742","Medtech Institute","VA","2","2","269","1309","0.392831541","","","0.4297","9234.0","8363.5","1749","1373"
