"id","school.name","school.state","school.degrees_awarded.highest","school.institutional_characteristics.level","2013.earnings.6_yrs_after_entry.not_working_not_enrolled.overall","2013.earnings.6_yrs_after_entry.working_not_enrolled.overall","2013.completion.title_iv.completed_by.4yrs","2013.aid.federal_loan_rate","2013.aid.median_debt.female_students","2013.aid.median_debt.male_students","2013.aid.cumulative_debt.number","2013.student.size"
"212230","Empire Beauty School-Lebanon","PA","1","3","131","489","0.471428571","0.6719","6222.0","6837.0","1404","31"
"212294","Empire Beauty School-Shamokin Dam","PA","1","3","84","349","0.478439425","0.5287","5080.0","5016.0","1433","50"
"212328","Empire Beauty  School-Lehigh Valley","PA","1","3","84","349","0.478439425","0.6","5080.0","5016.0","1433","142"
"213163","Jameson Health System","PA","1","2","","65","","0.7105","","","71","71"
"213181","Great Lakes Institute of Technology","PA","2","2","118","534","0.763016158","0.9566","9500.0","9500.0","797","453"
"212355","Empire Beauty School-Wyoming Valley","PA","1","3","101","320","0.496363636","0.5673","5935.0","4822.5","1341","182"
"213376","Lackawanna College","PA","2","2","116","939","0.232451093","0.7812","10250.0","8284.0","1763","1313"
"213303","Keystone College","PA","3","1","69","778","0.21557971","0.6641","15723.5","12000.0","1123","1550"
"214272","Neumann University","PA","4","1","58","808","0.432024169","0.8048","19500.0","15000.0","1567","2462"
"213598","Lincoln University","PA","4","1","100","837","0.403508772","0.8911","22617.5","19000.0","1203","1614"
"214166","Mount Aloysius College","PA","4","1","66","787","0.468694097","0.7339","13750.0","12000.0","1204","1571"
"213996","Messiah College","PA","4","1","49","818","0.751203852","0.668","22000.0","22100.0","1268","2739"
"214175","Muhlenberg College","PA","3","1","","448","0.803571429","0.41","24187.0","22278.0","753","2357"
"214528","Orleans Technical College","PA","2","2","350","704","0.633484163","0.5329","15460.5","7406.0","759","548"
"214148","Moore College of Art and Design","PA","4","1","28","245","0.625","0.8133","","","295","437"
"214290","New Castle School of Trades","PA","2","2","116","585","0.532871972","0.5138","8670.0","8246.0","1002","856"
"216162","St Lukes Hospital School of Nursing","PA","1","2","","92","0.744897959","0.8265","12500.0","6334.0","149","139"
"216278","Susquehanna University","PA","3","1","","611","0.710261569","0.6926","21000.0","20500.0","1023","2138"
"216418","Fortis Institute-Erie","PA","2","2","299","1529","0.545816733","0.7514","9501.0","10876.5","3077","851"
"216083","South Hills School of Business & Technology","PA","2","2","83","468","0.551470588","0.8723","14501.0","14150.0","676","662"
"215433","Prism Career Institute-Upper Darby","PA","2","2","71","240","0.377232143","0.6579","11257.0","11101.0","658","315"
"215813","Saint Vincent Seminary","PA","4","1","","540","0.620283019","","24187.5","23250.0","830",""
"214962","Pennsylvania Academy of Cosmetology Arts and Sciences-Du Bois","PA","1","3","34","104","0.672897196","0.6076","","","137","56"
"215008","Pennsylvania Gunsmith School","PA","1","2","","","","0.4522","","","53","75"
"215974","University of Pittsburgh Medical Center-Shadyside School of Nursing","PA","1","2","","173","0.698795181","0.7097","11983.5","10350.0","220","346"
"215983","Sharon Regional Health System School of Nursing","PA","1","3","","","","0.66","","","36","35"
