"id","school.name","school.state","school.degrees_awarded.highest","school.institutional_characteristics.level","2013.earnings.6_yrs_after_entry.not_working_not_enrolled.overall","2013.earnings.6_yrs_after_entry.working_not_enrolled.overall","2013.completion.title_iv.completed_by.4yrs","2013.aid.federal_loan_rate","2013.aid.median_debt.female_students","2013.aid.median_debt.male_students","2013.aid.cumulative_debt.number","2013.student.size"
"470092","The Art Institute of Wisconsin","WI","3","1","278","1822","0.378853985","0.8122","10211.0","9235.0","31694","535"
"470393","Tricoci University of Beauty Culture-Chicago NE","IL","1","3","","","0.698113208","0.7197","","","297","84"
"470861","ITT Technical Institute-Phoenix West","AZ","3","1","974","5336","0.370388079","0.7347","12667.0","11834.0","71736","262"
"470898","ITT Technical Institute-Waco","TX","3","1","974","5336","0.370388079","0.8044","12667.0","11834.0","71736","231"
"474863","Azusa Pacific University College","CA","3","1","123","1654","0.164948454","0.7248","14750.0","14209.0","4600","650"
"474915","Avalon School of Cosmetology-Phoenix","AZ","1","3","46","153","0.514435696","0.6917","9738.5","10555.0","1080","233"
"474997","All-State Career School-Allied Health Campus","PA","2","2","337","1182","0.660600546","0.963","9494.0","6333.0","1502","350"
"475024","Fortis Institute-Lawrenceville","NJ","1","3","104","619","0.785591767","0.7594","9500.0","9500.0","1332","270"
"475121","South University-Savannah Online","GA","4","1","1453","6642","0.109940716","0.5433","6332.0","6334.0","26241","9592"
"475273","Springfield College-School of Professional and Continuing Studies","MA","4","1","125","1478","0.558955224","0.9349","18326.0","19109.0","3001","1319"
"475282","Marian Health Careers Center-Van Nuys Campus","CA","1","3","","205","0.775","0.6786","12844.5","13039.0","231","94"
"12268501","San Joaquin Valley College - Hanford","CA","0","2","1083","4829","0.637168142","","12000.0","16000.0","7501",""
"12682701","Colorado Technical University","CO","0","1","5827","19874","0.258686311","","8256.5","6334.0","30982",""
"13017407","Porter and Chester Institute of Woburn","MA","0","3","320","2131","0.738095238","","9500.0","12000.0","4939",""
"13247101","Barry University Law School","FL","0","1","196","1646","0.441832429","","18494.0","15375.0","3540",""
"15085302","PJ's College of Cosmetology-Crestwood","KY","0","2","25","79","0.492647059","","","","165",""
"37727201","SW School of Business & Technical Careers","TX","0","3","29","70","","","","","43",""
"41724801","Connecticut Aero Tech  School","CT","0","2","","","","","","","",""
"42817005","Southeastern College - Tampa","FL","0","2","179","1043","0.519667171","","12235.5","14284.5","1508",""
"43008701","Colorado Technical University","CO","0","1","5827","19874","0.258686311","","8256.5","6334.0","30982",""
"43723701","International Yacht Restoration School","RI","0","3","","","","","","","60",""
"44125601","Design's School of Cosmetology","CA","0","3","48","144","0.472","","","","211",""
"44781001","Blake Austin College Beauty Academy","CA","0","2","34","218","0.818181818","","9500.0","9446.0","455",""
"45920401","Unitek College","CA","0","1","","","0.863157895","","9500.0","9500.0","1089",""
"443599","American College of Healthcare Sciences","OR","4","1","","","","0.0","","","32","293"
"460729","Allied American University","CA","3","1","","","","0.0743","4528.0","4503.0","501","2527"
"475404","New York School of Esthetics & Day Spa","NY","1","3","","","","0.2782","","","82","80"
"475413","Panache Academy of Beauty","WI","1","2","","","","0.8444","","","63","45"
"475431","ASI Career Institute","NJ","1","3","","","","0.9231","","","98","11"
"475459","Midwest Technical Institute-Ridgeland","MS","1","3","214","1219","0.676619718","0.9971","9500.0","9500.0","4679","428"
"475477","City College-Hollywood","FL","2","2","146","696","0.363707165","0.9762","15586.0","12667.0","1986","126"
